"title","url","stars","name","reviewUrl","text"
"Teras Sunda Cibiru","https://www.google.com/maps/search/?api=1&query=Teras%20Sunda%20Cibiru&query_place_id=ChIJ49zoKQrDaC4R3YKF2XATdDI","5","Hafidzotul millah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNNLWZpVEhREAE!2m1!1s0x0:0x32741370d98582dd!3m1!1s2@1:CIHM0ogKEICAgICM-fiTHQ%7C%7C?hl=id",
"Teras Sunda Cibiru","https://www.google.com/maps/search/?api=1&query=Teras%20Sunda%20Cibiru&query_place_id=ChIJ49zoKQrDaC4R3YKF2XATdDI","5","Rochadi Soewardi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNNcWM2R3ZBRRAB!2m1!1s0x0:0x32741370d98582dd!3m1!1s2@1:CIHM0ogKEICAgICMqc6GvAE%7C%7C?hl=id","Tempat Pertemuan Ultah P2Tel Ujung Berung, 26 Nopember 2019"
"Teras Sunda Cibiru","https://www.google.com/maps/search/?api=1&query=Teras%20Sunda%20Cibiru&query_place_id=ChIJ49zoKQrDaC4R3YKF2XATdDI","5","Prima ULin","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNNMmQtWGZBEAE!2m1!1s0x0:0x32741370d98582dd!3m1!1s2@1:CIHM0ogKEICAgICM2d-XfA%7C%7C?hl=id","Gedungnya unik terbuat dri bambu, ciri khas urang sunda banget"
"Teras Sunda Cibiru","https://www.google.com/maps/search/?api=1&query=Teras%20Sunda%20Cibiru&query_place_id=ChIJ49zoKQrDaC4R3YKF2XATdDI","5","Irman Santika","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNNMmM3RU53EAE!2m1!1s0x0:0x32741370d98582dd!3m1!1s2@1:CIHM0ogKEICAgICM2c7ENw%7C%7C?hl=id","Aq suka"
"Teras Sunda Cibiru","https://www.google.com/maps/search/?api=1&query=Teras%20Sunda%20Cibiru&query_place_id=ChIJ49zoKQrDaC4R3YKF2XATdDI","4","evitaf.k","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNNMmZyYjhBRRAB!2m1!1s0x0:0x32741370d98582dd!3m1!1s2@1:CIHM0ogKEICAgICM2frb8AE%7C%7C?hl=id","Great"
"Teras Sunda Cibiru","https://www.google.com/maps/search/?api=1&query=Teras%20Sunda%20Cibiru&query_place_id=ChIJ49zoKQrDaC4R3YKF2XATdDI","4","Aris Pujiantoro","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNNeWVXRVV3EAE!2m1!1s0x0:0x32741370d98582dd!3m1!1s2@1:CIHM0ogKEICAgICMyeWEUw%7C%7C?hl=id","Tempat yg nyaman dan enak buat menikmati suasa di sore hari"
"Teras Sunda Cibiru","https://www.google.com/maps/search/?api=1&query=Teras%20Sunda%20Cibiru&query_place_id=ChIJ49zoKQrDaC4R3YKF2XATdDI","5","Andri Sutira","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNNeWQ2NDl3RRAB!2m1!1s0x0:0x32741370d98582dd!3m1!1s2@1:CIHM0ogKEICAgICMyd649wE%7C%7C?hl=id","Bagus buat tempay kegiatan anak2"
"Teras Sunda Cibiru","https://www.google.com/maps/search/?api=1&query=Teras%20Sunda%20Cibiru&query_place_id=ChIJ49zoKQrDaC4R3YKF2XATdDI","4","Abdul Halim","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNNeWZyU19RRRAB!2m1!1s0x0:0x32741370d98582dd!3m1!1s2@1:CIHM0ogKEICAgICMyfrS_QE%7C%7C?hl=id",
"Teras Sunda Cibiru","https://www.google.com/maps/search/?api=1&query=Teras%20Sunda%20Cibiru&query_place_id=ChIJ49zoKQrDaC4R3YKF2XATdDI","5","Teebee Aza (teebee)","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNNaVlfbmpnRRAB!2m1!1s0x0:0x32741370d98582dd!3m1!1s2@1:CIHM0ogKEICAgICMiY_njgE%7C%7C?hl=id",
"Teras Sunda Cibiru","https://www.google.com/maps/search/?api=1&query=Teras%20Sunda%20Cibiru&query_place_id=ChIJ49zoKQrDaC4R3YKF2XATdDI","5","El afriyani","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNNc1lhX0lnEAE!2m1!1s0x0:0x32741370d98582dd!3m1!1s2@1:CIHM0ogKEICAgICMsYa_Ig%7C%7C?hl=id","Sejuk, bersih"
"Teras Sunda Cibiru","https://www.google.com/maps/search/?api=1&query=Teras%20Sunda%20Cibiru&query_place_id=ChIJ49zoKQrDaC4R3YKF2XATdDI","5","Silvia N Intani","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNNc2FLQmZREAE!2m1!1s0x0:0x32741370d98582dd!3m1!1s2@1:CIHM0ogKEICAgICMsaKBfQ%7C%7C?hl=id","Tempat foto2"
"Teras Sunda Cibiru","https://www.google.com/maps/search/?api=1&query=Teras%20Sunda%20Cibiru&query_place_id=ChIJ49zoKQrDaC4R3YKF2XATdDI","5","paint Channel","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNNNGFiQ3RnRRAB!2m1!1s0x0:0x32741370d98582dd!3m1!1s2@1:CIHM0ogKEICAgICM4abCtgE%7C%7C?hl=id","klu sy bkin komunitas pantomime di Teras sunda bisa ga"
"Teras Sunda Cibiru","https://www.google.com/maps/search/?api=1&query=Teras%20Sunda%20Cibiru&query_place_id=ChIJ49zoKQrDaC4R3YKF2XATdDI","5","Hilman Ar Roqy","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNNZ2F2OGhRRRAB!2m1!1s0x0:0x32741370d98582dd!3m1!1s2@1:CIHM0ogKEICAgICMgav8hQE%7C%7C?hl=id","Tempat yg sangat representatif untuk mengapresiasi beragam kegiatan olah raga dan seni budaya sunda"
