"title","name","reviewerId","stars","text","publishedAtDate","originalLanguage","isLocalGuide","likesCount","reviewerNumberOfReviews","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewImageUrls/22","reviewImageUrls/23","reviewImageUrls/24","reviewImageUrls/25","reviewImageUrls/26","reviewImageUrls/27","reviewImageUrls/28","reviewImageUrls/29","reviewImageUrls/30","reviewImageUrls/31","reviewImageUrls/32","reviewImageUrls/33","reviewImageUrls/34","reviewImageUrls/35","reviewImageUrls/36","reviewImageUrls/37","reviewImageUrls/38","reviewImageUrls/39","reviewImageUrls/40","reviewImageUrls/41","reviewImageUrls/42","reviewImageUrls/43","reviewImageUrls/44","reviewImageUrls/45","reviewImageUrls/46","reviewImageUrls/47","reviewImageUrls/48","reviewImageUrls/49","responseFromOwnerText","location/lat","location/lng"
"Nu Art Studio","Risalatul Auliya","100378515743660577999","5",,"2026-05-07T15:21:58.371Z",,"false","0","1","https://lh3.googleusercontent.com/grass-cs/ANxoTn2B9hiNc2avwYPN7cznvxYv6TjTZymKyQeNy8iBoxEQ6BpqCMi_vm9GJQSNXhZgRpqd-MVsNAkZdjOMU4UVNMaXSME8N6_OKhrETaurt2KQnNsT_ImHgczfRAfl8XBYhf9j-m-2O5ymJ4zD=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn2KVgediweLWDZuuJiZQRPZZhQwcIljG1yZtJ46jiqpk0XGCRnGYWPwtfRrRXZDKUl2igtDfhPvwzrXY9ImkJplVJRYgpCgMx19KTNW43pNtRX6UfSTZ1VzjMf1chDR7kzpl4YPft0cFys=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn2mI-1nwa8HHlKcolsT1eNb5-YnF2Fj7V2VWYhpR0ANHuba2eWpGNuW-5FgWOxxHs3urLL4cLNDY766TDvoBYcaoNBonnM3QvtYRCsNr6V3bhFj7PcqjH5liNf7Zmav6hG0GR9NfuePKbw=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn2JTNNe1egQpHVIkX7mCEoOdLwzCvsDHhq_MuASr_ec8xG61xkZ2aQvfILcfU1IgQtPrL7Wl3VZ2fB9d67Sbs11EXFRh7_m8INZISCSOtvumvy6foRh6MEzpUbAKwF83ujtjnbALHsITV93=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn2uKoABTTOLoNVMzw6noAMn9XxogR78sCHbkDCz8C5j3zpYh-l0HGvNgIvO5flnNHmFUkU8DEM_SX30D4DTzfGcuwab_BlDRfrx24x8uaACtyLVvm62cPHwodu1NhO6STaf4oO0X0Sz0RR6=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","adipradipta adipradipta","111885828531948527059","5",,"2026-05-06T12:56:46.089Z",,"true","0","6","https://lh3.googleusercontent.com/grass-cs/ANxoTn2YEHiFivm3r3EObYv8MHCk4R1kFTXPQL35whCACMeyE_KimNN8k8qny9zjIA-8QfH-0-ThpWYyohu25cZahgPitBP4M4AK-egMZXpDfQIFxecBPFAVqrjCvK12xyTC7OWRXsMXTP4V6ibq=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn17DNbZqfLxedFftgPYrshsTiWKezQAAOSp4y0LK86Ifptpzfp4Ftm-c_h7Trd95kMx0Mr_dWTxRUAzLPmynAngxOMobZdn0ff46OufFN8JwO15y7MlTLqK0fLWivszV1FFcEn43BadD08=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn00Hi7qUFCi12qyHT2HzfSfa78huiyOZPtKMqY2Id9bNraVPpCzEfhfgmpCvYfcirHI_QCjwZ04V6zdXSTVOb89LR4sxIZRh4Vzwz_yl-nYmnkurpmlh60cXdcQO-y7RWSK8zLa7j3-NqNG=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","ig:rininuraeny __","100998075081839886329","5","Suka tempatnya bagus bnget♥️😍😍","2026-05-06T05:22:22.829Z","id","false","0","5","https://lh3.googleusercontent.com/grass-cs/ANxoTn0SjLg83F6m_YSeStOb8xw_AlEZCfV1NOq5zafY7PFmk6z_ZmUltRgJBeRwoQMUExx8-51T1kSbN148MQBJZnNgcQVM5uuyMhq8X-pUUnetEtgxAUlEPxfTYG1EM2Pa-rrbayaW-Q9VakIK=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn1woD7WABJo4uxDfh9Ioj1LDm42hgw8Wf_I3sQLapCRXyTUKhpDqtc9ZRKmYSdyTWjLvEaxYTD0_PsgZJg294zAC8bidf32DyRQq0blnG1MRN2BgYsKdbTEAtUPXbeGNqR-Bh5pnldLadk=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn0vYvF563JOC65qcjHvfcPIcyS6HAb04W7C7-OuLUxjucQHYwuC4_1mZTEG00p20BXri5hDTNFHbI-qARW16DAC2oxMIjWg0zeCUFBya6GW3fHORopmAQSWaM21_vu2QVubSVklP4kgLdAz=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn1SIiHG8Txq5fbHI7G63kx__GTSvDBBc-k5ljBuhZncF8QNk32ESKSrBmA2QoiyfFG87MDh_VJyBS-bST0G82C_58J2EJ0uz_CbLqUf76BiO4mTOlgERkx53gBulESpYDk_wJj-j_AVGzYq=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn2kFlh3K_35eUY01m5JRch_HiuAP2Xgcwp9l7Ef5PWTbp46XrSHQReB8K9D0Uz0WS7tWa0e2su2kW2lJZ41v-jLomCqwjspw6waEU3ttYoivmod1nYNkby7Y7s-44ucofYdQ0SEmNz1ymPK=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn3xI5RIPG5rUjuGJjoKc3opmpAnqeiB6IwVO3ismlQ9Wg1ifH-vcxY8Ev6NOWph7hWAk9-MEqoU78yd91d18KERvQxN9nkA8qXPKR0FltZ7U0wk7OURK1nwXUbfGiN2UcjqzRtxqyK2kR4=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn18SymAaVYhwQrPlh5xqBJudc_X2ONIAknl15CaMB0w3cD3ZVHpm8oVjlWSsnZq47odjjI1y4zQWXddc6s8Vv7NtYk69VCY6g22PQoS0f_8gKR5b2L_a4C_ws29CwoHPRzvLhL9mxfGTus=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Jumiati Askyes","102936067451644628841","5",,"2026-05-04T09:44:10.882Z",,"false","0","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","siti nurhayati","104144527426572050697","5",,"2026-05-04T05:29:00.365Z",,"false","0","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","rena wihel","111610924602933252379","5",,"2026-05-02T16:34:06.134Z",,"true","0","3","https://lh3.googleusercontent.com/grass-cs/ANxoTn3gQpW4T3lGtTl_Ah-GUq9Qi8pIiT5icT36lcSovNM8kJNoq70Lr2w6OB3AZMWz2RlXWf4ccQKDfvwIKWfj2_mTktkjQqsrLRu4rjwQ4_DB-5uVXnzjKfJ5lM2KO19f8hhD8NV39xYaJ9Rs=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn1vqpHSnAVq-IQ_8DMOD3TxQtztkOzCB3r6mPfSPOzpSGcW7PMbL5rLCM8O8peAtpQ7vppIrqht70MCNa6Sdn2kMmWR4QlyhEQQWv8N7pqSm5cwZ06hpgFlIt_jEG9UjqohEj-T0rr654U=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn3YwwtpoCrL1EsrI1g__fpw8bELybfeXr5REdlSHcwLWD9RWXMJdDlX3haljFAbzgCrjHLOJ-l7VB4Khb_W7kk6y4nKgbtBN-uH-2yTuD7v-7pChU51YbE94Y14xyQJPCidGttZyjIdzljT=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Marcel van den Berg","104195921676704167078","5","Fantastic","2026-05-02T06:04:33.181Z","en","false","0","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Marcel van den Berg","115751037606958448745","5","Love this place. It's honestly the best museum I have ever visited in Indonesia.","2026-04-30T07:14:20.816Z","en","true","0","71","https://lh3.googleusercontent.com/grass-cs/ANxoTn0hfGuK32QcTRsB9-hUZOt2VV1u1sErh4eju8VoEVeZVvcuQ8D7Kce5I8qrjaRO6uzZWCRJFirlWhBJxjvP37sThZ2NMZbVehh4olfp9gb1-KZqSrlcIkq8UvwttLBd5H8lNF8ID1zeyzh9=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Putri Jesca Musik","105660695562774707482","5",,"2026-04-28T20:57:50.710Z",,"false","0","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Adila Apriliani","110448421455345406755","5","Kesini weekend / minggu, ga terlalu ramai 🥰 adem, tertata sekali patung + penjelasan patungnya, museum yg identik dengan patung² besar maupun kecil, kereenn 👍🏻🥰😍","2026-04-28T15:27:08.131Z","id","true","0","7","https://lh3.googleusercontent.com/grass-cs/ANxoTn3o9Qopd-QtJqtbgMQNG3ihoIJrxFwxH9gw43s3hT4WfrcNooITujoN9beL2dP9zP-2DR-JPxmjxOrYmaAL--icZaty_MXvuijhAvEqCBWtjN_LckaM1DYsr-kQRkr87AsUBvnvZ8N3JDGB=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn2hCzvUP_l9Ra6uCWTwgpLQwBfVf4HtgpilZIOJNPQRgMLwZ2VPMytAYT95eB0X4i-1OKTPQNdvSy1SojnLhV0MMeuqO-Wt6DhJ2nV5_4yaahMgcq50Np2DgqmKDJI9UPBu-FZK60RSrWjF=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn0PDKxu0yeORNFzzSPr-amT2mlsooEd55AslQ7s2LR6k8K31pq3kLJ6YWp-9FoNjh1PC02Fh8hsGOjv59KGDkAQyyOEQGmGxGAcQ1N90h1phDnBsEazHboDV7QJrEzGn3owiCeQ2u288Ydl=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn0LUYOkhzfHo8_KIepS4jr8Wq9JSjcY18GRyjwrlppyrcAK_xIviaTef5uhfMQtSPn5aa6rdAij3yPcC0Wj6lB3z4Uc5g7ySe-uLeJTUDiyL6p-sHiBLWt2I5GsZpiU558grbHn_2dhPeI=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn0qZrLtlWxYK-tDuZnqO9Okrh9qDESwJdauoLh3-eAcGCE2q0SYmK7g8gacVPs-9p-lFVpYG0c6hwtJ0FQYiMxs2LwV_0YiD7JBGEeFL9vClVv6khQAFhyCI2x3KTOhd8AGY8hNQsKdr5iF=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn0bSmCtJXpV0fC5jnp8FvMtd25PJjrYF9Be6exfCtMPYU6t2z-9u2O0TRcqVY3WwaCwshYwWIqcuRESkYxW1OMODzeb6sWkCvtxapwc-KWPzpvOiEf-vmStaDEBemULZgS8kpQy31ioDVg=k-no","https://lh3.googleusercontent.com/grass-cs/ANxoTn2mtacg36FXDkVdrAtV6-aZz88CKnePxJ-ywG9zmRQXl1M9hnbLhJMxNP_ZKvzROckFddy_q-NLKRdLJRxYuLDrca6Z6eQRojGQOSJDvYJTpfTF9lp7lBPNSKYXbnY-3SobuWDpFG7Pt9dp=k-no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
"Nu Art Studio","Petru Alexandru","105262047084552860467","5",,"2026-04-28T14:51:17.098Z",,"false","0","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6.8779724","107.5718915"
