location_id,location_name,category,multi_labels,avg_sentimen_skor,total_ulasan,sentimen_label_lokasi,latitude,longitude,price_min,price_max,jam_buka,jam_tutup,estimasi_durasi_menit,deskripsi_google,price_type,subcategory,tags_sintetis,jam_buka_weekday,jam_tutup_weekday,jam_buka_weekend,jam_tutup_weekend,sumber_deskripsi,sumber_jam,status_deskripsi,status_jam,catatan_jam,avg_rating,ulasan_positif,ulasan_negatif,primary_intent,core_labels,secondary_labels,avoid_labels,label_confidence,needs_manual_review,review_reason,label_reason,label_scores_json,label_source,review_status,manual_primary_intent,manual_core_labels,manual_secondary_labels,manual_avoid_labels,final_primary_intent,final_core_labels,final_secondary_labels,final_avoid_labels,curation_action,display_status,is_active_verified,manual_review_confidence,curation_note,final_label_source,price_verified,night_verified,indoor_verified,child_friendly_verified,qa_flag_reason,parking_verified,wheelchair_accessible_verified,toilet_verified,mushola_verified,pet_friendly_verified,open_24h_verified,crowd_level,shopping_subtype,coordinate_verified,distance_from_alun_alun_km,coordinate_audit_reason,safety_verified,sentiment_score,sentiment_model_source,sentiment_model_version,sentiment_available,media_available,media_image_url,media_destination_url,media_website,media_source,media_place_id,media_match_title,media_match_score,media_match_method,media_audit_status,media_audit_note,kota_kabupaten,kecamatan
LODGE-00048,Sans Hotel Skyland Pasteur Bandung,Santai,,,216.0,,-6.8829,107.5794,143509.0,,,,,Penginapan berjenis Hotel bernama Sans Hotel Skyland Pasteur Bandung berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Breakfast ($); Free Wi-Fi; Free parking; Indoor pool; Hot tub; Air conditioning; Spa; Bar; Restaurant; Room service; Kitchen in some rooms; Airport shuttle; Accessible; Smoke-free property.,,Hotel,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787932/muterbandung/penginapan/LODGE-00048_main.jpg,,,,https://placehold.co/800x600/png?text=Sans%20Hotel%20Skyland%20Pasteur%20Bandung,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
LODGE-00053,Valore Hotel Cimahi,Santai,,,2426.0,,-6.8977855,107.5370591,327472.0,,,,,"Penginapan berjenis Hotel bernama Valore Hotel Cimahi berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Breakfast, Free Wi-Fi, Parking, Outdoor pool, Air conditioning, Fitness center, Restaurant, Room service, Full-service laundry, Accessible, Kid-friendly.",,Hotel,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787948/muterbandung/penginapan/LODGE-00053_main.jpg,,,,https://placehold.co/800x600/png?text=Valore%20Hotel%20Cimahi,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
LODGE-00054,Villa Tibra,Santai,,5.723598291585733,1602.0,Positif,-6.8251,107.5545,258646.0,,,,,Penginapan berjenis Villa bernama Villa Tibra berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Pet-friendly; Restaurant; Room service.,,Villa,,,,,,,,,,,4.7,29.0,0.0,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787964/muterbandung/penginapan/LODGE-00054_main.jpg,,,,https://placehold.co/800x600/png?text=Villa%20Tibra,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
LODGE-00060,HOTEL PARAHYANGAN,Santai,,,377.0,,-6.9112,107.5785,155729.0,,,,,Penginapan berjenis Hotel bernama HOTEL PARAHYANGAN berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Breakfast; Free Wi-Fi; Free parking; Pool; Full-service laundry.,,Hotel,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787980/muterbandung/penginapan/LODGE-00060_main.jpg,,,,https://placehold.co/800x600/png?text=HOTEL%20PARAHYANGAN,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
LODGE-00064,Hotel Neo Kota Baru Parahyangan,Santai,,,1860.0,,-6.8566,107.4914,768565.0,,,,,Penginapan berjenis Hotel bernama Hotel Neo Kota Baru Parahyangan berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free breakfast; Free Wi-Fi; Free parking; Air conditioning; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible.,,Hotel,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,https://res.cloudinary.com/df13xvhyj/image/upload/v1781787988/muterbandung/penginapan/LODGE-00064_main.jpg,,,,https://placehold.co/800x600/png?text=Hotel%20Neo%20Kota%20Baru%20Parahyangan,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
LODGE-00066,Josh House KBP Villa,Santai,,,8.0,,-6.8694,107.4546,1431808.0,,,,,Penginapan berjenis Villa bernama Josh House KBP Villa berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Ber-AC; Dapur; Microwave; Teras; Boleh bawa hewan peliharaan; Bebas asap rokok; TV Kabel; Mesin cuci.,,Villa,,,,,,,,,,,4.45,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,https://res.cloudinary.com/df13xvhyj/image/upload/v1781788001/muterbandung/penginapan/LODGE-00066_main.jpg,,,,https://placehold.co/800x600/png?text=Josh%20House%20KBP%20Villa,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
LODGE-00070,OYO 3463 Cimahi Guest House,Santai,,3.2843813661373025,323.0,Positif,-6.8982,107.5613,130628.0,,,,,Penginapan berjenis Guest_House bernama OYO 3463 Cimahi Guest House berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free Wi-Fi; Free parking; Air conditioning.,,Guest_House,,,,,,,,,,,3.7,11.0,5.0,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,https://res.cloudinary.com/df13xvhyj/image/upload/v1781788005/muterbandung/penginapan/LODGE-00070_main.jpg,,,,https://placehold.co/800x600/png?text=OYO%203463%20Cimahi%20Guest%20House,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
LODGE-00072,Radio Backpacker Guesthouse RBG SYARIAH,Santai,,,117.0,,-6.8914,107.5665,139218.0,,,,,Penginapan berjenis Guest_House bernama Radio Backpacker Guesthouse RBG SYARIAH berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free Wi-Fi; Airport shuttle.,,Guest_House,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,https://res.cloudinary.com/df13xvhyj/image/upload/v1781788013/muterbandung/penginapan/LODGE-00072_main.jpg,,,,https://placehold.co/800x600/png?text=Radio%20Backpacker%20Guesthouse%20RBG%20SYARIAH,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
LODGE-00076,"Villa with Jacuzzi, Damar Ningrum 4",Santai,,,1.0,,-6.8299,107.5538,1227273.0,,,,,"Penginapan berjenis Villa bernama Villa with Jacuzzi, Damar Ningrum 4 berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Ber-AC; Dapur.",,Villa,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,https://res.cloudinary.com/df13xvhyj/image/upload/v1781788026/muterbandung/penginapan/LODGE-00076_main.jpg,,,,https://placehold.co/800x600/png?text=Villa%20with%20Jacuzzi%2C%20Damar%20Ningrum%204,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
LODGE-00081,LN9 Bandung Guest House,Santai,,3.419718776924023,585.0,Positif,-6.8823948,107.5793923,154062.0,,,,,"Penginapan berjenis Guest_House bernama LN9 Bandung Guest House berlokasi di bandung_raya_valid. Fasilitas yang tersedia: Free Wi-Fi, Free parking, Air conditioning, Pet-friendly, Full-service laundry, Kid-friendly, Smoke-free property.",,Guest_House,,,,,,,,,,,4.3,12.0,7.0,,,,,,,,,,,,,,,,,,,,,active_candidate,True,,,,,,,,,,,,,,,,,,,,,,indobert_sentiment_v1,indobert_sentiment_v1,,False,https://res.cloudinary.com/df13xvhyj/image/upload/v1781788030/muterbandung/penginapan/LODGE-00081_main.jpg,,,,https://placehold.co/800x600/png?text=LN9%20Bandung%20Guest%20House,,,reset_user_requested_refill,needs_new_verified_image_url,All previous media URLs were reset at user request. Refill only with verified safe image sources.,Unknown,Unknown
