location_id,location_name,latitude,longitude,price_min,price_max,price_type,category,subcategory,coordinate_status,coordinate_source
LOC-164,Java Preanger Gunung Tilu,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-165,Malabar Mountain Coffee Shop & Eatery,,,,,,Tempat Kuliner,Coffee shop,Not Found,Nominatim OSM
LOC-166,Muara Rahong Hills,,,,,,Wisata Alam,Perbukitan,Not Found,Nominatim OSM
LOC-167,Cicalengka Dreamland,,,,,,Rekreasi Keluarga,Taman rekreasi tematik,Not Found,Nominatim OSM
LOC-168,Curug Cinulang,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-170,Tafso Barn,,,,,,Tempat Kuliner,Restoran wisata,Not Found,Nominatim OSM
LOC-171,D'Dieuland,,,,,,Rekreasi Keluarga,Kawasan rekreasi,Not Found,Nominatim OSM
LOC-172,Sudut Pandang Bandung,,,,,,Tempat Kuliner,Restoran wisata,Not Found,Nominatim OSM
LOC-173,Cakrawala Nature Sparkling Restaurant,,,,,,Tempat Kuliner,Restoran wisata,Not Found,Nominatim OSM
LOC-174,Lereng Anteng Panoramic Coffee,,,,,,Tempat Kuliner,Coffee shop,Not Found,Nominatim OSM
LOC-175,Taman Kupu-Kupu Cihanjuang,,,,,,Wisata Satwa,Wisata satwa,Not Found,Nominatim OSM
LOC-176,Padepokan Dayang Sumbi,,,,,,Tempat Belajar,Edukasi budaya dan alam,Not Found,Nominatim OSM
LOC-178,De'Ranch Lembang,,,,,,Wisata Satwa,Wisata satwa,Not Found,Nominatim OSM
LOC-179,Mini Mania Lembang,,,,,,Rekreasi Keluarga,Taman miniatur,Not Found,Nominatim OSM
LOC-180,Cimory Dairyland Lembang,,,,,,Wisata Satwa,Wisata farm,Not Found,Nominatim OSM
LOC-181,Noah's Park Lembang,,,,,,Rekreasi Keluarga,Taman rekreasi,Not Found,Nominatim OSM
LOC-182,Pine Forest Camp Lembang,,,,,,Tempat Camping,Camping ground,Not Found,Nominatim OSM
LOC-183,Imah Seniman Lembang,,,,,,Penginapan Wisata,Resort wisata,Not Found,Nominatim OSM
LOC-184,Gunung Batu Lembang,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-185,Ciwangun Indah Camp,,,,,,Tempat Camping,Camping ground,Not Found,Nominatim OSM
LOC-186,Indiana Camp Lembang,,,,,,Tempat Camping,Camping ground,Not Found,Nominatim OSM
LOC-187,Curug Layung,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-189,Curug Aseupan,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-190,Curug Anom,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-191,Curug Panyandaan,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-192,Curug Ngebul Gununghalu,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-195,Sungai Cikahuripan Green Canyon Saguling,,,,,,Wisata Alam,Sungai dan tebing,Not Found,Nominatim OSM
LOC-196,Curug Walanda Citatah,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-197,Curug Nyalangkadar,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-198,Tebing Gunung Hawu,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-200,Wisata Batu Kuda,,,,,,Wisata Alam,Hutan pinus,Out of Bounds (Suspicious),Nominatim OSM
LOC-201,Curug Batu Templek,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-202,Curug Cilengkrang,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-204,Teras Sunda Cibiru,,,,,,Tempat Budaya,Pusat budaya Sunda,Not Found,Nominatim OSM
LOC-207,Monumen Bandung Lautan Api,,,,,,Tempat Sejarah,Situs sejarah,Not Found,Nominatim OSM
LOC-216,Panama Park 825,,,,,,Rekreasi Keluarga,Taman rekreasi indoor,Not Found,Nominatim OSM
LOC-217,Karang Setra Waterland,,,,,,Wahana Air,Waterland,Not Found,Nominatim OSM
LOC-220,Nimo Jungle Hot Spring,,,,,,Wisata Alam,Air panas alami,Not Found,Nominatim OSM
LOC-221,Glamping Legok Kondang,,,,,,Tempat Camping,Camping ground,Not Found,Nominatim OSM
LOC-222,Nuansa Riung Gunung,,,,,,Wisata Alam,Panorama pegunungan,Not Found,Nominatim OSM
LOC-223,Kebun Strawberry Emte Highland Resort,,,,,,Wisata Alam,Agrowisata stroberi,Not Found,Nominatim OSM
LOC-224,Sungai Palayangan Rafting,,,,,,Wisata Petualangan,Rafting,Not Found,Nominatim OSM
LOC-225,Curug Ceret Pangalengan,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-226,Gunung Nini Pangalengan,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-228,Tanjung Duriat,,,,,,Wisata Alam,Titik panorama,Not Found,Nominatim OSM
LOC-229,Puncak Damar Jatigede,,,,,,Wisata Alam,Daya tarik alam,Not Found,Nominatim OSM
LOC-230,Desa Wisata Buricak Burinong,,,,,,Desa Wisata,Desa wisata,Not Found,Nominatim OSM
LOC-231,Panenjoan Jatigede,,,,,,Wisata Alam,Titik panorama,Not Found,Nominatim OSM
LOC-232,Pangjugjugan Sumedang,,,,,,Rekreasi Keluarga,Kawasan rekreasi keluarga,Not Found,Nominatim OSM
