location_id,location_name,latitude,longitude,price_min,price_max,price_type,category,subcategory,total_ulasan,ulasan_positif,ulasan_negatif,mentions_pemandangan,mentions_harga,mentions_fasilitas,mentions_keluarga,skor_sentimen_persen
LOC-036,Glamping Lakeside Rancabali,-7.1670549,107.3540784,25000,50000,Per Orang,Tempat Camping,Glamping,187,146.0,41.0,151.0,95.0,131.0,70.0,78.1
LOC-037,Gn. Tampomas,-6.8817995,107.5683276,5000,5000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi,0,,,,,,,0.0
LOC-038,Gn. Tangkuban Parahu,-7.17444,107.73583,110000,110000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi,14,11.0,3.0,9.0,5.0,3.0,3.0,78.6
LOC-039,Guha Pawon,-6.8231833,107.4371655,5000,5000,Per Orang,Wisata Alam,Gua,16,14.0,2.0,7.0,8.0,8.0,4.0,87.5
LOC-040,Gunung Bohong,-6.876389,107.519722,5000,5000,Per Orang,Wisata Alam,Daya tarik alam,0,,,,,,,0.0
LOC-041,Gunung Puntang,-7.1213917,107.6212909,25000,35000,Per Orang,Wisata Alam,Daya tarik alam,30,29.0,1.0,19.0,5.0,10.0,10.0,96.7
LOC-042,Gunung Putri Lembang,-6.795833,107.6338052,10000,25000,Per Orang,Wisata Alam,Daya tarik alam,12,11.0,1.0,12.0,1.0,4.0,3.0,91.7
LOC-043,Happyfarm Ciwidey,-7.1154888,107.4380458,10000,20000,Per Orang,Wisata Satwa,Wisata farm,182,176.0,6.0,138.0,123.0,109.0,119.0,96.7
LOC-044,Jans Park (Jatinangor National Park),-6.918795,107.769342,30000,100000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik,12,10.0,2.0,8.0,6.0,6.0,7.0,83.3
LOC-045,Jendela Alam,-6.819371,107.596634,20000,20000,Per Orang,Tempat Belajar,Edukasi alam,18,16.0,2.0,7.0,6.0,4.0,13.0,88.9
LOC-046,Kampung Buyut Cipageran (Kabuci) Asih Putera,-6.8480317,107.5487982,10000,10000,Per Orang,Desa Wisata,Kampung wisata,14,14.0,0.0,6.0,3.0,0.0,4.0,100.0
LOC-047,Kampung Cireundeu,-6.9142798,107.523423,0,0,Gratis,Desa Wisata,Kampung adat,14,13.0,1.0,7.0,3.0,4.0,5.0,92.9
LOC-048,Kampung Karuhun Eco Green Park Sumedang,-6.892019,107.954774,15000,30000,Per Orang,Rekreasi Keluarga,Eco park,0,,,,,,,0.0
LOC-049,Kampung Toga Villa & Resto,-6.8722,107.9119,10000,10000,Per Orang,Tempat Kuliner,Restoran wisata,0,,,,,,,0.0
LOC-050,Kawah Putih,-7.1661181,107.4022669,31000,31000,Per Orang,Wisata Alam,Daya tarik alam,186,174.0,12.0,150.0,128.0,124.0,39.0,93.5
LOC-051,Kebun Begonia Lembang,-6.8257237,107.6377442,30000,30000,Per Orang,Wisata Alam,Taman bunga,438,423.0,15.0,285.0,89.0,95.0,86.0,96.6
LOC-052,Kebun Binatang Bandung,-6.8911349,107.6069218,50000,50000,Per Orang,Wisata Satwa,Wisata satwa,187,184.0,3.0,98.0,123.0,132.0,119.0,98.4
LOC-053,Lembang Park & Zoo,-6.8054528,107.5913571,65000,85000,Per Orang,Wisata Satwa,Wisata satwa,173,169.0,4.0,38.0,18.0,34.0,95.0,97.7
LOC-054,Lembang Wonderland,-6.8172979,107.6121455,35000,35000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik,0,,,,,,,0.0
LOC-055,Maribaya Natural Hotspring Resort,-6.8309841,107.6552157,45000,45000,Per Orang,Wisata Alam,Air panas alami,0,,,,,,,0.0
LOC-056,Masjid Agung Bandung,-6.9218,107.6062,0,0,Gratis,Tempat Ibadah,Tempat ibadah,188,151.0,37.0,100.0,65.0,173.0,50.0,80.3
LOC-057,Masjid Agung Sumedang,-6.907497,107.647137,0,0,Gratis,Tempat Ibadah,Tempat ibadah,0,,,,,,,0.0
LOC-058,Masjid Jami' Al Baakhirah,-6.8901807,107.5373351,0,0,Gratis,Tempat Ibadah,Tempat ibadah,11,11.0,0.0,4.0,0.0,7.0,1.0,100.0
LOC-059,Mata Air Cikandung,-6.7911008,107.9241417,5000,5000,Per Orang,Wisata Alam,Daya tarik alam,17,16.0,1.0,15.0,8.0,8.0,5.0,94.1
LOC-060,Museum Geologi Bandung,-6.9003424,107.620961,5000,5000,Per Orang,Tempat Belajar,Tempat edukasi,199,197.0,2.0,100.0,117.0,75.0,150.0,99.0
