id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,jenis_kawasan,daya_tarik_wisata_primer,tahun
33,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA BUDAYA TRADISIONAL UJUNGBERUNG,KAMPUNG WISATA TERPADU MANGLAYANG,2016
34,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA BUDAYA TRADISIONAL UJUNGBERUNG,INDUSTRI ALAT SENI BAMBU DAN KENDANG,2016
35,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA BUDAYA TRADISIONAL UJUNGBERUNG,KEGIATAN SENI TRADISIONAL SUNDA DI PAKEMITAN KECAMATAN CINAMBO,2016
36,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA KONVENSI DAN OLAHRAGA GEDEBAGE,STADION UTAMA SEPAKBOLA GEDEBAGE,2016
37,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA KONVENSI DAN OLAHRAGA GEDEBAGE,GEDUNG PERTEMUAN,2016
38,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA KONVENSI DAN OLAHRAGA GEDEBAGE,GEDUNG PERTUNJUKAN SENI,2016
39,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN DAN ROHANI SETIABUDHI,KAMPUS UNIVERSITAS PENDIDIKAN INDONESIA,2016
40,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN DAN ROHANI SETIABUDHI,PONDOK PESANTREN DAARUT TAUHID,2016
41,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN DAN ROHANI SETIABUDHI,KAMPUS UNIVERSITAS PASUNDAN,2016
42,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN DAN ROHANI SETIABUDHI,KAMPUS SEKOLAH TINGGI PARIWISATA BANDUNG,2016
43,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA PENDIDIKAN DAN ROHANI SETIABUDHI,KAMPUS SEKOLAH TINGGI MANAJEMEN BISNIS,2016
44,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA SENI RUPA SETRASARI,NU ART SCULPTURE PARK,2016
45,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA SENI RUPA SETRASARI,GALERI BARLI,2016
46,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA BELANJA DAN WARISAN BUDAYA CIHAMPELAS SUKAJADI,SENTRA JINS CIHAMPELAS,2016
47,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA BELANJA DAN WARISAN BUDAYA CIHAMPELAS SUKAJADI,PUSAT PERBELANJAAN PARIJS VAN JAVA,2016
48,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA BELANJA DAN WARISAN BUDAYA CIHAMPELAS SUKAJADI,CIHAMPELAS WALK,2016
49,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA BELANJA DAN WARISAN BUDAYA CIHAMPELAS SUKAJADI,PREMIER PLAZA,2016
50,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA BELANJA DAN WARISAN BUDAYA CIHAMPELAS SUKAJADI,THE PROMENADE,2016
51,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN PARIWISATA SENI KREATIF SUCI PADASUKA,SAUNG ANGKLUNG UDJO,2016
