id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama,alamat,tahun
26,32,JAWA BARAT,3273,KOTA BANDUNG,JODIREXA BUILDING,"JL. PERMATA PERMAI XII NO.36 - CISARANTEN KULON - KEC.
  ARCAMANIK - KOTA BANDUNG - JAWA BARAT 40293",2024
27,32,JAWA BARAT,3273,KOTA BANDUNG,DAZ TOUR SERVICE INDONESIA,"PESONA CISARANTEN INDAH NO.39/104 - CISARANTEN KULON - KEC.
  ARCAMANIK - KOTA BANDUNG - JAWA BARAT 40293",2024
28,32,JAWA BARAT,3273,KOTA BANDUNG,DIA TRAVEL,"RUKO PURI DAGO 52 ARCAMANIK - JL. TERUSAN JAKARTA NO.52 -
  SUKAMISKIN - KEC. ANTAPANI - KOTA BANDUNG - JAWA BARAT 40291",2024
29,32,JAWA BARAT,3273,KOTA BANDUNG,PAKET WISATA BANDUNG PARADISE TOUR & TRAVEL,"JL. TERUSAN JAKARTA NO.430 - SUKAMISKIN - KEC. ANTAPANI - KOTA
  BANDUNG - JAWA BARAT 40291",2024
30,32,JAWA BARAT,3273,KOTA BANDUNG,HM TOUR&TRAVEL,"JL. A.H. NASUTION NO.98 - SUKAMISKIN - KEC. ARCAMANIK - KOTA
  BANDUNG - JAWA BARAT 40293",2024
31,32,JAWA BARAT,3273,KOTA BANDUNG,BESS TOUR AND TRAVEL,"JL. A.H. NASUTION NO.124 - RT.02 - SUKAMISKIN - KEC. ARCAMANIK
  - KOTA BANDUNG - JAWA BARAT 40293",2024
32,32,JAWA BARAT,3273,KOTA BANDUNG,GOLD TOURS & TRAVEL,"JL. ARCAMANIK ENDAH NO.105 - SUKAMISKIN - KEC. ARCAMANIK -
  KOTA BANDUNG - JAWA BARAT 40293",2024
33,32,JAWA BARAT,3273,KOTA BANDUNG,JALANTRAVELLERS.ID,"JL. SQUASH NO.15 - SUKAMISKIN - KEC. ARCAMANIK - KOTA BANDUNG
  - JAWA BARAT 40293",2024
34,32,JAWA BARAT,3273,KOTA BANDUNG,"SHAFAQ TOUR & TRAVEL AGEN PERJALANAN HAJI UMROH TERBAIK
  & TERPERCAYA | BANDUNG","JL. A.H. NASUTION NO.98 - SUKAMISKIN - KEC. ARCAMANIK - KOTA
  BANDUNG - JAWA BARAT 40293 - KOTA BANDUNG - JAWA BARAT 40524",2024
35,32,JAWA BARAT,3273,KOTA BANDUNG,PT PERMATA JAYA TEHNIK/DAFFA TOURS,"RUKO PURI DAGO ARCAMANIK - JL. TERUSAN JAKARTA NO.372 KAV. B6
  - SUKAMISKIN - KEC. ARCAMANIK - KOTA BANDUNG - JAWA BARAT 40291",2024
36,32,JAWA BARAT,3273,KOTA BANDUNG,TRAVELINGIN.ID TOUR AND TRAVEL,"JL. OTTO ISKANDAR DINATA NO.392 - NYENGSERET - KEC.
  ASTANAANYAR - KOTA BANDUNG - JAWA BARAT",2024
37,32,JAWA BARAT,3273,KOTA BANDUNG,PT CITRA KENCANA TRANSINDO,"JL. RAYA KOPO NO.49 - PANJUNAN - KEC. ASTANAANYAR - KOTA
  BANDUNG - JAWA BARAT 40242",2024
38,32,JAWA BARAT,3273,KOTA BANDUNG,SANTOSA,"JL. SADANG ASRI I NO.6 - PELINDUNG HEWAN - KEC. ASTANAANYAR -
  KOTA BANDUNG - JAWA BARAT 40243",2024
39,32,JAWA BARAT,3273,KOTA BANDUNG,AAJ SAFAR TRAVEL & TOURS,"JL. INHOFTANK NO.34 - PELINDUNG HEWAN - KEC. ASTANAANYAR -
  KOTA BANDUNG - JAWA BARAT 40243",2024
40,32,JAWA BARAT,3273,KOTA BANDUNG,CAHAYA MIRA TOUR AND TRAVEL,"JL. PUSKESMAS - PELINDUNG HEWAN - KEC. ASTANAANYAR - KOTA
  BANDUNG - JAWA BARAT 40243",2024
41,32,JAWA BARAT,3273,KOTA BANDUNG,ASD TOUR & TRAVEL,"JL. TAMAN HEWAN NO.36 - BABAKAN CIPARAY - KEC. BABAKAN CIPARAY
  - KOTA BANDUNG - JAWA BARAT 40112",2024
42,32,JAWA BARAT,3273,KOTA BANDUNG,BAKTI MANAGEMENT TOUR & TRAVEL,"PASAR BARU BANDUNG - BLK. D NO.30 LANTAI DASAR 1 - BABAKAN -
  KEC. BABAKAN CIPARAY - KOTA BANDUNG - JAWA BARAT 39700",2024
43,32,JAWA BARAT,3273,KOTA BANDUNG,BERKAH INDRI TOUR & TRAVEL,"GG. SITUGUNTING BARAT - RT.5/RW.9 - BABAKAN CIPARAY - KEC.
  BABAKAN CIPARAY - KOTA BANDUNG - JAWA BARAT 40223",2024
44,32,JAWA BARAT,3273,KOTA BANDUNG,TRAVEL AGENT BANDUNG,"M61 - KOMPLEK RUKO HOLIS REGENCY - JL. HOLIS REGENCY - BABAKAN
  - KEC. BABAKAN CIPARAY - KOTA BANDUNG - JAWA BARAT 40222",2024
45,32,JAWA BARAT,3273,KOTA BANDUNG,TODDLE TRAVEL CONSULTANTS,"SEBELUM GOR BARAYA - GG. BAH KARSO NO.124 - RW.85 - SUKAHAJI -
  KEC. BABAKAN CIPARAY - KOTA BANDUNG - JAWA BARAT 40221",2024
46,32,JAWA BARAT,3273,KOTA BANDUNG,XTOUR,"JL. BATUNUNGGAL INDAH RAYA NO.419 - BATUNUNGGAL - KEC. BANDUNG
  KIDUL - KOTA BANDUNG - JAWA BARAT 40266",2024
47,32,JAWA BARAT,3273,KOTA BANDUNG,WAKATRA HOLIDAY,"JL. BATUNUNGGAL INDAH RAYA NO.131 - BATUNUNGGAL - KEC. BANDUNG
  KIDUL - KOTA BANDUNG - JAWA BARAT 40262",2024
48,32,JAWA BARAT,3273,KOTA BANDUNG,ALL IN BANDUNG - AGEN TOUR DAN TRAVEL,"JL. BATU INDAH RAYA NO.44 - BATUNUNGGAL - KEC. BANDUNG KIDUL -
  KOTA BANDUNG - JAWA BARAT 40266",2024
49,32,JAWA BARAT,3273,KOTA BANDUNG,PAKET WISATA BANDUNG,"JL. BATUNUNGGAL INDAH RAYA NO.131 - BATUNUNGGAL - KEC. BANDUNG
  KIDUL - KOTA BANDUNG - JAWA BARAT 40266",2024
50,32,JAWA BARAT,3273,KOTA BANDUNG,VENTOUR TRAVEL CABANG BANDUNG,"JL. TERUSAN BUAH BATU NO.198 - KUJANGSARI - KEC. BANDUNG KIDUL
  - KOTA BANDUNG - JAWA BARAT 40287",2024
51,32,JAWA BARAT,3273,KOTA BANDUNG,GUMBIRA WANA INDONESIA,"JL. BUAH BATU REGENCY NO.9 BLOK A2 - KUJANGSARI - BANDUNG
  KIDUL - BANDUNG CITY - WEST JAVA 40287",2024
52,32,JAWA BARAT,3273,KOTA BANDUNG,MAMPUH TRAVEL,"JL. WIJAYA KUSUMAH NO.AB NO.20 - GEMPOLSARI - KEC. BANDUNG
  KULON - KOTA BANDUNG - JAWA BARAT 40215",2024
53,32,JAWA BARAT,3273,KOTA BANDUNG,HIGHLIGHT TOURS & TRAVEL,"TERRACE GARDEN KAV 11 - JL. SUMBER ASIH NO.150 - KEC. BANDUNG
  KULON - KOTA BANDUNG - JAWA BARAT 40211",2024
54,32,JAWA BARAT,3273,KOTA BANDUNG,DEWAN TOUR AND TRAVEL,"JL. SURYANI DALAM I NO.11 - WR. MUNCANG - KEC. BANDUNG KULON -
  KOTA BANDUNG - JAWA BARAT 40211",2024
55,32,JAWA BARAT,3273,KOTA BANDUNG,DOA TOUR &TRAVEL,"CIBUNTU SAYURAN - RT/RW 001/006 - KEL - WR. MUNCANG - KEC.
  BANDUNG KULON - KOTA BANDUNG - JAWA BARAT 40211",2024
56,32,JAWA BARAT,3273,KOTA BANDUNG,QIBLAT TOUR,"JL. TM. CIBEUNYING SEL. NO.15 - CIHAPIT - KEC. BANDUNG WETAN -
  KOTA BANDUNG - JAWA BARAT 40114",2024
57,32,JAWA BARAT,3273,KOTA BANDUNG,ABYAKTA TOUR & TRAVEL BANDUNG,"OFFICE & BEYOND BENGAWAN BUILDING - JL. BENGAWAN NO.76 -
  CIHAPIT - BANDUNG WETAN - BANDUNG CITY - WEST JAVA 40114",2024
58,32,JAWA BARAT,3273,KOTA BANDUNG,AMWA TOURS & TRAVEL (UMRAH & HAJJ SPECIAL),"JL. TAMAN CITARUM NO.3 - CITARUM - KEC. BANDUNG WETAN - KOTA
  BANDUNG - JAWA BARAT 40115",2024
59,32,JAWA BARAT,3273,KOTA BANDUNG,MEGACITRA TOURS & TRAVEL,"JL. CIMANDIRI NO.20 - CITARUM - KEC. BANDUNG WETAN - KOTA
  BANDUNG - JAWA BARAT 40115",2024
60,32,JAWA BARAT,3273,KOTA BANDUNG,SAFARI SUCI TRAVEL UMRAH & HAJI,"JL. TAMAN CITARUM NO.11 - CITARUM - KEC. BANDUNG WETAN - KOTA
  BANDUNG - JAWA BARAT 40115",2024
61,32,JAWA BARAT,3273,KOTA BANDUNG,PERCIKAN IMAN,"JL. CITARUM NO.9 - CITARUM - KEC. BANDUNG WETAN - KOTA BANDUNG
  - JAWA BARAT 40115",2024
62,32,JAWA BARAT,3273,KOTA BANDUNG,DAYA CIPTA UMROH,"JL. CIMANUK NO.9 - CITARUM - KEC. BANDUNG WETAN - KOTA BANDUNG
  - JAWA BARAT 40115",2024
63,32,JAWA BARAT,3273,KOTA BANDUNG,"PT ENKA DUNIA WISATA, TRAVEL SERVICES","JL. TRUNOJOYO NO.11 - CITARUM - KEC. BANDUNG WETAN - KOTA
  BANDUNG - JAWA BARAT 40115",2024
