review_target_id,penginapan_id,name,property_type,latitude,longitude,overall_rating,reviews_existing,review_confidence_label,review_scrape_priority,data_quality_score,has_final_child_listing,final_child_count,name_looks_detail_listing,target_review_note,google_maps_search_query,google_maps_search_url,source_dataset,flag_group,flag_reason,suggested_action,split_status,split_reason,manual_decision,manual_note,final_target_status,final_ready_source,final_ready_reason,review_group_for_claude,audit_recommendation,parent_candidate_id,parent_candidate_name,parent_candidate_property_type,parent_candidate_distance_km,parent_candidate_name_ratio,parent_candidate_token_score,parent_candidate_score,decision_group,decision_status,decision_reason,claude_decision,claude_evidence_url,claude_reason,final_decision,final_group,final_reason,final_decision_source
PHREV-20260605-0065,LODGE-00199,Cluster Harris Home Stay & Kos,guest_house,-6.8953136,107.538659,4.3,349,high_review_confidence,high_review_confidence,0.76,False,0,False,parent_target,"Cluster Harris Home Stay & Kos -6.8953136,107.538659",https://www.google.com/maps/search/?api=1&query=Cluster%20Harris%20Home%20Stay%20%26%20Kos%20-6.8953136%2C107.538659,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,
PHREV-20260605-0167,LODGE-00080,Cottonwood Bed & Breakfast House Bandung,guest_house,-6.8863181,107.577594,4.6,853,high_review_confidence,high_review_confidence,0.94,False,0,False,parent_target,"Cottonwood Bed & Breakfast House Bandung -6.8863181,107.577594",https://www.google.com/maps/search/?api=1&query=Cottonwood%20Bed%20%26%20Breakfast%20House%20Bandung%20-6.8863181%2C107.577594,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,
PHREV-20260605-0179,LODGE-01350,De Halimun Guest House,guest_house,-6.9264,107.6214,4.4,983,high_review_confidence,high_review_confidence,0.85,False,0,False,parent_target,"De Halimun Guest House -6.9264,107.6214",https://www.google.com/maps/search/?api=1&query=De%20Halimun%20Guest%20House%20-6.9264%2C107.6214,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,
PHREV-20260605-0051,LODGE-01356,Fiori Bed & Breakfast,guest_house,-6.8831,107.5844,4.8,318,high_review_confidence,high_review_confidence,0.85,False,0,False,parent_target,"Fiori Bed & Breakfast -6.8831,107.5844",https://www.google.com/maps/search/?api=1&query=Fiori%20Bed%20%26%20Breakfast%20-6.8831%2C107.5844,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,
PHREV-20260605-0022,LODGE-00438,Hen's Guest House,guest_house,-6.8822678,107.5316067,4.6,245,high_review_confidence,high_review_confidence,0.44,False,0,False,parent_target,"Hen's Guest House -6.8822678,107.5316067",https://www.google.com/maps/search/?api=1&query=Hen%27s%20Guest%20House%20-6.8822678%2C107.5316067,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,
PHREV-20260605-0129,LODGE-00037,Homestay Budihouse,guest_house,-6.8908,107.5589,4.1,576,high_review_confidence,high_review_confidence,1.0,False,0,False,parent_target,"Homestay Budihouse -6.8908,107.5589",https://www.google.com/maps/search/?api=1&query=Homestay%20Budihouse%20-6.8908%2C107.5589,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,
PHREV-20260605-0059,LODGE-01133,Hotel Doorman Guest House,guest_house,-6.9175,107.5997,4.6,337,high_review_confidence,high_review_confidence,0.95,False,0,False,parent_target,"Hotel Doorman Guest House -6.9175,107.5997",https://www.google.com/maps/search/?api=1&query=Hotel%20Doorman%20Guest%20House%20-6.9175%2C107.5997,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,
PHREV-20260605-0063,LODGE-01134,Hotel O Cihampelas Near Ciwalk Formerly D'River Guest House,guest_house,-6.8862,107.6043,4.2,346,high_review_confidence,high_review_confidence,0.95,False,0,False,parent_target,"Hotel O Cihampelas Near Ciwalk Formerly D'River Guest House -6.8862,107.6043",https://www.google.com/maps/search/?api=1&query=Hotel%20O%20Cihampelas%20Near%20Ciwalk%20Formerly%20D%27River%20Guest%20House%20-6.8862%2C107.6043,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,
PHREV-20260605-0175,LODGE-01135,Hotel Triple Seven Bed & Breakfast,guest_house,-6.9047,107.5924,4.4,938,high_review_confidence,high_review_confidence,0.95,False,0,False,parent_target,"Hotel Triple Seven Bed & Breakfast -6.9047,107.5924",https://www.google.com/maps/search/?api=1&query=Hotel%20Triple%20Seven%20Bed%20%26%20Breakfast%20-6.9047%2C107.5924,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,
PHREV-20260605-0170,LODGE-00819,Jayagiri Guesthouse,guest_house,-6.8073,107.6196,4.5,901,high_review_confidence,high_review_confidence,1.0,False,0,False,parent_target,"Jayagiri Guesthouse -6.8073,107.6196",https://www.google.com/maps/search/?api=1&query=Jayagiri%20Guesthouse%20-6.8073%2C107.6196,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,,,,ready,Tidak masuk kelompok detail-name yang perlu ditahan.,,,ready,initial_ready,Lolos split awal dan tidak masuk keputusan exclude final.,,,,,,,,,,,,,,,,,,,
