location_id,location_name,media_available,media_image_url,media_destination_url,media_website,media_source,media_match_title,media_match_score,media_match_method,media_audit_status,media_audit_note
LOC-045,Jendela Alam,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEnuMfZdW-xVwIYnTuNzV81uAzPavC6CapdO7GrsBiRlK7J0E-ENLfbiHEBKf0S7WakvVdSGxve19-6rn6_0HRPYIJJzG0QH_XxWmvwIerP4Lt8j8OeOPbbjsQJl0kKKLY4UHCC=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Jendela%20Alam&query_place_id=ChIJG2FOuWzhaC4Ri9rRVo6onlQ,,google_maps_extractor_2026_05_19,Jendela Alam,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-046,Kampung Buyut Cipageran (Kabuci) Asih Putera,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHmUCng1qwRXIiEhquXKAin18hQlYZUtBvpwc61HJ7t_UeqLaMn2hNgKgJj9lswbSBVbWwfsULwedminn6HuYK8jr4wzu5ahPosa95IR3xOlQCPDD0dLd6je_aFrPLX6ja8QqdwqOUXXRU=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Kampung%20Buyut%20Cipageran%20(Kabuci)%20Asih%20Putera&query_place_id=ChIJAVEWnorjaC4RUXdsl6tMukc,,google_maps_extractor_2026_05_19,Kampung Buyut Cipageran (Kabuci) Asih Putera,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-047,Kampung Cireundeu,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGupIyK3CbRKFlEHMdPsrC5XwQ9LBpSWJHEzQRdGyEEmMJ_BVnH5wPv7iOqlXhNRiIGy6o0qnllRjP8wZBm-zXed89yP1rw7MTwdUDcn_7APVt_fkb55qKFIYZfU6U_XBkWM1iU=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Kampung%20Cireundeu&query_place_id=ChIJ5Rrrf2flaC4RRjRvESawz60,https://www.instagram.com/visitcireundeu/?hl=id,google_maps_extractor_2026_05_19,Kampung Cireundeu,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-048,Kampung Karuhun Eco Green Park Sumedang,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGnwR6Hi4GGhTsdZYLc5FgZUBYbwqt_H1dZKjwdS0N0oSoR-3TdpAalfOnw1sQUR3Er5lZn9UfHKeW07h7GlffDjoKE0NjJWxayq1mamWY7llKxcPUA1FG58-94J0Ofr0BsVF6nDA=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Kampung%20Karuhun%20ECO%20Green%20Park%20Sumedang&query_place_id=ChIJvfqDi__RaC4RqN__FAtEJtE,http://kampungkaruhun.com/,google_maps_extractor_2026_05_19,Kampung Karuhun ECO Green Park Sumedang,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-049,Kampung Toga Villa & Resto,False,,,,,Kampung Cireundeu,0.5333,missing,missing,No reliable media match.
LOC-050,Kawah Putih,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEekHqd68TS5gf6jC-_aepDQYgaOoeJBGMF3LWdyA05OgNFdr_aFEWcuDSVhLAZ4-Y3gDxfCILol1DjWcVxrozL7qgvTH8zxVuo5TdEquxYmKIGY2RyXwSdlnUTDZRIcDFLUm6P5g=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Kawah%20Putih&query_place_id=ChIJD1HcgxOMaC4RPqij5LgbtPo,,google_maps_extractor_2026_05_19,Kawah Putih,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-051,Kebun Begonia Lembang,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEtW-a94LytDga_7r0Ng1EtjAug1PDo56SIbOGFfXKUJVLjfG0Vhw8lza2d_AYXx_Tdyn-vgEyr9u4Er_VS2ykBCRtuIqKBJVJnQvIghK0f6-F_5AxnrATz4UpWGhvVLChtmRQWug=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Kebun%20Begonia%20Lembang&query_place_id=ChIJFTPWZ_PgaC4Rpjxz_DA1gqw,,google_maps_extractor_2026_05_19,Kebun Begonia Lembang,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-052,Kebun Binatang Bandung,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGV--nsDNEXvAnqJu5qDPL1uHRBFiikbNm8tXRLTyZwqhE7g-Aff13bjTx3hDjCQH_o3cQANsRFy1ee2-KR6fzsqc6XtelZBoalmuaUO8LfYqH3Ze64YL7iTvlSIkn5St4J7_IM=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Kebun%20Binatang%20Bandung&query_place_id=ChIJDXWgTVjmaC4RfxI0d8pYMHc,https://trv.lk/xpe?id=i9657610356336,google_maps_extractor_2026_05_19,Kebun Binatang Bandung,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-053,Lembang Park & Zoo,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHTb9NkF6g_MB_iYGqyIFteGfbja0gCyWBk5MJjx6jnbQKw6GrZndKg78Po82cQgq5LDMAd9n4taaDLgkbmlE0EsGX-VfQANOlxaw-c5zssuIla_1GwHvAm5CGeaaqM_FInhmcL-Q=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Lembang%20Park%20%26%20Zoo&query_place_id=ChIJc0Pt2KrhaC4R5v7HbJL8cxs,https://www.lembangparkzoo.co.id/,google_maps_extractor_2026_05_19,Lembang Park & Zoo,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-054,Lembang Wonderland,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEnqfd8Vj_bjKBw53V9MAOGM0_1PBZwxUDKFYlmwONkgEqJKfwzrYuWgs-4zwEwBwCGbyQLyqygfCaAP-G26w2hcLdymoui5IwfQeYz63Ek2g7HS4drqdVCmHG9ExoK3K0ijkmY=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=LEMBANG%20Wonderland&query_place_id=ChIJo8DfYCnhaC4RwZWDkG319Kg,,google_maps_extractor_2026_05_19,LEMBANG Wonderland,1.0,exact_normalized_title,accepted,Exact normalized title match.
