location_id,location_name,category,priority,issue_type,field_name,current_value,new_value,source_url,matched_raw_title,match_score,reviewer_status,reviewer_note
LOC-068,Pasar Cimindi,Tempat Belanja,MEDIUM,missing_value,avg_rating,,4.1,https://www.google.com/maps/search/?api=1&query=Pasar%20Cimindi&query_place_id=ChIJ_ZYRy8jlaC4RPaMxHmIuSbE,Pasar Cimindi,1.0,approved_candidate,Auto-candidate rating from local Google Maps extractor; verify before apply.
LOC-133,Punclut Bandung (Puncak Ciumbuleuit),Wisata Alam,MEDIUM,missing_value,avg_rating,,4.5,https://www.google.com/maps/search/?api=1&query=Punclut%20Puncak&query_place_id=ChIJNbO7_NPmaC4Rq9bKfN9tV0M,Punclut Puncak,1.0,approved_candidate,Auto-candidate rating from local Google Maps extractor; verify before apply.
LOC-137,Rumah Belanda,Tempat Budaya,MEDIUM,missing_value,avg_rating,,5.0,https://www.google.com/maps/search/?api=1&query=Rumah%20Belanda&query_place_id=ChIJrzbehdrlaC4Rl0N4eju7cmU,Rumah Belanda,1.0,approved_candidate,Auto-candidate rating from local Google Maps extractor; verify before apply.
LOC-152,Kebun Teh Rancabali,Wisata Alam,MEDIUM,missing_value,avg_rating,,4.7,https://www.google.com/maps/search/?api=1&query=Perkebunan%20Teh%20RANCABALI&query_place_id=ChIJvwek54aLaC4RriJBwwiFnes,Perkebunan Teh RANCABALI,0.8837,review_required,Auto-candidate rating from local Google Maps extractor; verify before apply.
LOC-155,Curug Panganten,Wisata Alam,MEDIUM,missing_value,avg_rating,,4.4,https://www.google.com/maps/search/?api=1&query=Curug%20Panganten%20Kembar&query_place_id=ChIJ-eDDf8mVaC4RR1iMf43Xlks,Curug Panganten Kembar,1.0,approved_candidate,Auto-candidate rating from local Google Maps extractor; verify before apply.
LOC-195,Sungai Cikahuripan Green Canyon Saguling,Wisata Alam,MEDIUM,missing_value,avg_rating,,4.3,https://www.google.com/maps/search/?api=1&query=Cikahuripan&query_place_id=ChIJMRXNHeb5aC4R3ZJCeZ0uVzA,Cikahuripan,1.0,approved_candidate,Auto-candidate rating from local Google Maps extractor; verify before apply.
LOC-196,Curug Walanda Citatah,Wisata Alam,MEDIUM,missing_value,avg_rating,,4.6,https://www.google.com/maps/search/?api=1&query=Curug%20Walanda&query_place_id=ChIJg8_ElDKoaS4R0-oy_NhXO3Y,Curug Walanda,1.0,approved_candidate,Auto-candidate rating from local Google Maps extractor; verify before apply.
LOC-226,Gunung Nini Pangalengan,Wisata Alam,MEDIUM,missing_value,avg_rating,,4.4,https://www.google.com/maps/search/?api=1&query=Gunung%20Nini&query_place_id=ChIJc04etCuXaC4RI6TiWEhG8d4,Gunung Nini,1.0,approved_candidate,Auto-candidate rating from local Google Maps extractor; verify before apply.
LOC-234,Perkebunan Teh Rancabali,Rekreasi Alam,MEDIUM,missing_value,avg_rating,,4.7,https://www.google.com/maps/search/?api=1&query=Perkebunan%20Teh%20RANCABALI&query_place_id=ChIJvwek54aLaC4RriJBwwiFnes,Perkebunan Teh RANCABALI,1.0,approved_candidate,Auto-candidate rating from local Google Maps extractor; verify before apply.
LOC-233,Kampung Wisata Pangjugjugan,Rekreasi Alam,LOW,missing_value,avg_rating,,4.2,https://www.google.com/maps/search/?api=1&query=Kampung%20Wisata%20Pangjugjugan&query_place_id=ChIJX6RTDK3aaC4RxJxrbszp9no,Kampung Wisata Pangjugjugan,1.0,approved_candidate,Auto-candidate rating from local Google Maps extractor; verify before apply.
