location_name,total_ulasan,avg_sentimen_skor,avg_rating,ulasan_positif,ulasan_negatif,sentimen_label_lokasi,sentiment_score,sentiment_model_source,sentiment_model_version,sentiment_available
Cimahi Mall,399,0.6491228070175439,4.190476190476191,302,43,Sangat Positif,0.6491228070175439,tfidf_linearsvc,run_nlp_pipeline_v2,True
Ecopark Curug Tilu Ciwidey,983,0.6480162767039674,4.171922685656154,763,126,Sangat Positif,0.6480162767039674,tfidf_linearsvc,run_nlp_pipeline_v2,True
Maribaya Natural Hotspring Resort,119,0.6470588235294118,4.285714285714286,89,12,Sangat Positif,0.6470588235294118,tfidf_linearsvc,run_nlp_pipeline_v2,True
Monumen Bandung Lautan Api,14,0.6428571428571429,4.214285714285714,11,2,Sangat Positif,0.6428571428571429,tfidf_linearsvc,run_nlp_pipeline_v2,True
Sanghyang Heuleut,56,0.6428571428571429,4.214285714285714,45,9,Sangat Positif,0.6428571428571429,tfidf_linearsvc,run_nlp_pipeline_v2,True
Desa Wisata Buricak Burinong,52,0.6346153846153846,4.115384615384615,38,5,Sangat Positif,0.6346153846153846,tfidf_linearsvc,run_nlp_pipeline_v2,True
Barusen Hills Ciwidey,54,0.6111111111111112,4.074074074074074,42,9,Sangat Positif,0.6111111111111112,tfidf_linearsvc,run_nlp_pipeline_v2,True
Pemandian Cipanas Cileungsing,54,0.6111111111111112,4.222222222222222,39,6,Sangat Positif,0.6111111111111112,tfidf_linearsvc,run_nlp_pipeline_v2,True
Farm House Susu Lembang,631,0.606973058637084,4.080824088748019,462,79,Sangat Positif,0.606973058637084,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Love Soreang,60,0.6,4.2,44,8,Sangat Positif,0.6,tfidf_linearsvc,run_nlp_pipeline_v2,True
Kawah Rengganis Ciwidey,50,0.6,4.26,39,9,Sangat Positif,0.6,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Jomblo,199,0.5778894472361809,3.969849246231156,132,17,Positif,0.5778894472361809,tfidf_linearsvc,run_nlp_pipeline_v2,True
Dago Dreampark,51,0.5686274509803921,4.0588235294117645,37,8,Positif,0.5686274509803921,tfidf_linearsvc,run_nlp_pipeline_v2,True
Bandung Carnival Land,88,0.5681818181818182,4.170454545454546,63,13,Positif,0.5681818181818182,tfidf_linearsvc,run_nlp_pipeline_v2,True
Rumah Makan Sangu Liwet Ibu Ika Pasirjambu Ciwidey,198,0.5656565656565656,3.984848484848485,139,27,Positif,0.5656565656565656,tfidf_linearsvc,run_nlp_pipeline_v2,True
Cakrawala Nature Sparkling Restaurant,18,0.5555555555555556,3.5,14,4,Positif,0.5555555555555556,tfidf_linearsvc,run_nlp_pipeline_v2,True
Kampung Karuhun Eco Green Park Sumedang,49,0.5510204081632653,3.979591836734694,36,9,Positif,0.5510204081632653,tfidf_linearsvc,run_nlp_pipeline_v2,True
Masjid Agung Bandung,200,0.55,4.09,146,36,Positif,0.55,tfidf_linearsvc,run_nlp_pipeline_v2,True
Glamping Lakeside Rancabali,199,0.5477386934673367,3.969849246231156,147,38,Positif,0.5477386934673367,tfidf_linearsvc,run_nlp_pipeline_v2,True
Gn. Tangkuban Parahu,55,0.5454545454545454,4.0,40,10,Positif,0.5454545454545454,tfidf_linearsvc,run_nlp_pipeline_v2,True
Bandung Science Center,109,0.5412844036697247,3.8623853211009176,76,17,Positif,0.5412844036697247,tfidf_linearsvc,run_nlp_pipeline_v2,True
Curug Cipanas,49,0.5102040816326531,4.020408163265306,35,10,Positif,0.5102040816326531,tfidf_linearsvc,run_nlp_pipeline_v2,True
Upside Down World Bandung,199,0.5025125628140703,3.8241206030150754,132,32,Positif,0.5025125628140703,tfidf_linearsvc,run_nlp_pipeline_v2,True
Cimory Dairyland Lembang,2,0.5,4.5,1,0,Positif,0.5,tfidf_linearsvc,run_nlp_pipeline_v2,True
Curug Cilengkrang,48,0.5,3.8541666666666665,33,9,Positif,0.5,tfidf_linearsvc,run_nlp_pipeline_v2,True
Sarae Hills,46,0.5,4.021739130434782,33,10,Positif,0.5,tfidf_linearsvc,run_nlp_pipeline_v2,True
Taman Maluku,8,0.5,4.0,6,2,Positif,0.5,tfidf_linearsvc,run_nlp_pipeline_v2,True
Karang Setra Waterland,127,0.4960629921259842,3.811023622047244,90,27,Positif,0.4960629921259842,tfidf_linearsvc,run_nlp_pipeline_v2,True
Curug Maribaya,41,0.4878048780487805,3.926829268292683,28,8,Positif,0.4878048780487805,tfidf_linearsvc,run_nlp_pipeline_v2,True
Trans Studio Bandung,200,0.48,3.875,139,43,Positif,0.48,tfidf_linearsvc,run_nlp_pipeline_v2,True
23 Paskal Shopping Center,200,0.48,3.89,142,46,Positif,0.48,tfidf_linearsvc,run_nlp_pipeline_v2,True
De'Ranch Lembang,53,0.4339622641509434,3.679245283018868,37,14,Positif,0.4339622641509434,tfidf_linearsvc,run_nlp_pipeline_v2,True
Victory Waterpark Soreang,61,0.3770491803278688,3.6885245901639343,41,18,Positif,0.3770491803278688,tfidf_linearsvc,run_nlp_pipeline_v2,True
Rumah Guguk,55,0.3636363636363636,3.7818181818181817,34,14,Positif,0.3636363636363636,tfidf_linearsvc,run_nlp_pipeline_v2,True
Cicalengka Dreamland,47,0.3617021276595745,3.808510638297872,29,12,Positif,0.3617021276595745,tfidf_linearsvc,run_nlp_pipeline_v2,True
Puncak Eurad,43,0.3255813953488372,3.604651162790698,27,13,Positif,0.3255813953488372,tfidf_linearsvc,run_nlp_pipeline_v2,True
Ciwidey Valley Resort,199,0.2663316582914573,3.5025125628140703,109,56,Positif,0.2663316582914573,tfidf_linearsvc,run_nlp_pipeline_v2,True
Trans Studio Mall Bandung,200,0.265,3.515,118,65,Positif,0.265,tfidf_linearsvc,run_nlp_pipeline_v2,True
Lembang Wonderland,210,0.1571428571428571,3.1142857142857143,111,78,Netral,0.1571428571428571,tfidf_linearsvc,run_nlp_pipeline_v2,True
Forest Walk Babakan Siliwangi,20,0.15,3.35,10,7,Netral,0.15,tfidf_linearsvc,run_nlp_pipeline_v2,True
Pemandian Air Panas Cibolang,22,0.1363636363636363,3.227272727272727,9,6,Netral,0.1363636363636363,tfidf_linearsvc,run_nlp_pipeline_v2,True
Situ Ninah (Situ Datar),21,0.0952380952380952,3.095238095238096,11,9,Netral,0.0952380952380952,tfidf_linearsvc,run_nlp_pipeline_v2,True
Bird & Bromelia Pavilion,26,-0.3076923076923077,2.4615384615384617,8,16,Negatif,-0.3076923076923077,tfidf_linearsvc,run_nlp_pipeline_v2,True
