location_id,location_name,gallery_index,source_image_url,media_storage_url,media_public_id,media_upload_status,media_upload_error,match_confidence,matched_title
LOC-068,Pasar Cimindi,1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFV4s51vlBOLVNmpaucjwfBL9VdvOus57OagO9cYdbE1C32oL1w061u8Hg5ZkGSEGkQP3_QBIKfEkBNxp7t3wJ6xrBlYcNZhqhDMt348t9vQ5fppzDXZuUZmHtGIZ2ePXB0Th3D=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780091/muterbandung/wisata/LOC-068_gallery_01.jpg,muterbandung/wisata/LOC-068_gallery_01,uploaded,,exact,Pasar Cimindi
LOC-068,Pasar Cimindi,2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEqN2ZsRuc_SBFBML6C43fIkXnnXAU2gqL6kKWTHl4vltca3PjE9_Blt-RxuZxwQUZd5BtaDyjqf7IKb0rAa3MyrGxWNT1Di9M_oxobBjudcivj-zOvwgkP53U_gUQevzn0F0Av=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780093/muterbandung/wisata/LOC-068_gallery_02.jpg,muterbandung/wisata/LOC-068_gallery_02,uploaded,,exact,Pasar Cimindi
LOC-068,Pasar Cimindi,3,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGdLVG1rZ4teFxUJfm1FGvSOg8OErMfgqdmx-TvuEuU3hJUBxY7tJLpiM-4TbWZjx6Lb8H7E9X4UxL9dzFKBYpafHY5yeB8BZrDeR7TGYq7IRT1Tk08lJvRPSy46uM4yLqc-x5uWw=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780094/muterbandung/wisata/LOC-068_gallery_03.jpg,muterbandung/wisata/LOC-068_gallery_03,uploaded,,exact,Pasar Cimindi
LOC-068,Pasar Cimindi,4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF9VLbmcGKiRAvwRkUROc6WnLIStKfxtG6Nofa1S02nPqzXa6dvwVk6PAHQQKhtkDiAr3u0a3BnanC2hTPI9reRbz_GiPe74W_dmxdDdyk9aiMaSz_x9kNMenrma6yqR2_ZO4ef4A=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780096/muterbandung/wisata/LOC-068_gallery_04.jpg,muterbandung/wisata/LOC-068_gallery_04,uploaded,,exact,Pasar Cimindi
LOC-069,Pemandian Cipanas Cileungsing,1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHdEzN6y4zFZ1vNzisZmy9UeEU79s-tkYrxaMY78qnm7QYKsSB64LYVROlvMWGTmTrGAZ1ligYR41iXOLRzEiI4OAV6IKleHzoYPgtlK_4fDF7eNQ7piM7jgm4gSCcHYwXuYgMQZw=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780097/muterbandung/wisata/LOC-069_gallery_01.jpg,muterbandung/wisata/LOC-069_gallery_01,uploaded,,exact,Pemandian Cipanas Cileungsing
LOC-069,Pemandian Cipanas Cileungsing,2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEFQSKLkAf3aQp498GyGOA9DHRFq0s6IjXiIFjeIXWw626jJEl2x-p_LWHn_csh7rHaoyH6CzkTvBt7Qwq1EvyAyu_JNe4_hRanA83fGMaeF9C9U6NycQ23usce5ILi1UuGJYsd=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780099/muterbandung/wisata/LOC-069_gallery_02.jpg,muterbandung/wisata/LOC-069_gallery_02,uploaded,,exact,Pemandian Cipanas Cileungsing
LOC-069,Pemandian Cipanas Cileungsing,3,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF0s9dljQzG8RvBhbw4SD924Dv0oFtCW68rh19pPvXcZFLdUPj2m0ZSJ7j1gvt9tS34ZSubU_GzPzaR56idImhU6uwqPNWBBPoWrBPIGWxwu4BT8w5yl222ozxXrK-2GQ1hJrT7=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780100/muterbandung/wisata/LOC-069_gallery_03.jpg,muterbandung/wisata/LOC-069_gallery_03,uploaded,,exact,Pemandian Cipanas Cileungsing
LOC-069,Pemandian Cipanas Cileungsing,4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFNs8Xq08b7dZgiHNNjjeSEwNkN_lX0RyMh9fKGCc8rfgsC947MbkA3iBSNF1wSqpeb4A48erzBMjjQuY8oP-gLwXL-YGsoSOUeBKbefz0CG7Id_dlbekv3x2a1oOCK_se2_6hd=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780102/muterbandung/wisata/LOC-069_gallery_04.jpg,muterbandung/wisata/LOC-069_gallery_04,uploaded,,exact,Pemandian Cipanas Cileungsing
LOC-070,Penangkaran Rusa Ranca Upas,1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGP1_T_3-hoPfctB8ltOW262n8pbq8E3zzfC1EISC2px-WM2_c6EWl0u4XRNTOYh0RyaA1sc4zg1P5AP4WWluW8_EXo5FfLJ627q4Bv2r9iENkCFVyDUjDlFwKf8v5lBTnz_Wdm=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780103/muterbandung/wisata/LOC-070_gallery_01.jpg,muterbandung/wisata/LOC-070_gallery_01,uploaded,,exact,Penangkaran Rusa Ranca Upas
LOC-070,Penangkaran Rusa Ranca Upas,2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGX6z82e3M_GIsfz9O6UREVsZqfxScT7Ouj7tuINVMWog0E0BNC0si-IBIvEjdnXk6bIegBODayfudODFDwppNfXtoKH9n-c13BMDzp0Q_ChAORyCztIRSX0jbuOyHhAoYtVGEp=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780105/muterbandung/wisata/LOC-070_gallery_02.jpg,muterbandung/wisata/LOC-070_gallery_02,uploaded,,exact,Penangkaran Rusa Ranca Upas
LOC-070,Penangkaran Rusa Ranca Upas,3,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEK5nouRHnvrtxtyxRkDw1bBf1lCXl_mr9KWN-SR0GY-_WLVoWIr5WWbZO3McxRUWYSWKyLUeisri_lOWpD9wgGigTzjwIC1-nw9jGGBdmuYw7LFcW7qO37AEf891qtEdtfnNw=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780107/muterbandung/wisata/LOC-070_gallery_03.jpg,muterbandung/wisata/LOC-070_gallery_03,uploaded,,exact,Penangkaran Rusa Ranca Upas
LOC-070,Penangkaran Rusa Ranca Upas,4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHYLhlNAytq0hSVF2bEnaAORSkc2zuZ5kG9hBcg1Km0-oUrFR0gokmacm4HBdHB5Sil6fcTjU8i2ldyyHwf12X2sc2v6fOUp4mVbr07S9U8QOBMVoZc2ik1nfQpMnaiqKBv97nb=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780109/muterbandung/wisata/LOC-070_gallery_04.jpg,muterbandung/wisata/LOC-070_gallery_04,uploaded,,exact,Penangkaran Rusa Ranca Upas
LOC-071,Puncak Bukit Kujang Gunung Bohong,1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEjrKP7kB_VszpMhRq8YI2a6xpGysI54sSdadNWw0lgpS_i5lCvPXtlUGLYCTVejlxDzTDe67ofkxrG5J0MtfjLSTMR_Dva76euDUFz98wYmDa1tpNF4UBBrWa9XnXYi8BSRV-5hg=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780111/muterbandung/wisata/LOC-071_gallery_01.jpg,muterbandung/wisata/LOC-071_gallery_01,uploaded,,exact,Puncak Bukit Kujang Gunung Bohong
LOC-071,Puncak Bukit Kujang Gunung Bohong,2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAENv8k3uvKunqYO3l1kbrBDf6a17rzmWCEHCnqGW4vpY5IMNzr1jz9JknFA3AVO35B11O687RjiFMZ-Y-uHKOIxhEV1NQiKy9ALQ2yXSEfpGuPjt6WOP2DVorWf1iiqR9ijc_tS=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780112/muterbandung/wisata/LOC-071_gallery_02.jpg,muterbandung/wisata/LOC-071_gallery_02,uploaded,,exact,Puncak Bukit Kujang Gunung Bohong
LOC-071,Puncak Bukit Kujang Gunung Bohong,3,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFlWzGY3fJXM3tBVBYw5Z2-RVDCwOWV1LbvYfLQQVNKVVVuwWrZp27ajzxwcuXAeJMXFyxjYjGppQJDxw_T0BpWlZDpVAqWK1YG2IIL1FcsfT4MdgeuVp9QPjnffomcUpnLGXVpYg=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780114/muterbandung/wisata/LOC-071_gallery_03.jpg,muterbandung/wisata/LOC-071_gallery_03,uploaded,,exact,Puncak Bukit Kujang Gunung Bohong
LOC-071,Puncak Bukit Kujang Gunung Bohong,4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHxrSenaVWk2l10x9cFeURyZ7GghyfYLbYp8gSaN7yksz-lsITmFjdhE7FgqSHVKD1QG9Mjg0zsjvk5d-VRBTYLKaqMNXL_YxJbXPzRRLdboTfLuK8qGWiHomMaWMmvU0rhJT_I=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780115/muterbandung/wisata/LOC-071_gallery_04.jpg,muterbandung/wisata/LOC-071_gallery_04,uploaded,,exact,Puncak Bukit Kujang Gunung Bohong
LOC-072,Puncak Eurad,1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEPAtfP4T6FmMhRDrWKom3DMYVAycynquQKpB3nr23yllROQ8iJPqLQ8rpfW-ejx-NvqOFAnn6IUSKjwE8R8GyUDSU_tOa-9lrjeoMqOvUddrRG2Z0RkP20-NkCbbW5DSU8ZJdxJg=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780117/muterbandung/wisata/LOC-072_gallery_01.jpg,muterbandung/wisata/LOC-072_gallery_01,uploaded,,exact,Puncak Eurad
LOC-072,Puncak Eurad,2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGsdv69nYJ2eA7JR6WIkPb-xvvkxxb0JwVxXWo0IH7i-ZZKHDhDveNR3cHIOukCzUojF3cKC19a8z9V6W7GZxwYR19KZy45Pd-_u-uMrb5nDRvhojJ32HgPUhRR25x0DYqOzlrP=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780118/muterbandung/wisata/LOC-072_gallery_02.jpg,muterbandung/wisata/LOC-072_gallery_02,uploaded,,exact,Puncak Eurad
LOC-072,Puncak Eurad,3,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEhmYnW2bacADh-y2grHZDs4_P5YGkSah8DVS2oshIeRtKm2dUZT46CDI38mocJNRcy604Dl3o-OmBHxawUzblIs9x68IVl0AYHn7vbMGc0zAC-GA8AqzI6_yboQ4CKTqMwGkuqPg=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780120/muterbandung/wisata/LOC-072_gallery_03.jpg,muterbandung/wisata/LOC-072_gallery_03,uploaded,,exact,Puncak Eurad
LOC-072,Puncak Eurad,4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFxwLRCl4Sx3KMoj7QY92S-qKwvXRKZaOKQP0-SRN_TbJzBEXJYPEX9P6_GrEOXEt-J9CuztcON_bUX7SaqA9Q0cm8B0MIZXLdNvAQCnh5IxEd5kBkljrFXfRWLQnN82AFg8OlT=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780122/muterbandung/wisata/LOC-072_gallery_04.jpg,muterbandung/wisata/LOC-072_gallery_04,uploaded,,exact,Puncak Eurad
LOC-073,Ranca Upas Ciwidey,1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsKE_1j2HYzFoiAMtj_99RUxCxANyC5HDMxxSrcrH4UoGwYSpqFDJ-H2eV18yDBpAn1L-ByBA1RTGVveEbDQ84vQTgaGbuPNdshoxhb3e5ihZu6wN7mKgUbSxXxKxqEBgNeTbv=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780124/muterbandung/wisata/LOC-073_gallery_01.png,muterbandung/wisata/LOC-073_gallery_01,uploaded,,exact,Ranca Upas Ciwidey
LOC-073,Ranca Upas Ciwidey,2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEu_RyouH0uKIb-zJi3acDxeR0YtLuwSJMqJ1I8D56jdr_BsrAiMECZPzflpTK49Sr_hSoAqL0SREYv6ktbMhAYcIpGAmt855thiDBpc4MiiE1pB6vFgSFHNSvz2Bh82UwHYwcR=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780126/muterbandung/wisata/LOC-073_gallery_02.jpg,muterbandung/wisata/LOC-073_gallery_02,uploaded,,exact,Ranca Upas Ciwidey
LOC-073,Ranca Upas Ciwidey,3,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH9QD409iJvtxJ0R03wqiVtwHkrc4C8nE7iDL_rV9nH-BRI3pIW6ONYKiZAA2XRhBvi2lyc8JjBbXOu-CYZHaJdyjs_9ZNPGUdDyEuyAw_1y02gKW4a7W_cmqheWenWO031YcGjU1wXmRmx=w1920-h1080-k-no,https://res.cloudinary.com/dnfnyjdmj/image/upload/v1781780128/muterbandung/wisata/LOC-073_gallery_03.jpg,muterbandung/wisata/LOC-073_gallery_03,uploaded,,exact,Ranca Upas Ciwidey
