penginapan_id,name,property_type,overall_rating,reviews,price_lowest,price_display,amenities,primary_image_url,link,data_quality_score,data_quality_label,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,rating_sentiment_score,name_looks_detail_listing,capacity_min_estimated,capacity_max_estimated,capacity_confidence,attention_score,attention_level,attention_reasons,recommended_data_action,refined_detail_listing_group,refined_detail_listing_action,refined_detail_listing_priority,refined_price_status,refined_price_action,refined_price_note,refined_low_quality_status,refined_low_quality_action,refined_low_quality_note,refined_overall_data_action
LODGE-00442,Kost Gerlong Hilir,guest_house,4.4,68.0,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEUXmY6CEPGHMutMuKyKOD3gfnHdneWrLaHHHqykRK3Z2Aac892BNrhx95NhgocJvQB0dTdcz-0gJ7i_H8nGYmdPx5EDX23hrqYbMH0xHIBVq3TwR_BZvH6vZuqcM50RRbIO6gvQA=s10000,,0.44,low,13,0.6230068843268317,Positif,medium_review_confidence,0.7794117647058824,False,1,2,low_capacity_confidence,9,high,low_data_quality|missing_price|missing_amenities|missing_source_link,complete_amenities_if_needed,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00443,Mega raya,hotel,5.0,2.0,,,,https://lh5.googleusercontent.com/p/1FM12lAF5V0adPikeOehXg=s10000,,0.44,low,0,,Belum tersedia,missing_review_confidence,1.0,False,1,2,low_capacity_confidence,9,high,low_data_quality|missing_price|missing_amenities|missing_source_link,complete_amenities_if_needed,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00444,OYO Life 93097 Apartemen Gateway Pasteur,apartment,2.0,4.0,,,,https://images.trvl-media.com/lodging/101000000/100740000/100737200/100737152/w2878h1918x0y0-74dfd7af_z.jpg,,0.44,low,0,,Belum tersedia,missing_review_confidence,-0.5,False,2,4,low_capacity_confidence,12,high,low_data_quality|missing_price|missing_amenities|missing_source_link|property_type_maybe_needs_review|capacity_low_confidence_for_unit_property,verify_property_type,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00445,Oyo,hotel,2.3,3.0,,,,https://lh5.googleusercontent.com/p/AzHpBjkMYU9PZomd-UL9NA=s10000,,0.44,low,50,0.181168485021713,Netral,high_review_confidence,-0.3333333333333333,False,1,2,low_capacity_confidence,9,high,low_data_quality|missing_price|missing_amenities|missing_source_link,complete_amenities_if_needed,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00446,Paras Yogya With Private Pool Villa,villa,4.0,1.0,,,,https://lh5.googleusercontent.com/p/VWtl8ZM-3GxPURiFhIKStg=s10000,,0.44,low,1,0.5805292265126879,Positif,low_review_confidence,1.0,False,4,8,low_capacity_confidence,10,high,low_data_quality|missing_price|missing_amenities|missing_source_link|capacity_low_confidence_for_unit_property,complete_amenities_if_needed,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00447,Regina's Home Guesthouse,guest_house,5.0,5.0,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEITDMohUubUr859lRHRZsmwxvycrK6ql7DX7LlZfWuPXEapwl9yRBi4K7LyoAxJ5VRswvmsaIzCtx5U5y6IMjMaA7rnJU3GKVRt1wXe42wt8VBzKcndBtn0oU6jNIiPSmiJs55=s10000,,0.44,low,1,0.596285743871576,Positif,low_review_confidence,1.0,False,1,2,low_capacity_confidence,11,high,low_data_quality|missing_price|missing_amenities|missing_source_link|property_type_maybe_needs_review,verify_property_type,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00448,Sentra Duta,hotel,5.0,3.0,,,,https://lh5.googleusercontent.com/p/9Kr8vFNyvq1yH3sB9JsNcQ=s10000,,0.44,low,0,,Belum tersedia,missing_review_confidence,1.0,False,1,2,low_capacity_confidence,9,high,low_data_quality|missing_price|missing_amenities|missing_source_link,complete_amenities_if_needed,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00449,Seven Homestay,guest_house,4.8,40.0,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFOMH7fiq1m9DB_i7zgMoQ6q9P273acFmMd0_Rhxza21PIlu3Qhh_pEVXGqkobkCQSNkH2Yt8SczXOdD3Fg5ULGou1WbchibUxBtpM3JTtBiGbtEFeJv2v-rssyO0K5dQsKnwIS=s10000,,0.44,low,0,,Belum tersedia,missing_review_confidence,0.9,False,1,2,low_capacity_confidence,11,high,low_data_quality|missing_price|missing_amenities|missing_source_link|property_type_maybe_needs_review,verify_property_type,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00450,Tepas Paviliun,hotel,5.0,16.0,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFiK7MWI9yRDu9cgaa2BU0sb8y5JVS3NRNMPd0zcENz5PTkCs-4ercw9oJtvTRou2WxjX2rjI1g2IULClcEAxnc-7w8ROYuI_AEeQZx_qnMGpkITXwOib0z0bUrENe-wTBzOLat=s10000,,0.44,low,11,0.6495826227148892,Positif,medium_review_confidence,1.0,False,1,2,low_capacity_confidence,9,high,low_data_quality|missing_price|missing_amenities|missing_source_link,complete_amenities_if_needed,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
LODGE-00451,Villa Roemi,villa,4.2,12.0,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHHnePPU95ZEO8X-E1-ewIQoWseFlaTeWFpjVkQQOQz9RCrHTJ2kv3VV9Y3D6GjlEwRmlZgPeTKT1t7q0MRK2PjIeRR4IMJjwPutAy3tk0LV_6iJfmim9HH0j4-7DGqvVC-cm92eQ=s10000,,0.44,low,8,0.6228838460789203,Positif,medium_review_confidence,0.75,False,4,8,low_capacity_confidence,10,high,low_data_quality|missing_price|missing_amenities|missing_source_link|capacity_low_confidence_for_unit_property,complete_amenities_if_needed,,,,,,,content_completion_needed,complete_amenities_or_image_if_needed,"data inti ada sebagian, tapi tampilan/filter masih lemah",complete_amenities_or_image_if_needed
