penginapan_id,name,property_type,property_type_final_after_p3,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,amenities,primary_image_url,link,data_quality_score,data_quality_label,primary_dedupe_status,primary_dedupe_group_size,primary_dedupe_group_max_distance_km,primary_dedupe_keep_id,primary_dedupe_merged_from_ids,primary_dedupe_note,primary_dedupe_group_status,primary_dedupe_drop
LODGE-00801,Shine River Ciwidey,vacation_rental,vacation_rental,-7.098,107.4822,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,,https://media.staticontent.com/media/pictures/a69279ff-9321-496d-b4fe-22fe4fae8373,https://www.us.despegar.com/hotels/h-5117973,0.55,medium,drop_primary_exact_duplicate,3,0.0157,LODGE-00786,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00805,Villa Situ Patenggang BKSDA,villa,villa,-7.1637,107.3577,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,,https://media.staticontent.com/media/pictures/4ff89254-63ef-4ed6-b470-b055445928c9,https://www.us.despegar.com/hotels/h-6849599,0.55,medium,drop_primary_exact_duplicate,3,0.0,LODGE-00630,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00817,Villa Situ Patenggang Bksda,villa,villa,-7.1637,107.3577,kbb_tengah_barat,,,,,0,,Belum tersedia,missing_review_confidence,,https://dimg04.c-ctrip.com/images//0223r12000pwktbxh749A_Mtrip_D.jpg,https://www.trip.com/hotels/detail/?hotelid=114557934&Allianceid=1318093&sid=269617419&utm_medium=vr&utm_campaign=vrwebsite&utm_source=googlevr&trip_sub1=googlevrwebsite,0.45,medium,drop_primary_exact_duplicate,3,0.0,LODGE-00630,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00478,Taman Wisata Bougenville by Kozystay,vacation_rental,vacation_rental,-7.1108,107.602,kbb_selatan_baratdaya,,,2440708.0,Rp 2.440.708,16,0.6601710244617693,Positif,high_review_confidence,Ber-AC; Cocok untuk anak; Papan setrika; Dapur; Bebas asap rokok; TV Kabel; Parkir gratis; Wi-Fi gratis,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/746064219.jpg?k=201d730059f1f8ea67feabb0d88e532f35d087186ec9ece8046e0877d7804d0a&o=,https://www.bluepillow.com/search/5b62704f7c00cb1cd0575c5b?dest=bkng&cat=&p_id=589de4257c00cb10c8d9309f&language=en,0.8,high,drop_primary_exact_duplicate,3,0.0248,LODGE-00477,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00483,Taman Wisata Bougenville by Kozystay,vacation_rental,vacation_rental,-7.111,107.6019,kbb_selatan_baratdaya,,,3602977.0,Rp 3.602.977,0,,Belum tersedia,missing_review_confidence,Kolam renang luar; Bebas asap rokok; Parkir gratis; Wi-Fi gratis,https://images.trvl-media.com/lodging/121000000/120100000/120091300/120091278/5600a19c_z.jpg,,0.75,high,drop_primary_exact_duplicate,3,0.0248,LODGE-00477,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00186,Villa Kyuri Lembang,villa,villa,-6.8157,107.5581,cimahi_baros_pasteur,,,1071000.0,Rp 1.071.000,0,,Belum tersedia,missing_review_confidence,Dapur; Kompor,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzFqoyzDDhIlvTVVK38YQr1n6c32bQ5tlSPYMGgFmmpiDfoK1KUrDffWJKKOGKTUZ2eElpJtEIf1u7WtO2lALBPgH8eEwKjfaRZBBRNVVCg==.jpg,https://www.booking.com/hotel/id/villa-kyuri-lembang.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-14171785&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-14171785_grp-1_gendate-20260524,0.8,high,drop_primary_exact_duplicate,3,0.0157,LODGE-00185,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00330,Villa Kyuri Lembang,villa,villa,-6.8157,107.5581,cimahi_baros_pasteur,,,,,0,,Belum tersedia,missing_review_confidence,Balkon; Kolam renang di dalam ruangan; Dapur; Pemanggang luar ruang; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/37198460/0/7e46f3a5187d007d9edf47c72be8cb24.jpg?ce=0,https://www.agoda.com/villa-cisarua-lembang-bandung-h37198460/hotel/bandung-id.html,0.65,medium,drop_primary_exact_duplicate,3,0.0157,LODGE-00185,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00016,Lavin Soka Homestay - Tent,guest_house,guest_house,-6.7204,107.3809,bandung_raya_other,,,,,0,,Belum tersedia,missing_review_confidence,Ber-AC; Cocok untuk anak; Bebas asap rokok,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/487778069.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,https://www.freecancellations.com/search/F2cjQQEBG3IHV1BVXlkEEggLD00zRQBG?lat=-6.7204&lng=107.38087&language=en,0.65,medium,drop_primary_exact_duplicate,2,0.0,LODGE-00015,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00291,Dayang Arum Glamping,vacation_rental,vacation_rental,-6.8036,107.5482,cimahi_baros_pasteur,,,,,0,,Belum tersedia,missing_review_confidence,Balkon; Bak air panas; Pemanggang luar ruang; Parkir gratis,https://pix8.agoda.net/hotelImages/62548031/0/e63622fd4eed673323d7285d021d0c55.jpg?ce=0,https://www.agoda.com/dayang-arum-glamping/hotel/pasirlangu-id.html,0.65,medium,drop_primary_exact_duplicate,2,0.0247,LODGE-00290,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
LODGE-00235,Lazuardy Syariah Park and Villa,villa,villa,-6.8161,107.5517,cimahi_baros_pasteur,4.5,1228.0,467775.0,Rp 467.775,0,,Belum tersedia,missing_review_confidence,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGER2q1GmT2pJKwnM-psbF968qnlgNAmoeuJL0qASmNivwCAngZv53NLKRV3olAxQz2eai25qBxQV9tuXbUfc5V_s1iZsqwrqoegt2dwRxeP5hr_yMN6f4KLmoAk95HXbuRe3sr=s10000,,0.7,medium,drop_primary_exact_duplicate,2,0.089,LODGE-00112,,Nama sama dan koordinat dekat; dikeluarkan dari primary agar tidak dobel.,auto_dedupe_close_exact_name,True
