penginapan_id,name,property_type,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,amenities,primary_image_url,link,data_quality_score,data_quality_label,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,capacity_min_estimated,capacity_max_estimated,capacity_confidence,refined_detail_listing_group,refined_detail_listing_action,refined_price_status,refined_price_action,refined_low_quality_status,refined_low_quality_action,attention_level,attention_reasons,same_name_count_in_dataset,listing_policy_status,listing_policy_action,listing_policy_reason,primary_ranking_allowed,secondary_ranking_allowed,manual_validation_needed,manual_validation_topic,validator_priority,validator_question,allowed_manual_decisions,suggested_default_decision,manual_decision,manual_note
LODGE-01439,Cozy Style Studio Room at Jarrdin Cihampelas Apartment By Travelio,apartment,-6.8899,107.5998,kota_bandung,,,433099.0,Rp 433.099,Ber-AC; Dapur; Boleh bawa hewan peliharaan; Bebas asap rokok; TV Kabel,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzPx11qmdI7G9QO6aVv25rZeeS5QV51_u_tee_eOP1OxzeJQuw4nCY6OFh_10AHZFzRkz0H9HLvQSj7sYKSoGhypzdOlo96q_a5njbWfFAQ==.jpg,https://www.booking.com/hotel/id/cozy-style-studio-room-at-jarrdin-cihampelas-apartment-by-travelio.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-12259749&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-12259749_grp-1_gendate-20260524,0.8,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,apartment_unit_detail,secondary_option_not_primary_parent,,,,,high,missing_rating_or_reviews|missing_any_sentiment|looks_like_detail_or_unit_listing,1,secondary_apartment_unit,secondary_only,"unit apartemen boleh disimpan, tapi bukan kandidat utama",False,True,False,,,,,,,
LODGE-01444,Functional Studio Jarrdin Cihampelas By Travelio,apartment,-6.8925,107.605,kota_bandung,,,355891.0,Rp 355.891,Elevator; Dapur; Kolam renang luar; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/15853899/0/59646706b4f6e1e0e6dc26ec7960b702.jpg?ca=12&ce=1,https://www.agoda.com/functional-studio-room-the-jarrdin-cihampelas-apartment-by-travelio/hotel/bandung-id.html,0.8,high,17,0.5429735872737828,Positif,high_review_confidence,1,2,medium_capacity_confidence,apartment_unit_detail,secondary_option_not_primary_parent,,,,,medium,missing_rating_or_reviews|looks_like_detail_or_unit_listing,1,secondary_apartment_unit,secondary_only,"unit apartemen boleh disimpan, tapi bukan kandidat utama",False,True,False,,,,,,,
LODGE-01446,Gateway Apartment Cicadas by DB Property,apartment,-6.9067,107.6446,kota_bandung,4.2,284.0,,,Free Wi-Fi; Free parking; Outdoor pool; Restaurant; Full-service laundry,https://images.trvl-media.com/lodging/65000000/64110000/64105100/64105052/0f75e27e_z.jpg,https://www.oyorooms.com/h/223973?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_BDG389&latitude=-6.90674&longitude=107.6447&locale=id,0.8,high,0,,Belum tersedia,missing_review_confidence,2,4,low_capacity_confidence,,,,,,,low,missing_price|capacity_low_confidence_for_unit_property,1,secondary_apartment_property,secondary_only,"apartemen diposisikan sebagai opsi pendukung, bukan pilihan utama",False,True,False,,,,,,,
LODGE-01447,Good Deal Studio at Easton Park Apt By Travelio,apartment,-6.9365,107.7652,kota_bandung,,,315677.0,Rp 315.677,Elevator; Gym; Dapur; Kolam renang luar; Parkir berbayar; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/37803704/0/69dbe306491c9c573976015cec4cde72.jpeg?ce=0,https://www.agoda.com/good-deal-studio-at-easton-park-apt-by-travelio/hotel/bandung-id.html,0.8,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,apartment_unit_detail,secondary_option_not_primary_parent,,,,,high,missing_rating_or_reviews|missing_any_sentiment|looks_like_detail_or_unit_listing,1,secondary_apartment_unit,secondary_only,"unit apartemen boleh disimpan, tapi bukan kandidat utama",False,True,False,,,,,,,
LODGE-01452,Homey Studio Furnished at Grand Asia Afrika Apartment By Travelio,apartment,-6.9238,107.6184,kota_bandung,,,439888.0,Rp 439.888,Ber-AC; Elevator; Dapur; Kompor; Boleh bawa hewan peliharaan; Bebas asap rokok; TV Kabel,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzPuHfApLe0kzY0sfxj5xUnhOTfdunVMqZkKEh4fTf85JYJia7orTY7NXBbceiN8f1WCTzQTCGQ3uOnmAENfvbYhpn4iMfFlOuApYIeWGfg==.jpg,https://www.booking.com/hotel/id/homey-studio-furnished-at-grand-asia-afrika-apartment-by-travelio.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-12251024&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-12251024_grp-0_gendate-20260524,0.8,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,apartment_unit_detail,secondary_option_not_primary_parent,,,,,high,missing_rating_or_reviews|missing_any_sentiment|looks_like_detail_or_unit_listing|property_type_maybe_needs_review,1,secondary_apartment_unit,secondary_only,"unit apartemen boleh disimpan, tapi bukan kandidat utama",False,True,False,,,,,,,
LODGE-01453,Homey and Cozy Studio at Suites Metro By Travelio,apartment,-6.9392,107.6591,kota_bandung,,,350293.0,Rp 350.293,Elevator; Gym; Dapur; Kolam renang luar; Wi-Fi gratis,https://q-xx.bstatic.com/xdata/images/hotel/max500/582999766.jpg?k=651e1d3bcae21844e4d1235256e84d842ac7d270f1d577eb74460b0392305711&o=,https://www.agoda.com/homey-and-cozy-studio-at-suites-metro-by-travelio/hotel/bandung-id.html,0.8,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,apartment_unit_detail,secondary_option_not_primary_parent,,,,,high,missing_rating_or_reviews|missing_any_sentiment|looks_like_detail_or_unit_listing|property_type_maybe_needs_review,1,secondary_apartment_unit,secondary_only,"unit apartemen boleh disimpan, tapi bukan kandidat utama",False,True,False,,,,,,,
LODGE-01454,"Hommayoz Resort, 2 Bedrooms, Buah Batu, Bandung",apartment,-6.9785,107.6453,kota_bandung,,,1148400.0,Rp 1.148.400,Ber-AC; Dapur; Mesin cuci,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzGRiVHfN20b7mAZe155ejl3Xq2fVnS9nJ0zHvY-WBfxFbbQ5hhOvmtXlAFk4CBM0NPFkFHyM8BhKAtSSzC99vHarWGirzcdPE20M1lQ4tQ==.jpg,https://www.booking.com/hotel/id/hommayoz-resort-2-bedrooms-buah-batu-bandung.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-16321679&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-16321679_grp-3_gendate-20260524,0.8,high,0,,Belum tersedia,missing_review_confidence,3,4,high_capacity_confidence,,,,,,,medium,missing_rating_or_reviews|missing_any_sentiment|property_type_maybe_needs_review,1,secondary_apartment_property,secondary_only,"apartemen diposisikan sebagai opsi pendukung, bukan pilihan utama",False,True,False,,,,,,,
LODGE-01456,Jarrdin Apartemen 2BR poolview C19 by NEMUI ROOM,apartment,-6.8921,107.6051,kota_bandung,,,386364.0,Rp 386.364,Ber-AC; Elevator; Dapur; Kompor; Boleh bawa hewan peliharaan; Bebas asap rokok; TV Kabel; Dapat diakses pengguna kursi roda,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzA20cGLQ4ce8tB7wywUPV84DU2chcsdIf8VdRTaQpkOXckyAYPw1Ct4-I4WDRQEaBs4Twg4DjuFhUoOQ78tcui0MeH91vxlbaDNZAg6MQA==.jpg,https://www.booking.com/hotel/id/jarrdin-apartemen-2br-poolview-c-by-nemui-room.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-14863954&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-14863954_grp-2_gendate-20260524,0.8,high,0,,Belum tersedia,missing_review_confidence,3,4,high_capacity_confidence,apartment_unit_detail,secondary_option_not_primary_parent,,,,,high,missing_rating_or_reviews|missing_any_sentiment|looks_like_detail_or_unit_listing,1,secondary_apartment_unit,secondary_only,"unit apartemen boleh disimpan, tapi bukan kandidat utama",False,True,False,,,,,,,
LODGE-01457,Jarrdin Apartemen Cihampelas By Micky Studio WIFI,apartment,-6.8922,107.6056,kota_bandung,,,204546.0,Rp 204.546,Ber-AC; Dapur,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzJvwB-BaWIq8KRs4uayo5OCPlzxE0DByQCRNCuVhbyQhUfQDfaIq1t7IaoKpXHhj71wHW07ZHhY64r9tzLNRv5l79qq1CvmNR_snaua0SQ==.jpg,https://www.booking.com/hotel/id/jarrdin-apartemen-bandung-by-micky-studio.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-15776634&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-15776634_grp-2_gendate-20260524,0.8,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,apartment_unit_detail,secondary_option_not_primary_parent,,,,,high,missing_rating_or_reviews|missing_any_sentiment|looks_like_detail_or_unit_listing,1,secondary_apartment_unit,secondary_only,"unit apartemen boleh disimpan, tapi bukan kandidat utama",False,True,False,,,,,,,
LODGE-01458,Jarrdin Apartemen Cihampelas By Micky Studio3 WIFI,apartment,-6.8917,107.6053,kota_bandung,,,204546.0,Rp 204.546,Ber-AC; Dapur,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzJNkMMg6pWfDYlv_SbYlmAi65iXouORsCr6e6Zz7ZlHKl7VlwkmB-bfCBP0H-VhPbdWynGyw_JKSVZeyJkJtIIF1z3OvPE60EWsOcZ_eog==.jpg,https://www.booking.com/hotel/id/jarrdin-apartemen-bandung-by-micky-studio-3.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-15776706&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-15776706_grp-2_gendate-20260524,0.8,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,,,,,,,medium,missing_rating_or_reviews|missing_any_sentiment,1,secondary_apartment_property,secondary_only,"apartemen diposisikan sebagai opsi pendukung, bukan pilihan utama",False,True,False,,,,,,,
LODGE-01459,Jarrdin Apartment by D'Carpenter 33 studio,apartment,-6.891,107.6043,kota_bandung,,,368182.0,Rp 368.182,Ber-AC,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzPg_bh3EjlgcE9XDNdM80k-PrzJEUgTNOkqVbcQofz-RLd99VLjNJeQ-giVGOdIfKINy8ZolZHG434_SaQvHvh0ui4p3J4uQiKjvT26_Qg==.jpg,https://www.booking.com/hotel/id/jarrdin-apartment-by-d-carpenter.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-14864184&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-14864184_grp-0_gendate-20260524,0.8,high,7,0.572262341094207,Positif,medium_review_confidence,1,2,medium_capacity_confidence,apartment_unit_detail,secondary_option_not_primary_parent,,,,,medium,missing_rating_or_reviews|looks_like_detail_or_unit_listing,1,secondary_apartment_unit,secondary_only,"unit apartemen boleh disimpan, tapi bukan kandidat utama",False,True,False,,,,,,,
