source_file,target_penginapan_id,target_name,search_string,result_place_title,review_rows,review_text_rows,audit_status,audit_reason
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-30-12-105.json,LODGE-00519,Kuleum Camp And Cabin By ARBA,"Kuleum Camp And Cabin By ARBA -7.1416,107.396",Scout Park,30,17,held_foreign_result,hasil bukan Indonesia (US)
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-30-12-105.json,LODGE-00519,Kuleum Camp And Cabin By ARBA,"Kuleum Camp And Cabin By ARBA -7.1416,107.396",Wavus Camps,22,13,held_foreign_result,hasil bukan Indonesia (US)
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00435,Bobo inn Baros,"Bobo inn Baros -6.8986029,107.5368741",BoboInn,30,16,held_name_mismatch,nama hasil Maps tidak cocok dengan target
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-30-12-105.json,LODGE-01240,"Cozy Haven with Jacuzzi, Rooftop","Cozy Haven with Jacuzzi, Rooftop -6.8444,107.6051",The Uptown Cosy Haven,19,18,held_name_mismatch,nama hasil Maps tidak cocok dengan target
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-30-12-105.json,LODGE-00519,Kuleum Camp And Cabin By ARBA,"Kuleum Camp And Cabin By ARBA -7.1416,107.396",Coolem camp cabin,30,22,held_name_mismatch,nama hasil Maps tidak cocok dengan target
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,,,Direct Detail URL: https://www.google.com/maps/search/?api=1&query=HomeStay%20VV%26V&query_place_id=ChIJWa2_dwCNaC4RzaeORvrh_Uw,HomeStay VV&V,1,1,held_no_target_match,search string tidak cocok dengan index batch
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,,,Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Homestay%20murah%20ciwidey&query_place_id=ChIJXcZOdbKNaC4R1MGy0cbKw1o,Homestay murah ciwidey,27,19,held_no_target_match,search string tidak cocok dengan index batch
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,,,Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Wildan's%20Guest%20House&query_place_id=ChIJ3Xk9cr5NaC4RZViK8wVynL8,Wildan's Guest House,30,17,held_no_target_match,search string tidak cocok dengan index batch
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-01047,TechieRoom Swift at Clove Garden Residence,"TechieRoom Swift at Clove Garden Residence -6.8729,107.6404",TechieRoom Kotlin at Clove Garden Residence,30,15,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan"
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-23-57-821.json,LODGE-00516,Villa Syariah Ciwidey Bandung Arreneuz View Kebun,"Villa Syariah Ciwidey Bandung Arreneuz View Kebun -7.1062,107.4262",Arreneuz Villa Syariah Ciwidey,19,16,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan"
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-30-12-105.json,LODGE-00588,Shakilla House 6B Syariah Cigalumpit Cianjur,"Shakilla House 6B Syariah Cigalumpit Cianjur -6.8162,107.1714",Shakilla House 3 Syariah Cianjur,30,19,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan"
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-30-12-105.json,LODGE-00588,Shakilla House 6B Syariah Cigalumpit Cianjur,"Shakilla House 6B Syariah Cigalumpit Cianjur -6.8162,107.1714",Shakilla House 4 Syariah Cianjur,30,17,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan"
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-30-12-105.json,LODGE-00588,Shakilla House 6B Syariah Cigalumpit Cianjur,"Shakilla House 6B Syariah Cigalumpit Cianjur -6.8162,107.1714",Shakilla House 6 Syariah Cigalumpit,24,16,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan"
dataset_Google-Maps-Reviews-Scraper_2026-06-13_18-30-12-105.json,LODGE-00588,Shakilla House 6B Syariah Cigalumpit Cianjur,"Shakilla House 6B Syariah Cigalumpit Cianjur -6.8162,107.1714",Shakilla House Syariah Cianjur,30,23,needs_review_name_partial,"nama place sebagian mirip, perlu cek ringan"
