penginapan_id,target_name,property_type,priority,target_latitude,target_longitude,search_query,result_title,categoryName,address,result_latitude,result_longitude,distance_km,name_similarity,totalScore,reviewsCount,url,website,placeId,cid,audit_status
LODGE-00815,RedDoorz @ ADDA Cabin Pengalengan,hotel,P1_core_rating_price_missing,-7.2,107.5438,RedDoorz @ ADDA Cabin Pengalengan Pangalengan Kabupaten Bandung Jawa Barat Indonesia,RedDoorz @ ADDA Cabin Pengalengan,Hotel,"Desa, Warnasari, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat 40378, Indonesia",-7.1999657,107.5437784,0.004,1.0,4.6,21.0,https://www.google.com/maps/search/?api=1&query=RedDoorz%20%40%20ADDA%20Cabin%20Pengalengan&query_place_id=ChIJ9ZD84O6RaC4Rpq7wr4Jc7Vg,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/pangalengan/pangalengan/reddoorz-adda-cabin-pengalengan?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,ChIJ9ZD84O6RaC4Rpq7wr4Jc7Vg,6407879561185373862,safe_candidate
LODGE-00492,Homestay Bumina EENK Bandung Pangalengan,guest_house,P1_core_rating_price_missing,-7.2329,107.5215,Homestay Bumina EENK Bandung Pangalengan Pangalengan Kabupaten Bandung Jawa Barat Indonesia,Homestay Bumina Eenk,Hostel,"QG8C+QJR, Sukaluyu, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat 40378, Indonesia",-7.2330015,107.5215193,0.011,0.769,4.9,27.0,https://www.google.com/maps/search/?api=1&query=Homestay%20Bumina%20Eenk&query_place_id=ChIJ64msNgCRaC4R5c3uTCZgifs,https://buminaeenk.com/,ChIJ64msNgCRaC4R5c3uTCZgifs,18125123892945014245,safe_candidate
LODGE-00491,Baraya Homestay,guest_house,P1_core_rating_price_missing,-7.1842,107.5617,Baraya Homestay Pangalengan Kabupaten Bandung Jawa Barat Indonesia,Baraya Homestay,Rumah,"Pulosari, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat, Indonesia",-7.1842007,107.561737,0.004,1.0,,,https://www.google.com/maps/search/?api=1&query=Baraya%20Homestay&query_place_id=ChIJb3YxDVqRaC4RoqcXTyDgDMw,https://www.agoda.com/baraya-homestay-h45050846/hotel/bandung-id.html,ChIJb3YxDVqRaC4RoqcXTyDgDMw,14703373312828352418,no_rating_candidate
LODGE-00491,Baraya Homestay,guest_house,P1_core_rating_price_missing,-7.1842,107.5617,Baraya Homestay Pangalengan Kabupaten Bandung Jawa Barat Indonesia,Homestay Berkah Baraya,Vila,"RH86+823, Pulosari, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat 40378, Indonesia",-7.1842444,107.5600448,0.183,0.432,,,https://www.google.com/maps/search/?api=1&query=Homestay%20Berkah%20Baraya&query_place_id=ChIJ0zUAXwCRaC4RJVyHL0BndZg,,ChIJ0zUAXwCRaC4RJVyHL0BndZg,10985800391413160997,no_rating_candidate
LODGE-00492,Homestay Bumina EENK Bandung Pangalengan,guest_house,P1_core_rating_price_missing,-7.2329,107.5215,Homestay Bumina EENK Bandung Pangalengan Pangalengan Kabupaten Bandung Jawa Barat Indonesia,Homestay Bumina EENK Bandung Pangalengan,Rumah,"Sukaluyu, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat, Indonesia",-7.2328873,107.5215454,0.005,1.0,,,https://www.google.com/maps/search/?api=1&query=Homestay%20Bumina%20EENK%20Bandung%20Pangalengan&query_place_id=ChIJn_ywj1mQaC4R6uqR9wpaym8,https://www.agoda.com/homestay-bumina-eenk-bandung-pangalengan/hotel/palayangan-id.html,ChIJn_ywj1mQaC4R6uqR9wpaym8,8055349886655261418,no_rating_candidate
LODGE-00015,Lavin Soka Homestay - Tent,guest_house,P1_core_rating_price_missing,-6.7204,107.3809,Lavin Soka Homestay - Tent Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia,Lavin Soka Homestay - Tent,Rumah,"Ciharashas, Kecamaten Cipeundeuy, Kabupaten Bandung Barat, Jawa Barat, Indonesia",-6.7203998,107.380867,0.004,1.0,,,https://www.google.com/maps/search/?api=1&query=Lavin%20Soka%20Homestay%20-%20Tent&query_place_id=ChIJ88fkM2MBaS4RJSGT_MpzIMg,https://br.bluepillow.com/search/68e3dd51f93025efadacb0e4?dest=nuit&cat=House&lat=-6.7204&lng=107.38087&language=pt,ChIJ88fkM2MBaS4RJSGT_MpzIMg,14420653322498416933,no_rating_candidate
LODGE-00015,Lavin Soka Homestay - Tent,guest_house,P1_core_rating_price_missing,-6.7204,107.3809,Lavin Soka Homestay - Tent Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia,Lavin Soka Homestay - Tent,Rumah,"Ciharashas, Kecamaten Cipeundeuy, Kabupaten Bandung Barat, Jawa Barat, Indonesia",-6.7203998,107.380867,0.004,1.0,,,https://www.google.com/maps/search/?api=1&query=Lavin%20Soka%20Homestay%20-%20Tent&query_place_id=ChIJ88fkM2MBaS4RxxwzAx0hxzM,https://www.freecancellations.com/search/F2cjQQEBG3IHV1BVXlkEEggLD00zRQBG?lat=-6.7204&lng=107.38087&language=de,ChIJ88fkM2MBaS4RxxwzAx0hxzM,3730987224791194823,no_rating_candidate
LODGE-00493,Pangalengan Homestay By Lunam,guest_house,P1_core_rating_price_missing,-7.1793,107.5703,Pangalengan Homestay By Lunam Pangalengan Kabupaten Bandung Jawa Barat Indonesia,Pangalengan Homestay By Lunam,Rental Akomodasi,"Pangalengan, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat, Indonesia",-7.1793375,107.5703278,0.005,1.0,,,https://www.google.com/maps/search/?api=1&query=Pangalengan%20Homestay%20By%20Lunam&query_place_id=ChIJIxiEulWRaC4RM7-qjmbEV_c,https://www.agoda.com/pangalengan-homestay-by-lunam/hotel/bandung-id.html,ChIJIxiEulWRaC4RM7-qjmbEV_c,17822929995101290291,no_rating_candidate
LODGE-00704,Mila's Homestay,guest_house,P1_core_rating_price_missing,-6.7979,107.1674,Mila's Homestay Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia,Mila Karmila House,Rumah wisata,"Jl. Cilampeni No.02, Cilampeni, Kec. Katapang, Kabupaten Bandung, Jawa Barat 40921, Indonesia",-6.98488,107.558022,47.872,0.545,4.5,4.0,https://www.google.com/maps/search/?api=1&query=Mila%20Karmila%20House&query_place_id=ChIJwzLkRgfvaC4RK_aTvp4xhlE,,ChIJwzLkRgfvaC4RK_aTvp4xhlE,5874437321823352363,noisy_candidate
LODGE-00430,OYO 90892 My Guest House Syariah,guest_house,P1_core_rating_price_missing,-6.9004,107.5225,OYO 90892 My Guest House Syariah Cimahi Jawa Barat Indonesia,OYO 90892 My Guest House Syariah,Apartemen,"Leuwigajah, Kec. Cimahi Sel., Kota Cimahi, Jawa Barat, Indonesia",-6.9004211,107.5224991,0.002,1.0,,,https://www.google.com/maps/search/?api=1&query=OYO%2090892%20My%20Guest%20House%20Syariah&query_place_id=ChIJy-LHIQblaC4R1dKbiYMBiyk,https://deals.vio.com/?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D95867550%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,ChIJy-LHIQblaC4R1dKbiYMBiyk,2993488041778860757,no_rating_candidate
