penginapan_id,name,property_type,latitude,longitude,distance_km_reference,hotel_recommendation_score,hotel_distance_score,hotel_rating_score,hotel_sentiment_ranking_score,hotel_price_score,hotel_data_quality_score,hotel_review_confidence_score,overall_rating,reviews,price_lowest,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label
LODGE-01410,Yokotel,hotel,-6.9163,107.6017,1.9253420278397149,80.87037099885941,0.7219860015433339,0.8800000000000001,0.8475951124031672,0.9734370275513217,0.85,0.8537091765993627,4.4,756.0,222274.0,24,0.6951902248063344,Positif,high_review_confidence
LODGE-01053,The Luxton Bandung Hotel,hotel,-6.9038,107.6114,1.7444578355562814,80.86202298613567,0.7413494341443386,0.8800000000000001,0.8426679260415333,0.8006640047344521,1.0,0.7945271180731653,4.4,5040.0,607170.0,19,0.6853358520830667,Positif,high_review_confidence
LODGE-01306,RedDoorz Plus near Asia Afrika 3,hotel,-6.9236,107.6098,1.230424142236302,80.86192882019199,0.8025135826796758,0.8,0.708450057498301,0.957176713132574,0.9,0.819805252288119,4.0,683.0,258498.0,21,0.41690011499660207,Positif,high_review_confidence
LODGE-01038,Serela Merdeka Hotel,hotel,-6.9066,107.6093,1.6245865534896016,80.78618637575332,0.754764083709673,0.82,0.7965658514630838,0.8884658422074383,1.0,0.8641112811083488,4.1,2083.0,411569.0,25,0.5931317029261676,Positif,high_review_confidence
LODGE-01142,Kulem Rangga Gempol,hotel,-6.9016,107.6146,1.83645981415408,80.66017618955489,0.7313726893630081,0.8800000000000001,0.8268399694955475,0.9106720522973081,0.95,0.7665834371229969,4.4,67.0,362099.0,17,0.6536799389910949,Positif,high_review_confidence
LODGE-01092,favehotel Braga Bandung,hotel,-6.9171,107.6084,1.1819640871094776,80.65681659708133,0.8088044397452764,0.8800000000000001,0.8023951344592559,0.7493257787031539,1.0,0.367672529773484,4.4,7378.0,721539.0,3,0.6047902689185118,Positif,low_review_confidence
LODGE-01205,Vio Hotel Surapati,hotel,-6.899,107.6197,2.0581749541375256,80.6169904652766,0.7083984220409532,0.8800000000000001,0.8431792770946303,0.9432941285469786,0.95,0.8537091765993627,4.4,1757.0,289425.0,24,0.6863585541892605,Positif,high_review_confidence
LODGE-01371,Jaksa Guest House Bandung,guest_house,-6.9306,107.6041,2.2053100200482976,80.57526998199312,0.6939326671701608,0.9199999999999999,0.8571496852030516,0.9781498433939241,0.85,0.8641112811083488,4.6,108.0,211775.0,25,0.714299370406103,Positif,high_review_confidence
LODGE-01020,Rehat at Hotel 10 Buah Batu,hotel,-6.9342,107.6204,1.8624941141582432,80.53993977927489,0.7285980748142765,0.8400000000000001,0.7849853805082134,0.9971371181178256,1.0,0.819805252288119,4.2,275.0,169476.0,21,0.5699707610164269,Positif,high_review_confidence
LODGE-00988,RedDoorz Plus @ Cipaganti Street 3,hotel,-6.9028,107.6029,2.4227546348813678,80.53015155307372,0.6736043754570248,0.9400000000000001,0.8446188110397272,0.9584533345495053,1.0,0.8315947339852858,4.7,141.0,255654.0,22,0.6892376220794545,Positif,high_review_confidence
LODGE-01111,Bangreng Inn,hotel,-6.9376,107.6306,2.570353242090491,80.45730609200866,0.6604711616626348,0.9800000000000001,0.8333032791035666,0.98274505205958,0.95,0.8537091765993627,4.9,160.0,201538.0,24,0.6666065582071333,Positif,high_review_confidence
LODGE-00924,Hay Bandung,hotel,-6.9033,107.6132,1.70801609614937,80.35826020191298,0.7453768637899022,0.86,0.8231676007415271,0.8067782312886085,1.0,0.7809231275810943,4.3,1783.0,593549.0,18,0.6463352014830541,Positif,high_review_confidence
LODGE-01602,Rumah Cimandiri,hotel,-6.904,107.6191,1.5011335831527512,80.29413041150572,0.7690966407700285,0.9199999999999999,0.7908868465276434,0.8502273499350378,0.65,0.8537091765993627,4.6,80.0,496755.0,24,0.5817736930552868,Positif,high_review_confidence
LODGE-00878,Bobobox Pods Cipaganti,hotel,-6.9027,107.6031,2.4140716057049563,80.12697327407783,0.6743932707842498,0.9199999999999999,0.827915031151298,1.0,1.0,0.7945271180731653,4.6,444.0,150039.0,19,0.6558300623025961,Positif,high_review_confidence
LODGE-00941,Hotel Sebelas @ Jalan Palasari Mitra RedDoorz,hotel,-6.9305,107.6223,1.4880676474241696,80.11177019670413,0.7706454790102338,0.78,0.7375989230721602,1.0,1.0,0.7182281744178088,3.9,184.0,98113.0,14,0.47519784614432037,Positif,medium_review_confidence
LODGE-01231,Buton Backpacker Lodge,hotel,-6.911,107.6,2.2288251084202906,79.90878015730385,0.6916753310542667,0.9199999999999999,0.8094221668435018,1.0,0.9,0.7945271180731653,4.6,500.0,152082.0,19,0.6188443336870035,Positif,high_review_confidence
LODGE-01132,Hotel Daily Inn Bandung syariah,hotel,-6.9223,107.6052,1.6245346155265372,79.83003785951608,0.7547700012437154,0.82,0.7427601806998304,0.9413554056567796,0.95,0.819805252288119,4.1,1085.0,293744.0,21,0.4855203613996608,Positif,high_review_confidence
LODGE-00882,Buminanienie Family Guest House,guest_house,-6.9045,107.6144,1.5358217048317078,79.80606378441952,0.765014748842318,0.82,0.6893287009016348,1.0,1.0,0.7182281744178088,4.1,172.0,160840.0,14,0.37865740180326957,Positif,medium_review_confidence
LODGE-01396,Savya Aparthotel by Kozystay - Bandung,hotel,-6.9223,107.6156,0.6588923673802443,79.77538188815288,0.8835651352589209,0.8,0.8076481476721558,0.2809076149839088,0.85,0.8428823807783535,4.0,6.0,1765060.0,23,0.6152962953443115,Positif,high_review_confidence
LODGE-01221,Apartement Grand Asia Afrika Bandung by House Of Tofi,apartment,-6.9242,107.6183,0.7502224800855941,79.74120241775205,0.8695315733115031,1.0,0.5,0.9235868465260456,0.9,0.0,5.0,194.0,333328.0,0,,Belum tersedia,missing_review_confidence
LODGE-01251,Good Deal Studio Apartment At Green Kosambi Bandung,apartment,-6.9166,107.6241,0.5609282281509707,79.67591881513025,0.8991304679475279,1.0,0.5,0.7683386397212765,0.9,0.0,5.0,1.0,679183.0,0,,Belum tersedia,missing_review_confidence
LODGE-01077,Vi Hotel Bandung,hotel,-6.9304,107.6265,1.6506915728485403,79.6575102056154,0.7518015149601146,0.82,0.7595830301679287,0.9575425522517016,1.0,0.6590461158916116,4.1,407.0,257683.0,11,0.5191660603358574,Positif,medium_review_confidence
LODGE-01327,Tokyo Cubo,hotel,-6.9097,107.5973,2.5579557384609193,79.60753317989439,0.6615545490106542,0.9400000000000001,0.8249217256334453,1.0,0.9,0.8837661728559647,4.7,619.0,117030.0,27,0.6498434512668906,Positif,high_review_confidence
