penginapan_id,target_name,property_type,priority,target_latitude,target_longitude,search_query,result_title,categoryName,address,result_latitude,result_longitude,distance_km,name_similarity,totalScore,reviewsCount,url,website,placeId,cid,audit_status
LODGE-00568,Homestay VV&V,guest_house,P1_rating_reviews_missing,-7.1353,107.4067,Homestay VV&V Ciwidey Kabupaten Bandung Jawa Barat Indonesia,HomeStay VV&V,Rumah wisata,"VC99+489, Alamendah, Kec. Rancabali, Kabupaten Bandung, Jawa Barat 40973, Indonesia",-7.1322219,107.4183608,1.331,1.0,5.0,1.0,https://www.google.com/maps/search/?api=1&query=HomeStay%20VV%26V&query_place_id=ChIJWa2_dwCNaC4RzaeORvrh_Uw,,ChIJWa2_dwCNaC4RzaeORvrh_Uw,5547838781032146893,safe_candidate
LODGE-00569,Homestay murah ciwidey,guest_house,P1_rating_reviews_missing,-7.1195,107.4319,Homestay murah ciwidey Ciwidey Kabupaten Bandung Jawa Barat Indonesia,Homestay murah ciwidey,Vila,"Patengan, Jalan Raya, Alamendah, Kec. Rancabali, Kabupaten Bandung, Jawa Barat 40973, Indonesia",-7.1196588,107.4322283,0.04,1.0,5.0,27.0,https://www.google.com/maps/search/?api=1&query=Homestay%20murah%20ciwidey&query_place_id=ChIJXcZOdbKNaC4R1MGy0cbKw1o,,ChIJXcZOdbKNaC4R1MGy0cbKw1o,6540294039142580692,safe_candidate
LODGE-00591,Tiara Guest House,guest_house,P1_rating_reviews_missing,-6.7975,107.1724,Tiara Guest House Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia,Tiara Guest House Bandung,Guest house,"Jl. Setramurni Tengah II No.5, Sukarasa, Kec. Sukasari, Kota Bandung, Jawa Barat 40152, Indonesia",-6.8752914,107.5829284,46.142,1.0,4.9,230.0,https://www.google.com/maps/search/?api=1&query=Tiara%20Guest%20House%20Bandung&query_place_id=ChIJH1tUWSnnaC4RVWbgH0lMUEY,,ChIJH1tUWSnnaC4RVWbgH0lMUEY,5066633457742931541,needs_review_candidate
LODGE-00631,Alma Strawberry ( Home stay ),guest_house,P1_rating_reviews_missing,-7.1323,107.4169,Alma Strawberry ( Home stay ) Ciwidey Kabupaten Bandung Jawa Barat Indonesia,Alma Strawberry ( Home stay ),Vila,"Alamendah, Kec. Rancabali, Kabupaten Bandung, Jawa Barat, Indonesia",-7.1323199,107.4169235,0.003,1.0,,,https://www.google.com/maps/search/?api=1&query=Alma%20Strawberry%20(%20Home%20stay%20)&query_place_id=ChIJa1LZ0fGMaC4RSV06t34TPv4,,ChIJa1LZ0fGMaC4RSV06t34TPv4,18320101769150618953,no_rating_candidate
LODGE-00684,Ciwidey Homestay 4 Bedroom,guest_house,P1_rating_reviews_missing,-7.1327,107.4215,Ciwidey Homestay 4 Bedroom Ciwidey Kabupaten Bandung Jawa Barat Indonesia,Homestay di Ciwidey,Rumah wisata,"Jl. Ciwidey-Patengan Km.08 Barutunggul, Alamendah, Kec. Rancabali, Kabupaten Bandung, Jawa Barat 40973, Indonesia",-7.1346204,107.4171055,0.53,0.476,4.6,13.0,https://www.google.com/maps/search/?api=1&query=Homestay%20di%20Ciwidey&query_place_id=ChIJ4afiCR-NaC4R4fAUm3G6Pe4,https://www.tiktok.com/@homestayciwidey66?_r=1&_t=ZS-91RnlPcCpk4,ChIJ4afiCR-NaC4R4fAUm3G6Pe4,17167082351702110433,noisy_candidate
LODGE-00685,Ciwidey Homestay 6 Bedroom,guest_house,P1_core_rating_price_missing,-7.1229,107.424,Ciwidey Homestay 6 Bedroom Ciwidey Kabupaten Bandung Jawa Barat Indonesia,Ciwidey Homestay 6 Bedroom,Vila,"Alamendah, Kec. Rancabali, Kabupaten Bandung, Jawa Barat, Indonesia",-7.1229253,107.4239884,0.003,1.0,,,https://www.google.com/maps/search/?api=1&query=Ciwidey%20Homestay%206%20Bedroom&query_place_id=ChIJ0XTBD-eMaC4RftvySaaaZJ8,https://www.agoda.com/ciwidey-homestay-4-bedroom/hotel/bandung-id.html,ChIJ0XTBD-eMaC4RftvySaaaZJ8,11485474988697508734,no_rating_candidate
LODGE-00704,Mila's Homestay,guest_house,P1_core_rating_price_missing,-6.7979,107.1674,Mila's Homestay Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia,Imaga Homestay,Akomodasi berlayanan,"Gland Padalarang Estate, Blok Barcelona C No.51, Kertajaya, Kec. Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553, Indonesia",-6.8562796,107.4798536,35.102,0.759,4.8,17.0,https://www.google.com/maps/search/?api=1&query=Imaga%20Homestay&query_place_id=ChIJ4ef6AwDlaC4RfePg_fC_yj8,,ChIJ4ef6AwDlaC4RfePg_fC_yj8,4596697411457442685,noisy_candidate
LODGE-00730,VV&V HomeStay,guest_house,P1_rating_reviews_missing,-7.131,107.4208,VV&V HomeStay Ciwidey Kabupaten Bandung Jawa Barat Indonesia,VV&V HomeStay,Cottage,"Alamendah, Kec. Rancabali, Kabupaten Bandung, Jawa Barat, Indonesia",-7.1309962,107.4207916,0.001,1.0,,,https://www.google.com/maps/search/?api=1&query=VV%26V%20HomeStay&query_place_id=ChIJO3jGUOWMaC4RAAX08aBOb5g,https://www.booking.com/hotel/id/vv-amp-v-homestay.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-14791791&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-14791791_grp-3_gendate-20260531,ChIJO3jGUOWMaC4RAAX08aBOb5g,10984084469340964096,no_rating_candidate
LODGE-00781,RedDoorz Resort at Hajeka Pangalengan Bandung,hotel,P1_core_rating_price_missing,-7.1974,107.5447,RedDoorz Resort at Hajeka Pangalengan Bandung Pangalengan Kabupaten Bandung Jawa Barat Indonesia,RedDoorz Resort @ Hajeka Pangalengan Bandung,Hotel,"Warnasari, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat 40378, Indonesia",-7.1973276,107.5448465,0.018,1.0,3.5,6.0,https://www.google.com/maps/search/?api=1&query=RedDoorz%20Resort%20%40%20Hajeka%20Pangalengan%20Bandung&query_place_id=ChIJ1UKSCy6RaC4RqHOB-M-HGEU,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/pangalengan/pangalengan/reddoorz-resort-hajeka-pangalengan-bandung?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,ChIJ1UKSCy6RaC4RqHOB-M-HGEU,4978878715355296680,safe_candidate
LODGE-00810,RedDoorz near Situ Cileunca Pangalengan,hotel,P1_core_rating_price_missing,-7.1872,107.5555,RedDoorz near Situ Cileunca Pangalengan Pangalengan Kabupaten Bandung Jawa Barat Indonesia,RedDoorz near Situ Cileunca Pangalengan,Hotel,"Jl. Situ Cileunca No.46, Pulosari, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat 40378, Indonesia",-7.1871529,107.5555102,0.005,1.0,3.1,43.0,https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Situ%20Cileunca%20Pangalengan&query_place_id=ChIJjYNXCACRaC4RbD5Mz7km9Pc,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/pangalengan/pangalengan/reddoorz-near-situ-cileunca-pengelangan?,ChIJjYNXCACRaC4RbD5Mz7km9Pc,17866948201174285932,safe_candidate
LODGE-00814,Artana 2 Chipsari by OYO,hotel,P1_core_rating_price_missing,-7.1933,107.545,Artana 2 Chipsari by OYO Pangalengan Kabupaten Bandung Jawa Barat Indonesia,oyo,Hotel,"kp kiaracondong, RT.2/RW.001, Warnasari, Pangalengan, Bandung Regency, West Java 40378, Indonesia",-7.1944453,107.5417683,0.379,0.25,2.6,29.0,https://www.google.com/maps/search/?api=1&query=oyo&query_place_id=ChIJ17C8Sv6TaC4RifKsXcS5Y8c,,ChIJ17C8Sv6TaC4RifKsXcS5Y8c,14367531489278358153,safe_candidate
LODGE-00815,RedDoorz @ ADDA Cabin Pengalengan,hotel,P1_core_rating_price_missing,-7.2,107.5438,RedDoorz @ ADDA Cabin Pengalengan Pangalengan Kabupaten Bandung Jawa Barat Indonesia,RedDoorz @ ADDA Cabin Pengalengan,Hotel,"Desa, Warnasari, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat 40378, Indonesia",-7.1999657,107.5437784,0.004,1.0,4.6,21.0,https://www.google.com/maps/search/?api=1&query=RedDoorz%20%40%20ADDA%20Cabin%20Pengalengan&query_place_id=ChIJ9ZD84O6RaC4Rpq7wr4Jc7Vg,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/pangalengan/pangalengan/reddoorz-adda-cabin-pengalengan?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,ChIJ9ZD84O6RaC4Rpq7wr4Jc7Vg,6407879561185373862,safe_candidate
LODGE-00836,Syariah Maribaya Family Guest House,guest_house,P1_rating_reviews_missing,-6.8167,107.6273,Syariah Maribaya Family Guest House Lembang Kabupaten Bandung Barat Jawa Barat Indonesia,Syariah Maribaya Family Guest House,Rumah,"Lembang, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat, Indonesia",-6.81669,107.6272812,0.002,1.0,,,https://www.google.com/maps/search/?api=1&query=Syariah%20Maribaya%20Family%20Guest%20House&query_place_id=ChIJq21hfuPgaC4RHlkWSOQFhb4,https://br.bluepillow.com/search/67a20d10905c444f2d0272cb?dest=ago&cat=Vacation+rental+(other)&lat=-6.81669&lng=107.62728&language=pt,ChIJq21hfuPgaC4RHlkWSOQFhb4,13728385517128931614,no_rating_candidate
LODGE-01543,OYO 944 Doorman Residence,hotel,P1_rating_reviews_missing,-6.918,107.5996,OYO 944 Doorman Residence Bandung Jawa Barat Indonesia,Super OYO 3209 Hegarbudhi Residence,Hotel,"Jl. Hegarbudi Dalam No.1A, 1A, Jl. Hegarbudi Dalam No.1A, Hegarmanah, Kec. Cidadap, Kota Bandung, Jawa Barat 40141, Indonesia",-6.8787458,107.5988965,4.366,0.567,4.7,235.0,https://www.google.com/maps/search/?api=1&query=Super%20OYO%203209%20Hegarbudhi%20Residence&query_place_id=ChIJ32aPfRPnaC4RSVm7YORhFFM,https://www.oyorooms.com/ID/99453/,ChIJ32aPfRPnaC4RSVm7YORhFFM,5986517438185560393,noisy_candidate
LODGE-01575,Kost harian/penginapan peri,guest_house,P1_rating_reviews_missing,-6.9446,107.5953,Kost harian/penginapan peri Bandung Jawa Barat Indonesia,Losmen/penginapan Peri,Hotel,"3H4V+2XX, Unnamed Road, Situsaeur, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40233, Indonesia",-6.9448879,107.5949778,0.048,0.776,4.1,81.0,https://www.google.com/maps/search/?api=1&query=Losmen%2Fpenginapan%20Peri&query_place_id=ChIJr4mwYr7oaC4Rd628GAqvmlk,,ChIJr4mwYr7oaC4Rd628GAqvmlk,6456665473688579447,needs_review_candidate
LODGE-01621,OYO 94030 Ar Guest House Syariah,guest_house,P1_rating_reviews_missing,-7.0344,107.5457,OYO 94030 Ar Guest House Syariah Bandung Jawa Barat Indonesia,OYO 94030 Ar Guest House Syariah,Hotel,"Warung Lobak, Jl. Raya Banjaran No.23, Gandasari, Kec. Katapang, Kabupaten Bandung, Jawa Barat 40291, Indonesia",-7.017221,107.548667,1.938,1.0,2.3,16.0,https://www.google.com/maps/search/?api=1&query=OYO%2094030%20Ar%20Guest%20House%20Syariah&query_place_id=ChIJcff9kyHsaC4RDiG7xQrfGiQ,,ChIJcff9kyHsaC4RDiG7xQrfGiQ,2601636972119925006,safe_candidate
LODGE-01640,Easton Park Residence Naffi Rooms by Mustika,hotel,P1_core_rating_price_missing,-6.9361,107.7653,Easton Park Residence Naffi Rooms by Mustika Bandung Jawa Barat Indonesia,Easton Park Apartment by Mustika,Apartemen sewa liburan,"Jl. Raya Cibeusi, Cibeusi, Kec. Jatinangor, Kabupaten Sumedang, Jawa Barat 45363, Indonesia",-6.9369442,107.7648131,0.108,0.657,4.1,47.0,https://www.google.com/maps/search/?api=1&query=Easton%20Park%20Apartment%20by%20Mustika&query_place_id=ChIJPV4YqaLFaC4RXEI2NIMA5IA,https://www.eastonparkresidence.com/,ChIJPV4YqaLFaC4RXEI2NIMA5IA,9287548895061492316,noisy_candidate
