_excel_row,penginapan_id,name,property_type,overall_rating,reviews,p2_sentiment_policy_status,exact_google_maps_url,url_status
24,LODGE-00888,Ciparay Residence,hotel,4.275,43.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Ciparay+Residence+-6.9592%2C107.6424&query_place_id=ChIJ8ZLKX0joaC4R0UIl6g1D4Sw,valid_google_maps_like
25,LODGE-00956,Manta Living Bandung RedPartner,hotel,4.9,43.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Manta+Living+Bandung+RedPartner+-6.864%2C107.5878&query_place_id=ChIJi_oIbyHnaC4RJUDV5auXIwk,valid_google_maps_like
26,LODGE-00079,Zona Bobo | Muslim Friendly | by Belgareti,hotel,4.9,27.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Zona+Bobo+%7C+Muslim+Friendly+%7C+by+Belgareti+-6.8631%2C107.504&query_place_id=ChIJa8gSSqTlaC4RmBqj9XS0rR4,valid_google_maps_like
27,LODGE-01159,Oslandmark Residence,hotel,4.6,8.0,exact_google_maps_url_not_found,,blank
28,LODGE-01047,TechieRoom Swift at Clove Garden Residence,hotel,4.2,8.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=TechieRoom+Swift+at+Clove+Garden+Residence+-6.8729%2C107.6404&query_place_id=ChIJyW5oyxPnaC4RlgJXTyAUDt0,valid_google_maps_like
29,LODGE-00037,Homestay Budihouse,guest_house,4.1,576.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Homestay+Bandung+Budihouse+-6.8908%2C107.5589&query_place_id=ChIJUxCL5MzlaC4RbR-Jxxm2aQM,valid_google_maps_like
30,LODGE-01383,Nice Guest House,guest_house,4.3,258.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Nice+Guesthouse+-6.8722%2C107.5987&query_place_id=ChIJ--DFgjDmaC4RqEJnwn7dBXE,valid_google_maps_like
31,LODGE-00222,Calda Homestay Syariah,guest_house,4.7,86.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Calda+Homestay+Syariah+-6.8685%2C107.5728&query_place_id=ChIJgehqXozlaC4RxP49Cl55PqA,valid_google_maps_like
32,LODGE-00010,Wildan Guesthouse,guest_house,4.6,47.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Wildan%27s+Guest+House+-6.8017%2C107.0619&query_place_id=ChIJ3Xk9cr5NaC4RZViK8wVynL8,valid_google_maps_like
33,LODGE-00449,Seven Homestay,guest_house,4.8,40.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Seven+Homestay+-6.8567287%2C107.5718447&query_place_id=ChIJq8ZxFR7laC4R7V2IsO4Ig0Y,valid_google_maps_like
34,LODGE-00895,Cozy Homestay,guest_house,4.5,32.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Cozy+Homestay+Syariah+Mitra+RedDoorz+Bandung+-6.8896%2C107.5849&query_place_id=ChIJa9B9PH3maC4RBbbv7Uq_-XM,valid_google_maps_like
