parent_penginapan_id,hotel_review_count_analyzed,hotel_sentiment_score,hotel_sentiment_confidence_mean,positive_review_count,neutral_review_count,negative_review_count,review_target_count,hotel_adjusted_sentiment_score,hotel_sentiment_label,hotel_adjusted_sentiment_label,hotel_review_confidence,hotel_review_confidence_label,hotel_sentiment_model_source,hotel_sentiment_model_version,hotel_sentiment_prior_score,hotel_sentiment_review_count_p95
LODGE-01409,25,0.9270734722295978,0.9472607057149852,25,0,0,1,0.7019976077067148,Positif,Positif,0.8641112811083488,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01410,24,0.9154622026418785,0.9363458304434072,24,0,0,1,0.6951902248063344,Positif,Positif,0.8537091765993627,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01411,17,0.4080967142143402,0.8575690549245645,14,0,3,1,0.5434422076702605,Positif,Positif,0.7665834371229969,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01413,15,0.7319130193567331,0.9377217953396779,13,1,1,1,0.6223335240402257,Positif,Positif,0.735345059546968,medium_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01418,24,-0.4741335289568189,0.8945821278294651,6,0,18,1,0.2445105280716219,Negatif,Positif,0.8537091765993627,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01420,22,0.9039363039981887,0.9366849598224111,22,0,0,1,0.6855497563919974,Positif,Positif,0.8315947339852858,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01427,33,0.35926152377287396,0.8966670946712295,23,0,10,1,0.49793510911769295,Positif,Positif,0.9352601664855545,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01430,29,-0.5223202630251522,0.882407827904336,6,0,23,1,0.18133792588018047,Negatif,Netral,0.9020644393045509,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01444,17,0.40624979853410415,0.9493544761970288,12,0,5,1,0.5429735872737828,Positif,Positif,0.7665834371229969,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01449,44,0.9516754622298705,0.9673308727781326,44,0,0,1,0.7590074905359359,Positif,Positif,1.0,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01451,18,0.9682078396172236,0.97588443353626,18,0,0,1,0.689716542431966,Positif,Positif,0.7809231275810943,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01459,7,0.4494242385865896,0.969238051467841,5,0,2,1,0.572262341094207,Positif,Positif,0.551508794660226,medium_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01465,24,0.6112169793405692,0.8894413260364967,21,0,3,1,0.5965160983302342,Positif,Positif,0.8537091765993627,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01466,14,0.6839115411705474,0.9384768992377747,12,0,2,1,0.6101210210726771,Positif,Positif,0.7182281744178088,medium_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01468,2,0.9166714399903866,0.9449788451259343,2,0,0,1,0.6020447433123931,Positif,Positif,0.2913735861181275,low_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01469,9,0.515203388163339,0.9159645962337345,7,0,2,1,0.5781324451819275,Positif,Positif,0.6106908531864235,medium_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01471,16,0.8237422760936586,0.907237584715383,15,1,0,1,0.6462554574206395,Positif,Positif,0.7514239015988126,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01472,3,0.3139314155784796,0.8652476694345607,2,0,1,1,0.5738637362075304,Positif,Positif,0.367672529773484,low_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01474,2,0.4015843430294479,0.607556221472717,2,0,0,1,0.5822337011215878,Positif,Positif,0.2913735861181275,low_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01475,23,-0.05569444096967375,0.9074317024340866,10,1,12,1,0.38619194013645447,Netral,Positif,0.8428823807783535,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01480,17,0.19088990847459553,0.8266412021862317,11,0,6,1,0.48833003307957906,Netral,Positif,0.7665834371229969,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01481,25,-0.4543757822232676,0.8889263780575302,5,1,19,1,0.24151452288909306,Negatif,Positif,0.8641112811083488,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01486,25,-0.20499645841193737,0.8853940693312046,10,0,15,1,0.32464096415953647,Negatif,Positif,0.8641112811083488,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01490,9,0.5901562250086039,0.8868685624026044,8,0,1,1,0.5895659287684933,Positif,Positif,0.6106908531864235,medium_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01495,22,0.5684608980038179,0.8125315948934676,20,1,1,1,0.583043382338162,Positif,Positif,0.8315947339852858,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01497,8,0.6615362772626062,0.8734565855113166,7,0,1,1,0.59940127569594,Positif,Positif,0.582747172236255,medium_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01501,15,0.43472882919785294,0.8942890192592067,11,1,3,1,0.553752557080484,Positif,Positif,0.735345059546968,medium_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01507,15,0.9340493717210218,0.9523643102613971,15,0,0,1,0.6689803745858307,Positif,Positif,0.735345059546968,medium_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01511,21,-0.6012942184067049,0.8999345121993167,4,0,17,1,0.2372648617707446,Negatif,Positif,0.819805252288119,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01513,18,0.9386764568359727,0.9567437532617169,18,0,0,1,0.6818994116957526,Positif,Positif,0.7809231275810943,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01514,19,0.3844325593543018,0.8549023199558405,13,0,6,1,0.5330029333332668,Positif,Positif,0.7945271180731653,high_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
LODGE-01515,8,0.6539813723495654,0.9000938352621222,7,0,1,1,0.5983592198458655,Positif,Positif,0.582747172236255,medium_review_confidence,tfidf_svm_penginapan,model_sentimen_muterbandung_2026-06-10_DRIVE_FULL_REVIEW,0.5894596754452734,42.399999999999864
