mapping_candidate_id,child_penginapan_id,child_name,child_property_type,child_normalized_name,child_latitude,child_longitude,parent_candidate_id,parent_candidate_name,parent_property_type,parent_name_looks_room_or_unit,parent_latitude,parent_longitude,relation_type,confidence_score,confidence_label,match_basis,evidence,decision_recommendation,is_final_relation
PCM-20260605-0019,LODGE-00575,Pondok Stevia Ciwidey - Deluxe Double Room,room_level_listing,pondok stevia ciwidey,-7.114,107.4436,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0020,LODGE-00576,RedDoorz Syariah near Tugu Lampu Gentur Cianjur - Deluxe Room,room_level_listing,reddoorz syariah tugu lampu gentur cianjur,-6.8252,107.1256,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0021,LODGE-00596,Vila Kopi Ciwidey - Family Room with Garden View,room_level_listing,vila kopi ciwidey,-7.1202,107.4415,LODGE-00627,Vila Kopi Ciwidey,vacation_rental,False,-7.1202,107.4415,room_of,0.95,high,same_normalized_name_and_rounded_coordinate,Nama dasar dan koordinat rounded sama.,candidate_mapping_review_before_final,False
PCM-20260605-0022,LODGE-00597,Vila Kopi Ciwidey - King Room with Garden View,room_level_listing,vila kopi ciwidey,-7.1202,107.4415,LODGE-00627,Vila Kopi Ciwidey,vacation_rental,False,-7.1202,107.4415,room_of,0.95,high,same_normalized_name_and_rounded_coordinate,Nama dasar dan koordinat rounded sama.,candidate_mapping_review_before_final,False
PCM-20260605-0023,LODGE-00614,"Argapuri Jungle Resort - Standard Room, 1 Bedroom, Terrace, Mountain View",room_level_listing,argapuri jungle resort 1 mountain,-7.131,107.5133,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0024,LODGE-00731,Vedca Asrama Cianjur RedPartner - Economy Twin Room,room_level_listing,vedca asrama cianjur redpartner economy,-6.7751,107.2282,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0025,LODGE-00732,Vedca Cottage Cianjur - Family Room,room_level_listing,vedca cottage cianjur,-6.7751,107.2282,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0026,LODGE-00764,family room,room_level_listing,,-7.1139,107.4387,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0027,LODGE-00775,Kampung Panorama - Family Room with Lake View,room_level_listing,kampung panorama lake,-7.1916,107.5591,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0028,LODGE-00798,Penginapan atau Kontrakan Rumah Ciwidey 1 Ruangan 2 Kasur Dewasa Kamar Mandi Dapur Dalam Sewa Harian Mingguan Bulanan Tahunan Boleh - Double Room with Private Bathroom,room_level_listing,penginapan atau kontrakan rumah ciwidey 1 ruangan 2 kasur dewasa mandi dapur dalam sewa harian mingguan bulanan tahunan boleh bathroom,-7.1231,107.4311,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0029,LODGE-00829,RedDoorz Resort Syariah @ Batu Apung Purwakarta - Family Room,room_level_listing,reddoorz resort syariah batu apung purwakarta,-6.6729,107.5503,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0030,LODGE-00831,RedDoorz Resort Syariah @ Jaya Tirta Abadi - Standard Double Room,room_level_listing,reddoorz resort syariah jaya tirta abadi,-6.6997,107.4987,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0031,LODGE-00873,Bantal Guling Trans - Standard Double Room with Fan,room_level_listing,bantal guling trans fan,-6.9302,107.6395,LODGE-00871,Bantal Guling Guesthouse Trans,guest_house,False,-6.9304,107.6393,room_of,0.66,medium,near_coordinate_and_medium_name_overlap,Koordinat dekat dan overlap nama sedang.,candidate_mapping_review_before_final,False
PCM-20260605-0032,LODGE-00874,Bantal Guling Trans - Standard Family Room,room_level_listing,bantal guling trans,-6.9302,107.6395,LODGE-00871,Bantal Guling Guesthouse Trans,guest_house,False,-6.9304,107.6393,room_of,0.78,medium,close_coordinate_and_name_similarity,Koordinat dekat dan nama masih mirip.,candidate_mapping_review_before_final,False
PCM-20260605-0033,LODGE-00875,Bantal Guling Trans - Superior Family Room,room_level_listing,bantal guling trans,-6.9302,107.6395,LODGE-00871,Bantal Guling Guesthouse Trans,guest_house,False,-6.9304,107.6393,room_of,0.78,medium,close_coordinate_and_name_similarity,Koordinat dekat dan nama masih mirip.,candidate_mapping_review_before_final,False
PCM-20260605-0034,LODGE-00903,Family Room Gezonder Antapani - Family Room with Balcony,room_level_listing,gezonder antapani balcony,-6.9139,107.6603,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0035,LODGE-00953,Little Mykonos - Deluxe Queen Room,room_level_listing,little mykonos,-6.9111,107.6059,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0036,LODGE-00971,Over Easy Glamping Site - Family Room,room_level_listing,over easy glamping site,-6.8527,107.6272,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0037,LODGE-00972,Over Easy Glamping Site - Queen Room,room_level_listing,over easy glamping site,-6.8527,107.6272,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0038,LODGE-00998,RedDoorz Syariah near BTC Fashion Mall - Standard Double Room,room_level_listing,reddoorz syariah btc fashion mall,-6.8912,107.5819,LODGE-00997,RedDoorz Syariah near BTC Fashion Mall,hotel,False,-6.8912,107.582,room_of,0.88,high,very_close_coordinate_and_strong_name_overlap,Koordinat sangat dekat dan token nama kuat.,candidate_mapping_review_before_final,False
PCM-20260605-0039,LODGE-01012,RedDoorz near Taman Makam Pahlawan Cikutra - Deluxe Room,room_level_listing,reddoorz taman makam pahlawan cikutra,-6.8937,107.6385,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0040,LODGE-01113,Bantal Guling Trans - Family Triple Room,room_level_listing,bantal guling trans,-6.9302,107.6395,LODGE-00871,Bantal Guling Guesthouse Trans,guest_house,False,-6.9304,107.6393,room_of,0.78,medium,close_coordinate_and_name_similarity,Koordinat dekat dan nama masih mirip.,candidate_mapping_review_before_final,False
PCM-20260605-0041,LODGE-01121,Cove Horizone - Deluxe Room,room_level_listing,cove horizone,-6.887,107.585,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0042,LODGE-01147,Little Mykonos - Queen Room with Balcony,room_level_listing,little mykonos balcony,-6.9111,107.6059,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0043,LODGE-01148,Little Mykonos - Standard Queen Room,room_level_listing,little mykonos,-6.9111,107.6059,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0044,LODGE-01161,Over Easy Glamping Site - Family Room,room_level_listing,over easy glamping site,-6.8527,107.6272,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0045,LODGE-01174,RedDoorz Plus near Asia Afrika 3 - Deluxe Room,room_level_listing,reddoorz plus asia afrika 3,-6.9237,107.6098,LODGE-01306,RedDoorz Plus near Asia Afrika 3,hotel,False,-6.9236,107.6098,room_of,0.88,high,very_close_coordinate_and_strong_name_overlap,Koordinat sangat dekat dan token nama kuat.,candidate_mapping_review_before_final,False
PCM-20260605-0046,LODGE-01210,bumimakhraja syariah 4 - Deluxe Double Room,room_level_listing,bumimakhraja syariah 4,-6.89,107.6302,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0047,LODGE-01502,Urbanview Darmo Residence Bandung - Deluxe Double Room,room_level_listing,urbanview darmo residence bandung,-6.8967,107.5875,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0048,LODGE-01509,ZEN Rooms Talaga Bodas,room_level_listing,zen rooms talaga bodas,-6.9291,107.6244,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0049,LODGE-01544,Penginapan Rio Anakku Syariah Banjaran Mitra RedDoorz - Standard Twin Room,room_level_listing,penginapan rio anakku syariah banjaran mitra reddoorz,-7.0136,107.6085,LODGE-01388,Penginapan Rio Anakku Syariah Banjaran Mitra RedDoorz,hotel,False,-7.0136,107.6085,room_of,0.95,high,same_normalized_name_and_rounded_coordinate,Nama dasar dan koordinat rounded sama.,candidate_mapping_review_before_final,False
PCM-20260605-0050,LODGE-01578,OYO 90025 Pondok Pesona Lembang - Deluxe Double Room,room_level_listing,oyo 90025 pondok pesona lembang,-6.8253,107.6446,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0051,LODGE-01592,ZEN Rooms Aria Jipang,room_level_listing,zen rooms aria jipang,-6.9,107.6162,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0052,LODGE-01593,ZEN Rooms Lengkong Gatot Subroto,room_level_listing,zen rooms lengkong gatot subroto,-6.9225,107.6205,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0053,LODGE-01595,Zen Rooms Pangaran Dalem Kaum,room_level_listing,zen rooms pangaran dalem kaum,-6.9242,107.6099,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
PCM-20260605-0054,LODGE-01653,Kamar Keluarga Bandung,room_level_listing,keluarga bandung,-6.9025,107.6153,,,,,,,no_parent_candidate_found,0.0,no_candidate,no_safe_parent_candidate,Tidak ada parent non-room yang cukup dekat dan cukup mirip.,manual_review_or_keep_child_without_parent,False
