penginapan_id,name,property_type,property_type_final,property_type_final_after_p3,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,data_quality_score,data_quality_label,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,capacity_min_estimated,capacity_max_estimated,capacity_confidence,listing_policy_status,ranking_tier_after_p2,ranking_tier_after_p3,primary_ranking_allowed_after_p3,secondary_ranking_allowed_after_p3,drop_from_dataset_after_p3,manual_validation_needed_after_p3,manual_validation_topic_after_p3,p3_validation_applied,p3_decision,p3_note,candidate_parent_name,same_name_count_p3
LODGE-00238,Little Blue House - Double Room,vacation_rental,vacation_rental,vacation_rental,-6.8452,107.5457,cimahi_baros_pasteur,,,,,0.7,medium,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00297,Hens Guesthouse Syariah - Deluxe Double Room,guest_house,guest_house,guest_house,-6.8823,107.5316,cimahi_baros_pasteur,,,,,0.65,medium,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00456,EXPRESS O 91033 Efoproperti,hotel,hotel,hotel,-6.8891606,107.5662568,cimahi_baros_pasteur,,,,,0.32,low,0,,Belum tersedia,missing_review_confidence,1,2,low_capacity_confidence,hold_low_quality_manual_completion,held_low_quality_no_core_fields,held_low_quality_no_core_fields,False,False,False,False,,False,,,,1
LODGE-00463,OYO 94325 Cibogo Guesthouse,guest_house,guest_house,guest_house,-6.8895188,107.5797228,cimahi_baros_pasteur,,,,,0.32,low,0,,Belum tersedia,missing_review_confidence,1,2,low_capacity_confidence,hold_low_quality_manual_completion,held_low_quality_no_core_fields,held_low_quality_no_core_fields,False,False,False,False,,False,,,,1
LODGE-00464,Bumi Sarehat,hotel,hotel,hotel,-6.8460088,107.5450635,cimahi_baros_pasteur,,,,,0.26,low,0,,Belum tersedia,missing_review_confidence,1,2,low_capacity_confidence,hold_low_quality_manual_completion,held_low_quality_generic_name,held_low_quality_generic_name,False,False,False,False,,False,,,,1
LODGE-00472,Fanni tour komodo - Double Room,vacation_rental,vacation_rental,vacation_rental,-7.0909,107.6689,kabupaten_bandung,,,593416.0,Rp 593.416,0.85,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00487,Penginapan Barkah - Double Room with Private Bathroom,vacation_rental,vacation_rental,vacation_rental,-7.1873,107.604,kbb_selatan_baratdaya,,,,,0.7,medium,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00498,RedDoorz near Situ Cileunca Pangalengan - Single Room,hotel,hotel,hotel,-7.1779,107.5684,kbb_selatan_baratdaya,,,,,0.6,medium,0,,Belum tersedia,missing_review_confidence,1,1,medium_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,held_room_level_child,False,False,False,False,,True,hold_room_level_child,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama.",RedDoorz near Situ Cileunca Pangalengan,1
LODGE-00501,Farmstay Manangel - Deluxe Bungalow with Garden View,vacation_rental,vacation_rental,vacation_rental,-6.7864,107.1331,kbb_tengah_barat,5.0,8.0,294399.0,Rp 294.399,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00505,Villa Penginapan Purnama - Standard Double Room,villa,villa,villa,-7.1142,107.446,kbb_tengah_barat,2.0,1.0,181320.0,Rp 181.320,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,held_room_level_child,False,False,False,False,,True,hold_room_level_child,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama.",Villa Penginapan Purnama,2
LODGE-00508,Farmstay Manangel - Deluxe Bungalow with Garden View,vacation_rental,vacation_rental,vacation_rental,-6.7864,107.1331,kbb_tengah_barat,5.0,8.0,440705.0,Rp 440.705,0.95,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00520,RedDoorz near Happy Farm Ciwidey - Double Room,hotel,hotel,hotel,-7.1313,107.4196,kbb_tengah_barat,5.0,12.0,229195.0,Rp 229.195,0.9,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00533,Farmstay Manangel - Double Room with Shared Bathroom,vacation_rental,vacation_rental,vacation_rental,-6.7864,107.1331,kbb_tengah_barat,5.0,8.0,,,0.85,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00538,Laksana Rasa Resort Ciwidey - Double Room,vacation_rental,vacation_rental,vacation_rental,-7.1336,107.4126,kbb_tengah_barat,1.75,2.0,,,0.85,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00545,Vafa Guesthouse - Family Room,guest_house,guest_house,guest_house,-6.8406,107.2247,kbb_tengah_barat,,,544635.0,Rp 544.635,0.85,high,0,,Belum tersedia,missing_review_confidence,3,4,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00549,Villa Penginapan Purnama - Double Room with Private Bathroom,villa,villa,villa,-7.1142,107.446,kbb_tengah_barat,2.0,1.0,,,0.85,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,held_room_level_child,False,False,False,False,,True,hold_room_level_child,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama.",Villa Penginapan Purnama,1
LODGE-00595,Vila Kopi Ciwidey - Double Room with Terrace,vacation_rental,vacation_rental,vacation_rental,-7.1202,107.4415,kbb_tengah_barat,3.9,4.0,,,0.8,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00615,Arlita Guesthouse - Superior Double Room,guest_house,guest_house,guest_house,-6.825,107.1209,kbb_tengah_barat,,,177390.0,Rp 177.390,0.75,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00633,Buah sebelas homestay villa - Double or Twin Room,villa,villa,villa,-7.1872,107.5555,kbb_tengah_barat,,,,,0.7,medium,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,held_room_level_child,False,False,False,False,,True,hold_room_level_child,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama.",Buah sebelas homestay villa,1
LODGE-00639,Guest House Ciwalini - Standard Twin Room,guest_house,guest_house,guest_house,-7.1461,107.3853,kbb_tengah_barat,,,,,0.7,medium,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00640,Indonesia Village - Double Room,villa,villa,villa,-6.8237,107.1305,kbb_tengah_barat,5.0,4.0,,,0.7,medium,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,held_room_level_child,False,False,False,False,,True,hold_room_level_child,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama.",Indonesia Village,1
LODGE-00688,Deluxe Cabin with Lake/Mountain View in Ciwidey,vacation_rental,vacation_rental,vacation_rental,-7.1397,107.3909,kbb_tengah_barat,,,,,0.65,medium,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00711,Private room with garden,vacation_rental,vacation_rental,vacation_rental,-6.8228,107.1295,kbb_tengah_barat,,,,,0.65,medium,21,0.6355386171446179,Positif,high_review_confidence,4,8,low_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00767,Baleluhur Villa Ciwidey - Double Room,villa,villa,villa,-7.1202,107.4262,kbb_tengah_barat,,,,,0.6,medium,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,held_room_level_child,False,False,False,False,,True,hold_room_level_child,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama.",Baleluhur Villa Ciwidey,1
LODGE-00803,Villa - Two-Bedroom House,villa,villa,villa,-7.1327,107.4181,kbb_tengah_barat,,,,,0.55,medium,0,,Belum tersedia,missing_review_confidence,2,4,high_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,held_generic_detail_listing,False,False,False,False,,True,hold_generic_detail_listing,Nama terlalu generik untuk dijadikan parent atau secondary tanpa sumber tambahan.,Villa,1
LODGE-00806,siadiw GuestHouse - Double Room With Terrace,guest_house,guest_house,guest_house,-6.8708,107.1283,kbb_tengah_barat,,,,,0.55,medium,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00808,Indonesian Village Jaya - Double Room,villa,villa,villa,-6.8237,107.1305,kbb_tengah_barat,,,,,0.5,medium,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,held_room_level_child,False,False,False,False,,True,hold_room_level_child,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama.",Indonesian Village Jaya,1
LODGE-00832,RedDoorz Resort Syariah near DCastello Ciater Subang - Double Room,hotel,hotel,hotel,-6.7328,107.6546,kbb_utara_lembang_parongpong_cisarua,3.3908,341.0,205691.0,Rp 205.691,0.85,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00833,Villa Lembang Bunda - Deluxe Room,villa,villa,villa,-6.8139,107.6546,kbb_utara_lembang_parongpong_cisarua,,,137655.0,Rp 137.655,0.85,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,held_room_level_child,False,False,False,False,,True,hold_room_level_child,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama.",Villa Lembang Bunda,1
LODGE-00834,Villa Lembang Bunda - Deluxe Triple Room,villa,villa,villa,-6.8138,107.6546,kbb_utara_lembang_parongpong_cisarua,,,139082.0,Rp 139.082,0.85,high,0,,Belum tersedia,missing_review_confidence,3,3,medium_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,held_room_level_child,False,False,False,False,,True,hold_room_level_child,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama.",Villa Lembang Bunda,1
LODGE-00835,Villa Lembang Bunda - Standard Single Room,villa,villa,villa,-6.8138,107.6546,kbb_utara_lembang_parongpong_cisarua,,,137655.0,Rp 137.655,0.85,high,0,,Belum tersedia,missing_review_confidence,1,1,medium_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,held_room_level_child,False,False,False,False,,True,hold_room_level_child,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama.",Villa Lembang Bunda,1
LODGE-00838,Seruni Guest House Near Alun Alun Lembang Mitra RedDoorz - Standard Double Room,guest_house,guest_house,guest_house,-6.815,107.6238,kbb_utara_lembang_parongpong_cisarua,,,172069.0,Rp 172.069,0.75,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00867,Badjoeri Ethnic Wooden Homestay - Deluxe Twin Room,guest_house,guest_house,guest_house,-6.8546,107.5919,kota_bandung,4.9,8.0,453442.0,Rp 453.442,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-00965,No303 - Economy Double Room,vacation_rental,vacation_rental,vacation_rental,-6.9286,107.6379,kota_bandung,4.75,8.0,523875.0,Rp 523.875,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-01002,RedDoorz near Farmhouse Lembang - Double Room,hotel,hotel,hotel,-6.8384,107.5952,kota_bandung,4.0,1.0,207909.0,Rp 207.909,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-01003,RedDoorz near Gedung Sate 2 - RedDoorz Double Room,hotel,hotel,hotel,-6.8962,107.6197,kota_bandung,4.05,8.0,314182.0,Rp 314.182,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
LODGE-01023,Ronia Mountain Villa Lembang - Family Room with Garden View,villa,villa,villa,-6.8218,107.6265,kota_bandung,4.0,6.0,731606.0,Rp 731.606,1.0,high,0,,Belum tersedia,missing_review_confidence,3,4,medium_capacity_confidence,needs_parent_child_validation,needs_parent_child_validation,held_room_level_child,False,False,False,False,,True,hold_room_level_child,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama.",Ronia Mountain Villa Lembang,1
LODGE-01028,Rumah Lereng Bandung - Double Room with Garden View,vacation_rental,vacation_rental,vacation_rental,-6.8979,107.732,kota_bandung,5.0,8.0,2015617.0,Rp 2.015.617,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,medium_capacity_confidence,held_child_room_level,held_child_room_level,held_child_room_level,False,False,False,False,,False,,,,1
