search_query,target_id,target_name,best_result_name,best_status,best_price_lowest,best_price_display,best_rating,best_reviews,target_candidate_rows,price_rows_any_property,all_rows
Hotel RedDoorz Malabar 39 Kota Bandung Jawa Barat Indonesia,LODGE-01539,Hotel RedDoorz Malabar 39,Hotel RedDoorz Malabar 39,target_found_no_price,,,4.4,63.0,2,102,120
Rhapsodic Stay Bed and Breakfast Bandung Kota Bandung Jawa Barat Indonesia,LODGE-01551,Rhapsodic Stay Bed and Breakfast Bandung,Rhapsodic Stay Bed and Breakfast Bandung,target_found_no_price,,,4.3,65.0,1,53,60
