review_target_id,hotel_id,name,property_segment,latitude,longitude,overall_rating,reviews_existing,review_confidence_label,rating_available,price_available,amenities_available,image_available,data_quality_score,review_scrape_priority,google_maps_search_query,google_maps_search_url,source_dataset
HREV-0012,HOTEL-156,Good Choice Studio at Gateway Pasteur Apartment By Travelio,apartment,-6.8910699,107.5656433,,,missing_review_confidence,False,True,True,True,0.66,P0_missing_rating_review,"Good Choice Studio at Gateway Pasteur Apartment By Travelio -6.891069889,107.5656433",https://www.google.com/maps/search/?api=1&query=Good%20Choice%20Studio%20at%20Gateway%20Pasteur%20Apartment%20By%20Travelio%20-6.891069889%2C107.5656433,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0013,HOTEL-148,"High Livin Apartment Pasteur - Apartment, 3 Bedrooms",apartment,-6.8891802,107.5668716,,,missing_review_confidence,False,True,True,True,0.6,P0_missing_rating_review,"High Livin Apartment Pasteur - Apartment, 3 Bedrooms -6.889180183,107.5668716",https://www.google.com/maps/search/?api=1&query=High%20Livin%20Apartment%20Pasteur%20-%20Apartment%2C%203%20Bedrooms%20-6.889180183%2C107.5668716,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0014,HOTEL-160,Homey 1BR Apartment @ The Edge Bandung By Travelio,apartment,-6.8971162,107.5372543,,,missing_review_confidence,False,True,True,True,0.6,P0_missing_rating_review,"Homey 1BR Apartment @ The Edge Bandung By Travelio -6.897116184,107.5372543",https://www.google.com/maps/search/?api=1&query=Homey%201BR%20Apartment%20%40%20The%20Edge%20Bandung%20By%20Travelio%20-6.897116184%2C107.5372543,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0015,HOTEL-177,Homey 2Br Apartment At The Edge Bandung,apartment,-6.8975129,107.5371017,,,missing_review_confidence,False,True,True,True,0.6,P0_missing_rating_review,"Homey 2Br Apartment At The Edge Bandung -6.897512913,107.5371017",https://www.google.com/maps/search/?api=1&query=Homey%202Br%20Apartment%20At%20The%20Edge%20Bandung%20-6.897512913%2C107.5371017,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0016,HOTEL-166,Homey 2BR Apartment at The Edge Bandung By Travelio,apartment,-6.8974538,107.537384,,,missing_review_confidence,False,True,True,True,0.66,P0_missing_rating_review,"Homey 2BR Apartment at The Edge Bandung By Travelio -6.897453785,107.537384",https://www.google.com/maps/search/?api=1&query=Homey%202BR%20Apartment%20at%20The%20Edge%20Bandung%20By%20Travelio%20-6.897453785%2C107.537384,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0017,HOTEL-163,Minimalist Apt Studio Gateway Pasteur By Travelio,apartment,-6.889298,107.565773,,,missing_review_confidence,False,True,True,True,0.6,P0_missing_rating_review,"Minimalist Apt Studio Gateway Pasteur By Travelio -6.889297962,107.565773",https://www.google.com/maps/search/?api=1&query=Minimalist%20Apt%20Studio%20Gateway%20Pasteur%20By%20Travelio%20-6.889297962%2C107.565773,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0018,HOTEL-161,Modern And Cozy Studio Room At Gateway Pasteur Apartment,apartment,-6.8903971,107.5659256,,,missing_review_confidence,False,True,True,True,0.6,P0_missing_rating_review,"Modern And Cozy Studio Room At Gateway Pasteur Apartment -6.890397072,107.5659256",https://www.google.com/maps/search/?api=1&query=Modern%20And%20Cozy%20Studio%20Room%20At%20Gateway%20Pasteur%20Apartment%20-6.890397072%2C107.5659256,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0019,HOTEL-020,Mountain View at The Edge - Two-Bedroom Apartment,apartment,-6.8974199,107.5370789,,,missing_review_confidence,False,True,True,True,0.6,P0_missing_rating_review,"Mountain View at The Edge - Two-Bedroom Apartment -6.89741993,107.5370789",https://www.google.com/maps/search/?api=1&query=Mountain%20View%20at%20The%20Edge%20-%20Two-Bedroom%20Apartment%20-6.89741993%2C107.5370789,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0020,HOTEL-101,OYO 93920 Apartemen Gateway Pasteur By D Carpenter,apartment,-6.8896726,107.5663002,,,missing_review_confidence,False,False,False,True,0.32,P0_missing_rating_review,"OYO 93920 Apartemen Gateway Pasteur By D Carpenter -6.8896726,107.5663002",https://www.google.com/maps/search/?api=1&query=OYO%2093920%20Apartemen%20Gateway%20Pasteur%20By%20D%20Carpenter%20-6.8896726%2C107.5663002,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
HREV-0021,HOTEL-092,OYO 93921 Gateway Pasteur Apartment,apartment,-6.8908244,107.5673481,,,missing_review_confidence,False,False,False,True,0.26,P0_missing_rating_review,"OYO 93921 Gateway Pasteur Apartment -6.8908244,107.5673481",https://www.google.com/maps/search/?api=1&query=OYO%2093921%20Gateway%20Pasteur%20Apartment%20-6.8908244%2C107.5673481,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\HOTEL_CANONICAL_CIMAHI_2026-05-29.csv
