penginapan_id,name,property_type,latitude,longitude,overall_rating,reviews,exact_google_maps_url,maps_match_name,maps_match_address,match_confidence,source_type
LODGE-00042,Naomi Home Villa Bandung near Wahoo & Whoosh,villa,-6.8695,107.4571,4.6,6.0,https://www.google.com/maps/search/?api=1&query=Naomi+Home+Villa+Bandung+near+Wahoo+%26+Whoosh+-6.8695%2C107.4571&query_place_id=ChIJSSoPy0H7aC4Rh1kf1YmBLI0,Naomi Home Villa Bandung near Wahoo & Whoosh,"Bojonghaleuang, Batujajar, West Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-00977,Platinum Yellow Bandung Villa 24 Pax Private Pool,villa,-6.8578,107.654,4.0,6.0,https://www.google.com/maps/search/?api=1&query=Platinum+Yellow+Bandung+Villa+24+Pax+Private+Pool+-6.8578%2C107.654&query_place_id=ChIJfXZHWETnaC4RvKOJ-yPnniw,Platinum Yellow Bandung Villa 24 Pax Private Pool,"Mekarsaluyu, Cimenyan, Bandung Regency, West Java, Indonesia",medium,Google Maps business result + Google Maps URL query_place_id
LODGE-01320,Sunrise City View Villa 9 Bedrooms With a Private Swimming Pool and a Billiard Table,villa,-6.8627,107.651,4.15,4.0,https://www.google.com/maps/search/?api=1&query=Sunrise+City+View+Villa+9+Bedrooms+With+a+Private+Swimming+Pool+and+a+Billiard+Table+-6.8627%2C107.651&query_place_id=ChIJ87dKnEHnaC4R64SUsUqS8eY,Sunrise City View Villa 9 Bedrooms With a Private Swimming Pool and a Billiard Table,"Mekarsaluyu, Cimenyan, Bandung Regency, West Java, Indonesia",medium,Google Maps business result + Google Maps URL query_place_id
LODGE-01248,Family Only Amazing City View Villa - De Reiz Firen Syariah,villa,-6.867,107.6394,3.15,3.0,https://www.google.com/maps/search/?api=1&query=Family+Only+Amazing+City+View+Villa+-+De+Reiz+Firen+Syariah+-6.867%2C107.6394&query_place_id=ChIJ_zi42BXnaC4RmBUiDD35-DY,Family Only Amazing City View Villa - De Reiz Firen Syariah,"Mekarsaluyu, Cimenyan, Bandung Regency, West Java, Indonesia",medium,Google Maps business result + Google Maps URL query_place_id
LODGE-01362,Griya Keraton Villa by Kozystay - Bandung,villa,-6.8411,107.6594,4.75,3.0,https://www.google.com/maps/search/?api=1&query=Griya+Keraton+Villa+by+Kozystay+-+Bandung+-6.8411%2C107.6594&query_place_id=ChIJA4XUqK3gaC4RG6iuwHRzuao,Griya Keraton Villa by Kozystay - Bandung,"Ciburial, Cimenyan, Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-01128,"Garden House Villa, Lembang",villa,-6.8262,107.6346,3.75,2.0,https://www.google.com/maps/search/?api=1&query=Garden+House+Villa%2C+Lembang+-6.8262%2C107.6346&query_place_id=ChIJlbQwwcLgaC4RdY8_cQ9Q2Kk,"Garden House Villa, Lembang","Pagerwangi, Lembang, West Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-01211,3 Bed Villa The Dago View,villa,-6.8557,107.645,4.8,1.0,https://www.google.com/maps/search/?api=1&query=3+Bed+Villa+The+Dago+View+-6.8557%2C107.645&query_place_id=ChIJDxUnbUjnaC4R2JO5Wfy3D9g,3 Bed Villa The Dago View,"Ciburial, Cimenyan, Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-01177,Rehat at Villa Golf Island Dago Resort I,villa,-6.865,107.6483,3.5,1.0,https://www.google.com/maps/search/?api=1&query=Rehat+at+Villa+Golf+Island+Dago+Resort+I+-6.865%2C107.6483&query_place_id=ChIJVel41UHnaC4R6n36-gPqF6c,Rehat at Villa Golf Island Dago Resort I,"Mekarsaluyu, Cimenyan, Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-01178,Rehat at Villa Golf Island Dago Resort II,villa,-6.8656,107.6479,3.0,1.0,https://www.google.com/maps/search/?api=1&query=Rehat+at+Villa+Golf+Island+Dago+Resort+II+-6.8656%2C107.6479&query_place_id=ChIJnWlChmrnaC4RCXnwoT9p_7s,Rehat at Villa Golf Island Dago Resort II,"Mekarsaluyu, Cimenyan, Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-00514,Villa Rian Argapuri Resort,villa,-7.1268,107.5138,2.5,1.0,https://www.google.com/maps/search/?api=1&query=Villa+Rian+Argapuri+Resort+-7.1268%2C107.5138&query_place_id=ChIJXxuv6--SaC4RfiAbb07gKL4,Villa Rian Argapuri Resort,"Mekarsari, Pasirjambu, Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-00076,"Villa with Jacuzzi, Damar Ningrum 4",villa,-6.8299,107.5538,5.0,1.0,https://www.google.com/maps/search/?api=1&query=Villa+with+Jacuzzi%2C+Damar+Ningrum+4+-6.8299%2C107.5538&query_place_id=ChIJVXuUVOrjaC4RfTi6KV2W9L4,"Villa with Jacuzzi, Damar Ningrum 4","Jambudipa, Cisarua, West Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-01283,La Grande by Djitu Hospitality,vacation_rental,-6.9094,107.6104,3.1417,136.0,https://www.google.com/maps/search/?api=1&query=La+Grande+by+Djitu+Hospitality+-6.9094%2C107.6104&query_place_id=ChIJI9pwjjfmaC4RMr2jcXbc6p4,La Grande by Djitu Hospitality,"Babakanciamis, Sumurbandung, Bandung City, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-00624,Saung Arjuna Syandana Resort Ciwidey,vacation_rental,-7.109,107.4847,3.925,118.0,https://www.google.com/maps/search/?api=1&query=Saung+Arjuna+Syandana+Resort+Ciwidey+-7.109%2C107.4847&query_place_id=ChIJB3M1BaaSaC4RgfX4N8pv9KE,Saung Arjuna Syandana Resort Ciwidey,"Cisondari, Pasirjambu, Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-01316,Sorte by Kozystay -Dago,vacation_rental,-6.8558,107.6476,4.8342,32.0,https://www.google.com/maps/search/?api=1&query=Sorte+by+Kozystay+-+Dago+-6.8558%2C107.6476&query_place_id=ChIJiawUyUfnaC4RfHTxv_q4x7U,Sorte by Kozystay - Dago,"Ciburial, Cimenyan, Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
LODGE-00519,Kuleum Camp And Cabin By ARBA,vacation_rental,-7.1416,107.396,4.125,30.0,https://www.google.com/maps/search/?api=1&query=Kuleum+Camp+And+Cabin+By+ARBA+-7.1416%2C107.396&query_place_id=ChIJrQYYdYiMaC4RUlqVh31GXBY,Kuleum Camp And Cabin By ARBA,"Lebakmuncang, Ciwidey, Bandung Regency, West Java, Indonesia",medium,Google Maps business result + Google Maps URL query_place_id
LODGE-01240,"Cozy Haven with Jacuzzi, Rooftop",vacation_rental,-6.8444,107.6051,4.0,19.0,https://www.google.com/maps/search/?api=1&query=Cozy+Haven+with+Jacuzzi%2C+Rooftop+-+Three-Bedroom+House+-6.8444%2C107.6051&query_place_id=ChIJExKNbDPhaC4RlSahnEkeCLc,"Cozy Haven with Jacuzzi, Rooftop - Three-Bedroom House","Wangunsari, Lembang, West Bandung Regency, West Java, Indonesia",high,Google Maps business result + Google Maps URL query_place_id
