review_target_id,penginapan_id,name,property_type,latitude,longitude,overall_rating,reviews_existing,review_confidence_label,review_scrape_priority,data_quality_score,has_final_child_listing,final_child_count,name_looks_detail_listing,target_review_note,google_maps_search_query,google_maps_search_url,source_dataset,flag_group,flag_reason,suggested_action,split_status,split_reason,manual_decision,manual_note,parent_candidate_id,parent_candidate_name,parent_candidate_property_type,parent_candidate_distance_km,parent_candidate_name_ratio,parent_candidate_token_score,parent_candidate_score,audit_recommendation,audit_reason,decision_group,decision_status,decision_reason
PHREV-20260605-0403,LODGE-00549,Villa Penginapan Purnama - Double Room with Private Bathroom,villa,-7.1142,107.446,2,1,low_review_confidence,low_review_confidence,0.85,False,0,True,check_name_match_first,"Villa Penginapan Purnama - Double Room with Private Bathroom -7.1142,107.446",https://www.google.com/maps/search/?api=1&query=Villa%20Penginapan%20Purnama%20-%20Double%20Room%20with%20Private%20Bathroom%20-7.1142%2C107.446,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_villa_or_house_unit,"Bisa properti sewa utuh, tapi perlu cek match Google Maps.",cek_manual_atau_batch_test,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00778,PURNAMA,hotel,1.3521,0.56,0.5,0.477,candidate_standalone_or_unclear,Belum ada kandidat parent yang cukup kuat dari data saat ini.,held_low_priority,soft_remove_from_main_flow,Belum ada kandidat parent kuat; ditahan agar tidak memperbesar scraping.
PHREV-20260605-0405,LODGE-00505,Villa Penginapan Purnama - Standard Double Room,villa,-7.1142,107.446,2,1,low_review_confidence,low_review_confidence,1.0,False,0,True,check_name_match_first,"Villa Penginapan Purnama - Standard Double Room -7.1142,107.446",https://www.google.com/maps/search/?api=1&query=Villa%20Penginapan%20Purnama%20-%20Standard%20Double%20Room%20-7.1142%2C107.446,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_villa_or_house_unit,"Bisa properti sewa utuh, tapi perlu cek match Google Maps.",cek_manual_atau_batch_test,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00778,PURNAMA,hotel,1.3521,0.56,0.5,0.477,candidate_standalone_or_unclear,Belum ada kandidat parent yang cukup kuat dari data saat ini.,held_low_priority,soft_remove_from_main_flow,Belum ada kandidat parent kuat; ditahan agar tidak memperbesar scraping.
PHREV-20260605-0451,LODGE-00538,Laksana Rasa Resort Ciwidey - Double Room,vacation_rental,-7.1336,107.4126,1.75,2,low_review_confidence,low_review_confidence,0.85,False,0,True,check_name_match_first,"Laksana Rasa Resort Ciwidey - Double Room -7.1336,107.4126",https://www.google.com/maps/search/?api=1&query=Laksana%20Rasa%20Resort%20Ciwidey%20-%20Double%20Room%20-7.1336%2C107.4126,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00734,Villa Bima Syandana Resort Ciwidey,villa,8.6127,0.7636,0.3333,0.4603,candidate_standalone_or_unclear,Belum ada kandidat parent yang cukup kuat dari data saat ini.,held_low_priority,soft_remove_from_main_flow,Belum ada kandidat parent kuat; ditahan agar tidak memperbesar scraping.
PHREV-20260605-0426,LODGE-01345,Chamomile Hill View Villa 6 bedrooms with a private swimming pool and movie room - Villa with Private Pool,villa,-6.866,107.6359,5,2,low_review_confidence,low_review_confidence,0.85,False,0,True,check_name_match_first,"Chamomile Hill View Villa 6 bedrooms with a private swimming pool and movie room - Villa with Private Pool -6.866,107.6359",https://www.google.com/maps/search/?api=1&query=Chamomile%20Hill%20View%20Villa%206%20bedrooms%20with%20a%20private%20swimming%20pool%20and%20movie%20room%20-%20Villa%20with%20Private%20Pool%20-6.866%2C107.6359,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_villa_or_house_unit,"Bisa properti sewa utuh, tapi perlu cek match Google Maps.",cek_manual_atau_batch_test,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-01277,Jasmine Cozy Villa 3 Bedrooms With a Private Heated Swimming Pool and a Billiard Table,villa,0.179,0.5333,0.2,0.46,candidate_standalone_or_unclear,Belum ada kandidat parent yang cukup kuat dari data saat ini.,held_low_priority,soft_remove_from_main_flow,Belum ada kandidat parent kuat; ditahan agar tidak memperbesar scraping.
PHREV-20260605-0416,LODGE-01212,4 BR City View Villa with a private pool 1,villa,-6.8619,107.6497,5,2,low_review_confidence,low_review_confidence,0.9,False,0,True,check_name_match_first,"4 BR City View Villa with a private pool 1 -6.8619,107.6497",https://www.google.com/maps/search/?api=1&query=4%20BR%20City%20View%20Villa%20with%20a%20private%20pool%201%20-6.8619%2C107.6497,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_villa_or_house_unit,"Bisa properti sewa utuh, tapi perlu cek match Google Maps.",cek_manual_atau_batch_test,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-01321,Sunset City View Villa 5 Bedrooms With a Private Heated Swimming Pool,villa,0.0248,0.3636,0.25,0.4511,candidate_standalone_or_unclear,Belum ada kandidat parent yang cukup kuat dari data saat ini.,held_low_priority,soft_remove_from_main_flow,Belum ada kandidat parent kuat; ditahan agar tidak memperbesar scraping.
PHREV-20260605-0516,LODGE-00640,Indonesia Village - Double Room,villa,-6.8237,107.1305,5,4,low_review_confidence,low_review_confidence,0.7,False,0,True,check_name_match_first,"Indonesia Village - Double Room -6.8237,107.1305",https://www.google.com/maps/search/?api=1&query=Indonesia%20Village%20-%20Double%20Room%20-6.8237%2C107.1305,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00413,Shida Village,villa,47.2414,0.7333,0.3333,0.4467,candidate_standalone_or_unclear,Belum ada kandidat parent yang cukup kuat dari data saat ini.,held_low_priority,soft_remove_from_main_flow,Belum ada kandidat parent kuat; ditahan agar tidak memperbesar scraping.
PHREV-20260605-0371,LODGE-01285,Magenta Hill View Villa 6 bedrooms with a private swimming pool and movie room - Villa with Private Pool,villa,-6.8661,107.6357,5,1,low_review_confidence,low_review_confidence,0.9,False,0,True,check_name_match_first,"Magenta Hill View Villa 6 bedrooms with a private swimming pool and movie room - Villa with Private Pool -6.8661,107.6357",https://www.google.com/maps/search/?api=1&query=Magenta%20Hill%20View%20Villa%206%20bedrooms%20with%20a%20private%20swimming%20pool%20and%20movie%20room%20-%20Villa%20with%20Private%20Pool%20-6.8661%2C107.6357,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_villa_or_house_unit,"Bisa properti sewa utuh, tapi perlu cek match Google Maps.",cek_manual_atau_batch_test,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-01277,Jasmine Cozy Villa 3 Bedrooms With a Private Heated Swimming Pool and a Billiard Table,villa,0.1819,0.5,0.2,0.445,candidate_standalone_or_unclear,Belum ada kandidat parent yang cukup kuat dari data saat ini.,held_low_priority,soft_remove_from_main_flow,Belum ada kandidat parent kuat; ditahan agar tidak memperbesar scraping.
PHREV-20260605-1160,LODGE-00238,Little Blue House - Double Room,vacation_rental,-6.8452,107.5457,,,missing_review_confidence,missing_rating_or_review,0.7,False,0,True,check_name_match_first,"Little Blue House - Double Room -6.8452,107.5457",https://www.google.com/maps/search/?api=1&query=Little%20Blue%20House%20-%20Double%20Room%20-6.8452%2C107.5457,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_villa_or_house_unit,"Bisa properti sewa utuh, tapi perlu cek match Google Maps.",cek_manual_atau_batch_test,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-01599,Little Duck Villa,villa,5.4438,0.7273,0.3333,0.4439,candidate_standalone_or_unclear,Belum ada kandidat parent yang cukup kuat dari data saat ini.,held_low_priority,soft_remove_from_main_flow,Belum ada kandidat parent kuat; ditahan agar tidak memperbesar scraping.
PHREV-20260605-0628,LODGE-01361,Greenhill Mountain City View 8BR Villa Heated Pool,villa,-6.8566,107.6536,5,9,low_review_confidence,low_review_confidence,0.85,False,0,True,check_name_match_first,"Greenhill Mountain City View 8BR Villa Heated Pool -6.8566,107.6536",https://www.google.com/maps/search/?api=1&query=Greenhill%20Mountain%20City%20View%208BR%20Villa%20Heated%20Pool%20-6.8566%2C107.6536,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_villa_or_house_unit,"Bisa properti sewa utuh, tapi perlu cek match Google Maps.",cek_manual_atau_batch_test,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-01321,Sunset City View Villa 5 Bedrooms With a Private Heated Swimming Pool,villa,0.7054,0.4918,0.3333,0.438,candidate_standalone_or_unclear,Belum ada kandidat parent yang cukup kuat dari data saat ini.,held_low_priority,soft_remove_from_main_flow,Belum ada kandidat parent kuat; ditahan agar tidak memperbesar scraping.
PHREV-20260605-1173,LODGE-01376,Masagena Bandung - Double Room with Garden View,vacation_rental,-6.9696,107.6598,,,missing_review_confidence,missing_rating_or_review,0.85,False,0,True,check_name_match_first,"Masagena Bandung - Double Room with Garden View -6.9696,107.6598",https://www.google.com/maps/search/?api=1&query=Masagena%20Bandung%20-%20Double%20Room%20with%20Garden%20View%20-6.9696%2C107.6598,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00114,Micasa Guest House Bandung,guest_house,12.5893,0.7778,0.25,0.4375,candidate_standalone_or_unclear,Belum ada kandidat parent yang cukup kuat dari data saat ini.,held_low_priority,soft_remove_from_main_flow,Belum ada kandidat parent kuat; ditahan agar tidak memperbesar scraping.
