review_target_id,penginapan_id,name,property_type,latitude,longitude,overall_rating,reviews_existing,review_confidence_label,review_scrape_priority,data_quality_score,has_final_child_listing,final_child_count,name_looks_detail_listing,target_review_note,google_maps_search_query,google_maps_search_url,source_dataset,flag_group,flag_reason,suggested_action,split_status,split_reason,manual_decision,manual_note
PHREV-20260605-0061,LODGE-00832,RedDoorz Resort Syariah near DCastello Ciater Subang - Double Room,hotel,-6.7328,107.6546,3.3908,341,high_review_confidence,high_review_confidence,0.85,False,0,True,check_name_match_first,"RedDoorz Resort Syariah near DCastello Ciater Subang - Double Room -6.7328,107.6546",https://www.google.com/maps/search/?api=1&query=RedDoorz%20Resort%20Syariah%20near%20DCastello%20Ciater%20Subang%20-%20Double%20Room%20-6.7328%2C107.6546,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-0587,LODGE-00867,Badjoeri Ethnic Wooden Homestay - Deluxe Twin Room,guest_house,-6.8546,107.5919,4.9,8,low_review_confidence,low_review_confidence,1.0,False,0,True,check_name_match_first,"Badjoeri Ethnic Wooden Homestay - Deluxe Twin Room -6.8546,107.5919",https://www.google.com/maps/search/?api=1&query=Badjoeri%20Ethnic%20Wooden%20Homestay%20-%20Deluxe%20Twin%20Room%20-6.8546%2C107.5919,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-0590,LODGE-00029,Calda Homestay Syariah - Deluxe Family Room,guest_house,-6.8685,107.5727,4.5,8,low_review_confidence,low_review_confidence,1.0,False,0,True,check_name_match_first,"Calda Homestay Syariah - Deluxe Family Room -6.8685,107.5727",https://www.google.com/maps/search/?api=1&query=Calda%20Homestay%20Syariah%20-%20Deluxe%20Family%20Room%20-6.8685%2C107.5727,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-0591,LODGE-00030,Calda Homestay Syariah - Superior Family Room,guest_house,-6.8685,107.5727,4.5,8,low_review_confidence,low_review_confidence,1.0,False,0,True,check_name_match_first,"Calda Homestay Syariah - Superior Family Room -6.8685,107.5727",https://www.google.com/maps/search/?api=1&query=Calda%20Homestay%20Syariah%20-%20Superior%20Family%20Room%20-6.8685%2C107.5727,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-0600,LODGE-01126,G10 Guest House Near Asia Afrika Bandung - Deluxe Single Room,guest_house,-6.9296,107.6152,5,8,low_review_confidence,low_review_confidence,0.95,False,0,True,check_name_match_first,"G10 Guest House Near Asia Afrika Bandung - Deluxe Single Room -6.9296,107.6152",https://www.google.com/maps/search/?api=1&query=G10%20Guest%20House%20Near%20Asia%20Afrika%20Bandung%20-%20Deluxe%20Single%20Room%20-6.9296%2C107.6152,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-0563,LODGE-00041,Nabila Syar'i Guest House - Standard Double Room,guest_house,-6.8566,107.5164,5,6,low_review_confidence,low_review_confidence,1.0,False,0,True,check_name_match_first,"Nabila Syar'i Guest House - Standard Double Room -6.8566,107.5164",https://www.google.com/maps/search/?api=1&query=Nabila%20Syar%27i%20Guest%20House%20-%20Standard%20Double%20Room%20-6.8566%2C107.5164,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-0547,LODGE-00001,Paddies Homestay New - Deluxe Double Room,guest_house,-6.8405,107.0849,3.9,5,low_review_confidence,low_review_confidence,1.0,False,0,True,check_name_match_first,"Paddies Homestay New - Deluxe Double Room -6.8405,107.0849",https://www.google.com/maps/search/?api=1&query=Paddies%20Homestay%20New%20-%20Deluxe%20Double%20Room%20-6.8405%2C107.0849,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-0548,LODGE-00002,Paddies Homestay New - Family Room,guest_house,-6.8405,107.0849,3.9,5,low_review_confidence,low_review_confidence,1.0,False,0,True,check_name_match_first,"Paddies Homestay New - Family Room -6.8405,107.0849",https://www.google.com/maps/search/?api=1&query=Paddies%20Homestay%20New%20-%20Family%20Room%20-6.8405%2C107.0849,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-0619,LODGE-01061,Tulip Guest House - Deluxe Double Room,guest_house,-6.9047,107.5906,4.95,8,low_review_confidence,low_review_confidence,1.0,False,0,True,check_name_match_first,"Tulip Guest House - Deluxe Double Room -6.9047,107.5906",https://www.google.com/maps/search/?api=1&query=Tulip%20Guest%20House%20-%20Deluxe%20Double%20Room%20-6.9047%2C107.5906,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
PHREV-20260605-0620,LODGE-01062,Tulip Guest House - Superior Twin Room,guest_house,-6.9047,107.5906,4.95,8,low_review_confidence,low_review_confidence,1.0,False,0,True,check_name_match_first,"Tulip Guest House - Superior Twin Room -6.9047,107.5906",https://www.google.com/maps/search/?api=1&query=Tulip%20Guest%20House%20-%20Superior%20Twin%20Room%20-6.9047%2C107.5906,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,hold_room_label,Nama terlihat seperti tipe kamar hotel/guest house.,tahan_dulu_jangan_scrape_massal,held_child,"Nama sudah terlihat sebagai kamar/unit/detail listing, jadi ditahan dari scraping massal.",,
