review_target_id,penginapan_id,name,property_type,latitude,longitude,overall_rating,reviews_existing,review_confidence_label,review_scrape_priority,data_quality_score,has_final_child_listing,final_child_count,name_looks_detail_listing,target_review_note,google_maps_search_query,google_maps_search_url,source_dataset,flag_group,flag_reason,suggested_action,split_status,split_reason,manual_decision,manual_note,parent_candidate_id,parent_candidate_name,parent_candidate_property_type,parent_candidate_distance_km,parent_candidate_name_ratio,parent_candidate_token_score,parent_candidate_score,audit_recommendation,audit_reason
PHREV-20260605-1459,LODGE-00747,Villa Situ Patenggang - Standard Villa,villa,-7.1637,107.3577,,,missing_review_confidence,missing_rating_or_review,0.65,False,0,True,check_name_match_first,"Villa Situ Patenggang - Standard Villa -7.1637,107.3577",https://www.google.com/maps/search/?api=1&query=Villa%20Situ%20Patenggang%20-%20Standard%20Villa%20-7.1637%2C107.3577,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_villa_or_house_unit,"Bisa properti sewa utuh, tapi perlu cek match Google Maps.",cek_manual_atau_batch_test,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00606,Villa Situ Patenggang,villa,0.0,1.0,1.0,1.0,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.
PHREV-20260605-0414,LODGE-01084,Yama Onsen Villa - Villa,villa,-6.8759,107.6236,3.5,1,low_review_confidence,low_review_confidence,1.0,False,0,True,check_name_match_first,"Yama Onsen Villa - Villa -6.8759,107.6236",https://www.google.com/maps/search/?api=1&query=Yama%20Onsen%20Villa%20-%20Villa%20-6.8759%2C107.6236,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_villa_or_house_unit,"Bisa properti sewa utuh, tapi perlu cek match Google Maps.",cek_manual_atau_batch_test,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-01409,Yama Onsen Villa,villa,0.0,1.0,1.0,1.0,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.
PHREV-20260605-1364,LODGE-00127,The Edge By Orin - Deluxe Double Room,apartment,-6.8987,107.537,,,missing_review_confidence,missing_rating_or_review,0.85,False,0,True,check_name_match_first,"The Edge By Orin - Deluxe Double Room -6.8987,107.537",https://www.google.com/maps/search/?api=1&query=The%20Edge%20By%20Orin%20-%20Deluxe%20Double%20Room%20-6.8987%2C107.537,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00246,The Edge By Orin,apartment,0.1319,1.0,1.0,0.95,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.
PHREV-20260605-1365,LODGE-00178,The Edge By Orin - Standard Double Room,apartment,-6.8987,107.537,,,missing_review_confidence,missing_rating_or_review,0.8,False,0,True,check_name_match_first,"The Edge By Orin - Standard Double Room -6.8987,107.537",https://www.google.com/maps/search/?api=1&query=The%20Edge%20By%20Orin%20-%20Standard%20Double%20Room%20-6.8987%2C107.537,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00246,The Edge By Orin,apartment,0.1319,1.0,1.0,0.95,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.
PHREV-20260605-1163,LODGE-00409,Lovina Nature House - pet friendly - Villa with Garden View,villa,-6.825,107.5553,,,missing_review_confidence,missing_rating_or_review,0.55,False,0,True,check_name_match_first,"Lovina Nature House - pet friendly - Villa with Garden View -6.825,107.5553",https://www.google.com/maps/search/?api=1&query=Lovina%20Nature%20House%20-%20pet%20friendly%20-%20Villa%20with%20Garden%20View%20-6.825%2C107.5553,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_villa_or_house_unit,"Bisa properti sewa utuh, tapi perlu cek match Google Maps.",cek_manual_atau_batch_test,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00305,Lovina Nature House 701,vacation_rental,0.0494,0.8667,0.6667,0.8233,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.
PHREV-20260605-0594,LODGE-00532,Ciwidey Jungle Villa - Villa with Garden View,villa,-7.1261,107.5146,4.25,8,low_review_confidence,low_review_confidence,0.85,False,0,True,check_name_match_first,"Ciwidey Jungle Villa - Villa with Garden View -7.1261,107.5146",https://www.google.com/maps/search/?api=1&query=Ciwidey%20Jungle%20Villa%20-%20Villa%20with%20Garden%20View%20-7.1261%2C107.5146,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_villa_or_house_unit,"Bisa properti sewa utuh, tapi perlu cek match Google Maps.",cek_manual_atau_batch_test,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00770,Ciwidey Jungle Camp,hotel,0.0157,0.8485,0.6667,0.8152,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.
PHREV-20260605-0589,LODGE-01112,Bantal Guling Trans - Double Room with Private Bathroom,vacation_rental,-6.9302,107.6395,2.5,8,low_review_confidence,low_review_confidence,0.95,False,0,True,check_name_match_first,"Bantal Guling Trans - Double Room with Private Bathroom -6.9302,107.6395",https://www.google.com/maps/search/?api=1&query=Bantal%20Guling%20Trans%20-%20Double%20Room%20with%20Private%20Bathroom%20-6.9302%2C107.6395,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00871,Bantal Guling Guesthouse Trans,guest_house,0.0313,0.7755,0.75,0.8115,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.
PHREV-20260605-0993,LODGE-00633,Buah sebelas homestay villa - Double or Twin Room,villa,-7.1872,107.5555,,,missing_review_confidence,missing_rating_or_review,0.7,False,0,True,check_name_match_first,"Buah sebelas homestay villa - Double or Twin Room -7.1872,107.5555",https://www.google.com/maps/search/?api=1&query=Buah%20sebelas%20homestay%20villa%20-%20Double%20or%20Twin%20Room%20-7.1872%2C107.5555,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_villa_or_house_unit,"Bisa properti sewa utuh, tapi perlu cek match Google Maps.",cek_manual_atau_batch_test,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00751,Villa buah 11 homestay,villa,0.0351,0.7568,0.6667,0.7739,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.
PHREV-20260605-1361,LODGE-00323,The Edge Baros 1 BR,apartment,-6.8974,107.5369,,,missing_review_confidence,missing_rating_or_review,0.65,False,0,True,check_name_match_first,"The Edge Baros 1 BR -6.8974,107.5369",https://www.google.com/maps/search/?api=1&query=The%20Edge%20Baros%201%20BR%20-6.8974%2C107.5369,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-00101,Apartemen The Edge Baros - Kamarku,apartment,0.0606,0.6512,0.75,0.7555,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.
PHREV-20260605-1496,LODGE-01506,Wisma 812 Khusus Putra for Male Only - Budget Single Room,vacation_rental,-6.8944,107.6392,,,missing_review_confidence,missing_rating_or_review,0.8,False,0,True,check_name_match_first,"Wisma 812 Khusus Putra for Male Only - Budget Single Room -6.8944,107.6392",https://www.google.com/maps/search/?api=1&query=Wisma%20812%20Khusus%20Putra%20for%20Male%20Only%20-%20Budget%20Single%20Room%20-6.8944%2C107.6392,D:\File\file\Fauzan Lubada\PIJAK\Penginapan_Workspace\02_Curated\PENGINAPAN_PARENT_MASTER_2026-06-05.csv,review_other_detail_name,"Kena flag detail-name, tetapi polanya tidak masuk kelompok utama.",cek_manual_ringan,needs_review,Nama masih abu-abu; perlu audit parent/child sebelum scraping.,,,LODGE-01505,Wisma 812 Khusus Putra,vacation_rental,0.0111,0.7586,0.5714,0.7414,candidate_child_to_parent,Nama mirip dan koordinat dekat dengan kandidat parent.
