penginapan_id,name,property_type,latitude,longitude,distance_km_reference,hotel_recommendation_score,hotel_distance_score,hotel_rating_score,hotel_sentiment_ranking_score,hotel_price_score,hotel_data_quality_score,hotel_review_confidence_score,overall_rating,reviews,price_lowest,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label
LODGE-00955,Malaka Hotel,hotel,-6.9273,107.623,1.171666182597409,75.20810573296757,0.8101539927902741,0.8800000000000001,0.5,0.8790195619339145,1.0,0.0,4.4,4127.0,432613.0,0,,Belum tersedia,missing_review_confidence
LODGE-01216,Amaroossa Hotel Bandung,hotel,-6.9085,107.6185,1.0029450112852534,75.13651625476366,0.8329245046556708,0.86,0.5,0.8749903939176082,0.9,0.0,4.3,4458.0,441589.0,0,,Belum tersedia,missing_review_confidence
LODGE-01570,High Livin Apartment Asia Afrika,apartment,-6.9239,107.6182,0.718549452522463,75.08341555594352,0.8743476018720954,0.78,0.5,0.9775303857443582,0.7,0.0,3.9,82.0,213155.0,0,,Belum tersedia,missing_review_confidence
LODGE-00905,G10 Guest House Near Asia Afrika Bandung,guest_house,-6.9296,107.6152,1.4126545371235277,74.97820152260914,0.7797083050481634,0.917,0.5,0.931703088382422,1.0,0.0,4.585,23.0,315247.0,0,,Belum tersedia,missing_review_confidence
LODGE-01558,Wisma Dharma Bakti,hotel,-6.9153,107.6172,0.3222288885556343,74.96552116065818,0.9394560257924041,0.8800000000000001,0.5,0.4,0.75,0.0,4.4,428.0,,0,,Belum tersedia,missing_review_confidence
LODGE-01135,Hotel Triple Seven Bed & Breakfast,guest_house,-6.9047,107.5924,3.273005957165941,74.83512885215148,0.6043752447281974,0.8800000000000001,0.8022034567016137,0.9128666381297191,0.95,0.8194375577978606,4.4,938.0,357210.0,19,0.6044069134032275,Positif,high_review_confidence
LODGE-01545,Populair Hostel Braga,hotel,-6.9187,107.6095,1.0680686215785775,74.80934336798374,0.823985408177417,0.86,0.5,1.0,0.75,0.0,4.3,181.0,146418.0,0,,Belum tersedia,missing_review_confidence
LODGE-01374,La Nostalgie Boutique Hotel Bandung,hotel,-6.9248,107.6262,1.128331463914044,74.74916316725381,0.8158827617993428,0.8800000000000001,0.5,0.9160487651425974,0.85,0.0,4.4,437.0,350121.0,0,,Belum tersedia,missing_review_confidence
LODGE-01067,Urbanview Hotel Nakasya Burangrang,hotel,-6.9299,107.6179,1.3851670465409973,74.71791912725104,0.7830648694944674,0.86,0.5,1.0,1.0,0.0,4.3,85.0,152204.0,0,,Belum tersedia,missing_review_confidence
LODGE-01172,RedDoorz Near Trans Studio Mall 3,apartment,-6.9241,107.6249,0.9739036270857812,74.63381482617933,0.8369736628039853,0.74,0.5,1.0,0.95,0.0,3.7,93.0,131445.0,0,,Belum tersedia,missing_review_confidence
LODGE-01261,Homey 3Br Apartment At Braga City Walk,apartment,-6.9177,107.6093,1.082007679964164,74.62856562847917,0.8220969559889574,1.0,0.5,0.5926891787751187,0.9,0.0,5.0,26.0,1070487.0,0,,Belum tersedia,missing_review_confidence
LODGE-01357,G10 Guest House,guest_house,-6.9295,107.6151,1.405496604478337,74.5915789751045,0.7805796035399194,0.9199999999999999,0.5,0.9950552017564587,0.85,0.0,4.6,121.0,174114.0,0,,Belum tersedia,missing_review_confidence
LODGE-00948,Kedaton Hotel Bandung,hotel,-6.9155,107.6078,1.2670301812933225,74.46453320393375,0.797826060408114,0.86,0.5,0.8980400539520681,1.0,0.0,4.3,3269.0,390240.0,0,,Belum tersedia,missing_review_confidence
LODGE-00933,Hotel Grand Tebu,hotel,-6.913,107.6293,1.232118724289787,74.45174702587876,0.802295370354935,0.9,0.5,0.7942728177674101,1.0,0.0,4.5,5385.0,621408.0,0,,Belum tersedia,missing_review_confidence
