priority,penginapan_id,name,finding_codes,finding_count,recommended_next_step
P1,LODGE-00548,Villa Bima Syandana Resort - Two-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00550,Villa Penginapan Purnama - One-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00551,Villa Penginapan Purnama - Two-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00553,Villa Syariah Ciwidey Bandung Arreneuz View Kebun - Three-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00554,Villa Tagar Hidayah - Three-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00555,Villa Tagar Hidayah - Three-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00558,Aubrey Villa Ciwidey - Chalet,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00559,Aubrey Villa Ciwidey - Chalet,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00560,Cigadog Residence Mitra Reddoorz - Standard Double Room,ROOM_LEVEL_LISTING,1,Jangan hapus otomatis; pastikan ranking menurunkan prioritas room-level listing.
P1,LODGE-00573,OYO 3951 Hotel Tw Rancagoong - Delxue Twin Room,ROOM_LEVEL_LISTING,1,Jangan hapus otomatis; pastikan ranking menurunkan prioritas room-level listing.
P1,LODGE-00576,RedDoorz Syariah near Tugu Lampu Gentur Cianjur - Deluxe Room,ROOM_LEVEL_LISTING,1,Jangan hapus otomatis; pastikan ranking menurunkan prioritas room-level listing.
P1,LODGE-00588,Shakilla House 6B Syariah Cigalumpit Cianjur,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00592,Unit Gypsea Villa Deba Sugihmukti - Two-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00595,Vila Kopi Ciwidey - Double Room with Terrace,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00598,Villa Bima Syandana Resort - Two-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00608,Villa Syariah Ciwidey Bandung Arreneuz View Kebun - Three-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00614,"Argapuri Jungle Resort - Standard Room, 1 Bedroom, Terrace, Mountain View",ROOM_LEVEL_LISTING,1,Jangan hapus otomatis; pastikan ranking menurunkan prioritas room-level listing.
P1,LODGE-00621,OZ Cabin by Farmstay Managel,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00626,Shine River Ciwidey,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00627,Vila Kopi Ciwidey,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00629,Villa Feridys,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00630,Villa Situ Patenggang BKSDA,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00636,Ciwidey Hills Wetland Deluxe 1 - One-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00637,Ciwidey Hills Wetland Family 1 - One-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00646,Riverside cabin - Two-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00652,Villa Haposan - Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
P1,LODGE-00654,Villa Nadiviya - One-Bedroom Villa,POSSIBLE_DUPLICATE_NAME_COORD,1,Review duplicate candidate; gabungkan jika memang properti sama.
