scope,penginapan_id,name,property_type,priority,latitude,longitude,fixed_search_query
all_237,LODGE-00282,BUMI LOKA residence,hotel,P1_core_rating_price_missing,-6.8669,107.4576,BUMI LOKA residence Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00781,RedDoorz Resort at Hajeka Pangalengan Bandung,hotel,P1_core_rating_price_missing,-7.1974,107.5447,RedDoorz Resort at Hajeka Pangalengan Bandung Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-01640,Easton Park Residence Naffi Rooms by Mustika,hotel,P1_core_rating_price_missing,-6.9361,107.7653,Easton Park Residence Naffi Rooms by Mustika Bandung Jawa Barat Indonesia
all_237,LODGE-00810,RedDoorz near Situ Cileunca Pangalengan,hotel,P1_core_rating_price_missing,-7.1872,107.5555,RedDoorz near Situ Cileunca Pangalengan Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00814,Artana 2 Chipsari by OYO,hotel,P1_core_rating_price_missing,-7.1933,107.545,Artana 2 Chipsari by OYO Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00815,RedDoorz @ ADDA Cabin Pengalengan,hotel,P1_core_rating_price_missing,-7.2,107.5438,RedDoorz @ ADDA Cabin Pengalengan Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00491,Baraya Homestay,guest_house,P1_core_rating_price_missing,-7.1842,107.5617,Baraya Homestay Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00685,Ciwidey Homestay 6 Bedroom,guest_house,P1_core_rating_price_missing,-7.1229,107.424,Ciwidey Homestay 6 Bedroom Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00492,Homestay Bumina EENK Bandung Pangalengan,guest_house,P1_core_rating_price_missing,-7.2329,107.5215,Homestay Bumina EENK Bandung Pangalengan Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00015,Lavin Soka Homestay - Tent,guest_house,P1_core_rating_price_missing,-6.7204,107.3809,Lavin Soka Homestay - Tent Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00704,Mila's Homestay,guest_house,P1_core_rating_price_missing,-6.7979,107.1674,Mila's Homestay Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00493,Pangalengan Homestay By Lunam,guest_house,P1_core_rating_price_missing,-7.1793,107.5703,Pangalengan Homestay By Lunam Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00427,Salsabilla Guest House Syariah by Oyo,guest_house,P1_core_rating_price_missing,-6.8871,107.5225,Salsabilla Guest House Syariah by Oyo Cimahi Jawa Barat Indonesia
all_237,LODGE-00429,Danapati Homestay,guest_house,P1_core_rating_price_missing,-6.8558,107.4809,Danapati Homestay Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00430,OYO 90892 My Guest House Syariah,guest_house,P1_core_rating_price_missing,-6.9004,107.5225,OYO 90892 My Guest House Syariah Cimahi Jawa Barat Indonesia
all_237,LODGE-00841,Villa Aman Adem,villa,P1_core_rating_price_missing,-6.7904,107.5362,Villa Aman Adem Bandung Jawa Barat Indonesia
all_237,LODGE-00674,Aubrey Villa Ciwidey - Tent,villa,P1_core_rating_price_missing,-7.124,107.5054,Aubrey Villa Ciwidey - Tent Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00294,Fanara Villa,villa,P1_core_rating_price_missing,-6.8449,107.5297,Fanara Villa Bandung Jawa Barat Indonesia
all_237,LODGE-00696,HARVESTFARM VILLA,villa,P1_core_rating_price_missing,-7.188,107.5397,HARVESTFARM VILLA Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00311,Naomi Jati Villa Bandung,villa,P1_core_rating_price_missing,-6.8648,107.4566,Naomi Jati Villa Bandung Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00312,Nyaman Wangi Villa Kota Baru Parahyangan,villa,P1_core_rating_price_missing,-6.8695,107.453,Nyaman Wangi Villa Kota Baru Parahyangan Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00494,Private Villa with infinity view of Lake Cileunca,villa,P1_core_rating_price_missing,-7.2022,107.5462,Private Villa with infinity view of Lake Cileunca Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00316,SKYVAN Villa,villa,P1_core_rating_price_missing,-6.8165,107.545,SKYVAN Villa Bandung Jawa Barat Indonesia
all_237,LODGE-00317,Sekar Arum Villa,villa,P1_core_rating_price_missing,-6.8035,107.5502,Sekar Arum Villa Lembang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00725,Skyline BlueDome Villa Ciwidey,villa,P1_core_rating_price_missing,-7.1227,107.4143,Skyline BlueDome Villa Ciwidey Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00727,Three bedroom villa with garden view,villa,P1_core_rating_price_missing,-7.1956,107.5419,Three bedroom villa with garden view Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00728,VILLA CONTAINER ETHNICS,villa,P1_core_rating_price_missing,-7.1114,107.4235,VILLA CONTAINER ETHNICS Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00729,VILLA GREEN APPLE BLOK U 76,villa,P1_core_rating_price_missing,-6.8118,107.1454,VILLA GREEN APPLE BLOK U 76 Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00325,Villa Adryan Pakuhaji Bandung,villa,P1_core_rating_price_missing,-6.83,107.538,Villa Adryan Pakuhaji Bandung Bandung Jawa Barat Indonesia
all_237,LODGE-00327,Villa Bagus Home,villa,P1_core_rating_price_missing,-6.8714,107.5472,Villa Bagus Home Cimahi Jawa Barat Indonesia
all_237,LODGE-00328,Villa Bagus Lembang,villa,P1_core_rating_price_missing,-6.8165,107.558,Villa Bagus Lembang Lembang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00734,Villa Bima Syandana Resort Ciwidey,villa,P1_core_rating_price_missing,-7.1054,107.4853,Villa Bima Syandana Resort Ciwidey Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00737,Villa CHW Standar 1,villa,P1_core_rating_price_missing,-7.1215,107.4216,Villa CHW Standar 1 Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00738,Villa CHW Standar 2,villa,P1_core_rating_price_missing,-7.1215,107.4216,Villa CHW Standar 2 Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00739,Villa Ciwidey - Rumah Kayu,villa,P1_core_rating_price_missing,-7.1085,107.4258,Villa Ciwidey - Rumah Kayu Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00329,Villa Domus SanctuaryofSerenity,villa,P1_core_rating_price_missing,-6.8752,107.4707,Villa Domus SanctuaryofSerenity Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00744,Villa Imah Koneng at Cipanas Puncak,villa,P1_core_rating_price_missing,-6.8118,107.1454,Villa Imah Koneng at Cipanas Puncak Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00332,Villa Sapa Syariah Pakuhaji Highland Eco-Resort,villa,P1_core_rating_price_missing,-6.8274,107.5405,Villa Sapa Syariah Pakuhaji Highland Eco-Resort Bandung Jawa Barat Indonesia
all_237,LODGE-00334,Villa Suarga Loka 1,villa,P1_core_rating_price_missing,-6.8304,107.5526,Villa Suarga Loka 1 Lembang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00749,Villa Syariah Teras Danoe,villa,P1_core_rating_price_missing,-7.1945,107.5451,Villa Syariah Teras Danoe Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00750,Villa Tinamboo brings happiness at Ciwidey,villa,P1_core_rating_price_missing,-7.1161,107.4448,Villa Tinamboo brings happiness at Ciwidey Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00751,Villa buah 11 homestay,villa,P1_core_rating_price_missing,-7.1869,107.5554,Villa buah 11 homestay Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00752,Villa by Wayang Dairy Farm,villa,P1_core_rating_price_missing,-7.1942,107.5423,Villa by Wayang Dairy Farm Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00753,Villa kartoon,villa,P1_core_rating_price_missing,-6.812,107.145,Villa kartoon Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00754,Villa kota bunga at puncak bogor with privat pool,villa,P1_core_rating_price_missing,-6.8119,107.1456,Villa kota bunga at puncak bogor with privat pool Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00755,Villa puncak bogor at kota bunga ada karoke AC,villa,P1_core_rating_price_missing,-6.8115,107.1452,Villa puncak bogor at kota bunga ada karoke AC Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00756,Villa puncak bogor at kota bunga with pool privat,villa,P1_core_rating_price_missing,-6.8118,107.1454,Villa puncak bogor at kota bunga with pool privat Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00761,Zann Villa Ciwidey,villa,P1_core_rating_price_missing,-7.1199,107.4319,Zann Villa Ciwidey Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00765,villa arjuna 60,villa,P1_core_rating_price_missing,-6.8119,107.1452,villa arjuna 60 Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00766,villa kota Bunga little indian,villa,P1_core_rating_price_missing,-6.8139,107.1315,villa kota Bunga little indian Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00406,Alayam villa,villa,P1_core_rating_price_missing,-6.8486,107.4718,Alayam villa Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00413,Shida Village,villa,P1_core_rating_price_missing,-6.8155,107.5583,Shida Village Lembang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00804,Villa Ravani Bandung,villa,P1_core_rating_price_missing,-6.9951,107.5191,Villa Ravani Bandung Bandung Jawa Barat Indonesia
all_237,LODGE-00807,villa Camsal Boock H 10 No3,villa,P1_core_rating_price_missing,-6.813,107.1296,villa Camsal Boock H 10 No3 Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00811,Villa Argapuri Resort K.10,villa,P1_core_rating_price_missing,-7.1307,107.5121,Villa Argapuri Resort K.10 Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00813,Villa rian,villa,P1_core_rating_price_missing,-7.131,107.5132,Villa rian Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00634,Camping hutan pinus rahong - Tent,vacation_rental,P1_core_rating_price_missing,-7.1821,107.5449,Camping hutan pinus rahong - Tent Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00635,Camping hutan pinus singkur rahong - Tent,vacation_rental,P1_core_rating_price_missing,-7.1848,107.5474,Camping hutan pinus singkur rahong - Tent Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00233,Kawoeng kabin - Tent,vacation_rental,P1_core_rating_price_missing,-6.804,107.5492,Kawoeng kabin - Tent Bandung Jawa Barat Indonesia
all_237,LODGE-00642,Mala Green Camp - Tent,vacation_rental,P1_core_rating_price_missing,-7.1659,107.5241,Mala Green Camp - Tent Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00647,SHAKILLA HOUSE 4 PESONA SYARIAH CIANJUR,vacation_rental,P1_core_rating_price_missing,-6.8337,107.114,SHAKILLA HOUSE 4 PESONA SYARIAH CIANJUR Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00660,Wulandari Camping ground Riverside - Tent,vacation_rental,P1_core_rating_price_missing,-7.1834,107.5454,Wulandari Camping ground Riverside - Tent Pangalengan Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00663,ALI1 Pondok Orange 1 Ciwidey,vacation_rental,P1_core_rating_price_missing,-7.1462,107.3891,ALI1 Pondok Orange 1 Ciwidey Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00664,ALIFA SHAKILLA HOUSE 3 SYARIAH LIMBANGAN CIANJUR,vacation_rental,P1_core_rating_price_missing,-6.8236,107.1221,ALIFA SHAKILLA HOUSE 3 SYARIAH LIMBANGAN CIANJUR Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00665,ALLIKA SHAKILLA HOUSE 3 SYARIAH LIMBANGAN CIANJUR,vacation_rental,P1_core_rating_price_missing,-6.8235,107.1219,ALLIKA SHAKILLA HOUSE 3 SYARIAH LIMBANGAN CIANJUR Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00273,Ace Inn at KBP near IKEA Wahoo Yogya Junction KBP,vacation_rental,P1_core_rating_price_missing,-6.8659,107.4565,Ace Inn at KBP near IKEA Wahoo Yogya Junction KBP Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00274,Aira Glamping,vacation_rental,P1_core_rating_price_missing,-6.8036,107.5482,Aira Glamping Bandung Jawa Barat Indonesia
all_237,LODGE-00667,Alifa Shakilla House 3 Syariah Limbangansari,vacation_rental,P1_core_rating_price_missing,-6.8235,107.1219,Alifa Shakilla House 3 Syariah Limbangansari Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
all_237,LODGE-00668,Alkasturi syariah Cottage Ciwidey Bandung,vacation_rental,P1_core_rating_price_missing,-7.1033,107.4324,Alkasturi syariah Cottage Ciwidey Bandung Ciwidey Kabupaten Bandung Jawa Barat Indonesia
all_237,LODGE-00669,Allika Shakilla House 3 Limbangansari Syariah,vacation_rental,P1_core_rating_price_missing,-6.8236,107.1219,Allika Shakilla House 3 Limbangansari Syariah Padalarang Kabupaten Bandung Barat Jawa Barat Indonesia
