penginapan_id,name,property_type_final_after_p3,overall_rating,reviews,hotel_adjusted_sentiment_score,data_quality_score,latitude,longitude,jalur2_area_bucket
LODGE-01572,Hotel at Lekong Besar 62,hotel,3.9,8.0,0.6011513668750722,0.7,-6.928,107.6128,hotel_bandung
LODGE-01580,RedDoorz near Asia Afrika 2,hotel,4.6,5.0,0.6031819588121837,0.7,-6.9316,107.6193,hotel_bandung
LODGE-01562,Airy Sudirman Ence Aziz 32 Bandung,hotel,3.0,2.0,0.5600209206703078,0.7,-6.9187,107.5999,hotel_bandung
LODGE-00255,Hotel Candra,hotel,3.9,425.0,0.649474924551758,0.68,-6.8775542,107.5482844,cimahi
LODGE-00252,Bantal Guling Pasteur Bandung,hotel,3.8,36.0,0.5405162799779615,0.68,-6.8808067,107.5792086,cimahi
LODGE-00263,Hotel Tjimahi,hotel,3.9,761.0,0.5225017085686687,0.66,-6.877839,107.5485273,cimahi
LODGE-00264,KARIZMA RESIDENCE,hotel,4.3,270.0,0.6656779060048701,0.66,-6.8896251,107.5791915,cimahi
LODGE-00342,The Brick House,hotel,4.4,57.0,0.5477895367410681,0.64,-6.8801513,107.5619077,cimahi
LODGE-00345,Cibogo 55,hotel,4.1,77.0,0.61546,0.62,-6.8872943,107.5791675,cimahi
LODGE-00403,Rumah Bagus Bandung,hotel,4.7,76.0,0.6841702938192203,0.58,-6.8808909,107.5727895,cimahi
LODGE-00399,OYO 2759 - Jend. Sudirman Cibeureum,hotel,3.9,69.0,0.5308906763063674,0.58,-6.9104534,107.5688898,cimahi
LODGE-00405,evano house,hotel,4.7,35.0,,0.58,-6.8575216,107.5730259,cimahi
LODGE-00398,Nida Rooms Sukajadi Bandung Railway Cass,hotel,3.0,1.0,0.5782903753040013,0.58,-6.8897002,107.5783523,cimahi
LODGE-01637,Rumah The Priangan,hotel,4.7,35.0,0.6288021753196575,0.55,-6.926,107.6097,hotel_bandung
LODGE-01638,The Wastoekentjana,hotel,4.9,34.0,0.6841836045574765,0.55,-6.9088,107.6083,hotel_bandung
LODGE-01636,RedDoorz near Tegalega Park,hotel,4.5,16.0,0.629056,0.55,-6.9395,107.6049,hotel_bandung
LODGE-00454,WISMA KOMANDO2,hotel,4.7,83.0,0.6669705464441422,0.44,-6.8738017,107.5612968,cimahi
LODGE-00440,Imah Incu Inn,hotel,4.4,64.0,0.5939956340191701,0.44,-6.8565362,107.5689391,cimahi
LODGE-00441,JK House Bandung,hotel,4.7,23.0,0.6316495659938545,0.44,-6.8604893,107.5701401,cimahi
LODGE-00450,Tepas Paviliun,hotel,5.0,16.0,0.6495826227148892,0.44,-6.8679485,107.5796872,cimahi
LODGE-00445,Oyo,hotel,2.3,3.0,0.181168485021713,0.44,-6.8982107,107.561465,cimahi
LODGE-00448,Sentra Duta,hotel,5.0,3.0,,0.44,-6.8794165,107.5714681,cimahi
LODGE-00436,Collection O By Boboin Baros Near Stasiun Cimahi,hotel,4.0,2.0,0.620391,0.44,-6.8974705,107.5369262,cimahi
LODGE-00443,Mega raya,hotel,5.0,2.0,,0.44,-6.8937041,107.5701445,cimahi
LODGE-00455,hotel tirtasari,hotel,4.0,2.0,,0.44,-6.8753955,107.5749747,cimahi
LODGE-00627,Vila Kopi Ciwidey,vacation_rental,4.5317,41.0,,0.75,-7.1202,107.4415,ciwidey_pangalengan
LODGE-00619,Glamping Gunung Bangku Ciwidey,vacation_rental,3.75,26.0,,0.75,-7.1415,107.3797,ciwidey_pangalengan
LODGE-00625,Shakilla house Syariah,vacation_rental,4.4,21.0,,0.75,-6.8283,107.132,bandung_barat
LODGE-00617,Bumi Saddam Palayangan Cottage 1,vacation_rental,4.5,2.0,0.7011652619172793,0.75,-7.1893,107.5485,ciwidey_pangalengan
LODGE-00347,Villa Ouma Bandung,villa,4.7,35.0,0.6862234907729238,0.62,-6.8908826,107.573884,cimahi
LODGE-01635,Nuansa Villa S-09A,villa,3.7,16.0,0.5910816681934354,0.55,-6.8214,107.5888,hotel_bandung
LODGE-00451,Villa Roemi,villa,4.2,12.0,0.6228838460789203,0.44,-6.8464644,107.5759225,cimahi
LODGE-00452,Villa Rumah Hijau Syariah,villa,4.8,12.0,0.6500017631844239,0.44,-6.8461427,107.578137,cimahi
LODGE-00453,Villa hegar by Kavastay,villa,5.0,2.0,0.5962829481744077,0.44,-6.8693961,107.5700901,cimahi
LODGE-00446,Paras Yogya With Private Pool Villa,villa,4.0,1.0,0.5805292265126879,0.44,-6.8770069,107.5676807,cimahi
