review_target_id,penginapan_id,name,property_type,review_scrape_priority,review_confidence_label,google_maps_search_query,google_maps_search_url
PHREV-20260605-1400,LODGE-00327,Villa Bagus Home,villa,missing_rating_or_review,missing_review_confidence,"Villa Bagus Home -6.8714,107.5472",https://www.google.com/maps/search/?api=1&query=Villa%20Bagus%20Home%20-6.8714%2C107.5472
PHREV-20260605-1401,LODGE-00328,Villa Bagus Lembang,villa,missing_rating_or_review,missing_review_confidence,"Villa Bagus Lembang -6.8165,107.558",https://www.google.com/maps/search/?api=1&query=Villa%20Bagus%20Lembang%20-6.8165%2C107.558
PHREV-20260605-0504,LODGE-00547,Villa Bima Syandana Resort,villa,low_review_confidence,low_review_confidence,"Villa Bima Syandana Resort -7.1054,107.4853",https://www.google.com/maps/search/?api=1&query=Villa%20Bima%20Syandana%20Resort%20-7.1054%2C107.4853
PHREV-20260605-1403,LODGE-00734,Villa Bima Syandana Resort Ciwidey,villa,missing_rating_or_review,missing_review_confidence,"Villa Bima Syandana Resort Ciwidey -7.1054,107.4853",https://www.google.com/maps/search/?api=1&query=Villa%20Bima%20Syandana%20Resort%20Ciwidey%20-7.1054%2C107.4853
PHREV-20260605-1404,LODGE-00839,Villa Bumisoka,villa,missing_rating_or_review,missing_review_confidence,"Villa Bumisoka -6.7124,107.5322",https://www.google.com/maps/search/?api=1&query=Villa%20Bumisoka%20-6.7124%2C107.5322
PHREV-20260605-1406,LODGE-00735,Villa CHW Deluxe 1,villa,missing_rating_or_review,missing_review_confidence,"Villa CHW Deluxe 1 -7.1215,107.4216",https://www.google.com/maps/search/?api=1&query=Villa%20CHW%20Deluxe%201%20-7.1215%2C107.4216
PHREV-20260605-1407,LODGE-00650,Villa CHW Deluxe 2,villa,missing_rating_or_review,missing_review_confidence,"Villa CHW Deluxe 2 -7.1218,107.4217",https://www.google.com/maps/search/?api=1&query=Villa%20CHW%20Deluxe%202%20-7.1218%2C107.4217
PHREV-20260605-1408,LODGE-00599,Villa CHW Family,villa,missing_rating_or_review,missing_review_confidence,"Villa CHW Family -7.1217,107.4217",https://www.google.com/maps/search/?api=1&query=Villa%20CHW%20Family%20-7.1217%2C107.4217
PHREV-20260605-1409,LODGE-00736,Villa CHW Family,villa,missing_rating_or_review,missing_review_confidence,"Villa CHW Family -7.1215,107.4216",https://www.google.com/maps/search/?api=1&query=Villa%20CHW%20Family%20-7.1215%2C107.4216
PHREV-20260605-1410,LODGE-00737,Villa CHW Standar 1,villa,missing_rating_or_review,missing_review_confidence,"Villa CHW Standar 1 -7.1215,107.4216",https://www.google.com/maps/search/?api=1&query=Villa%20CHW%20Standar%201%20-7.1215%2C107.4216
