scope,penginapan_id,name,property_type,priority,latitude,longitude,search_query
all_237,LODGE-00015,Lavin Soka Homestay - Tent,guest_house,P1_core_rating_price_missing,-6.7204,107.3809,"Lavin Soka Homestay - Tent -6.72040,107.38090"
all_237,LODGE-00704,Mila's Homestay,guest_house,P1_core_rating_price_missing,-6.7979,107.1674,"Mila's Homestay -6.79790,107.16740"
all_237,LODGE-00493,Pangalengan Homestay By Lunam,guest_house,P1_core_rating_price_missing,-7.1793,107.5703,"Pangalengan Homestay By Lunam -7.17930,107.57030"
all_237,LODGE-00427,Salsabilla Guest House Syariah by Oyo,guest_house,P1_core_rating_price_missing,-6.8871,107.5225,"Salsabilla Guest House Syariah by Oyo -6.88710,107.52250"
all_237,LODGE-00429,Danapati Homestay,guest_house,P1_core_rating_price_missing,-6.8558,107.4809,"Danapati Homestay -6.85580,107.48090"
all_237,LODGE-00430,OYO 90892 My Guest House Syariah,guest_house,P1_core_rating_price_missing,-6.9004,107.5225,"OYO 90892 My Guest House Syariah -6.90040,107.52250"
all_237,LODGE-00841,Villa Aman Adem,villa,P1_core_rating_price_missing,-6.7904,107.5362,"Villa Aman Adem -6.79040,107.53620"
all_237,LODGE-00674,Aubrey Villa Ciwidey - Tent,villa,P1_core_rating_price_missing,-7.124,107.5054,"Aubrey Villa Ciwidey - Tent -7.12400,107.50540"
all_237,LODGE-00294,Fanara Villa,villa,P1_core_rating_price_missing,-6.8449,107.5297,"Fanara Villa -6.84490,107.52970"
all_237,LODGE-00696,HARVESTFARM VILLA,villa,P1_core_rating_price_missing,-7.188,107.5397,"HARVESTFARM VILLA -7.18800,107.53970"
all_237,LODGE-00311,Naomi Jati Villa Bandung,villa,P1_core_rating_price_missing,-6.8648,107.4566,"Naomi Jati Villa Bandung -6.86480,107.45660"
all_237,LODGE-00312,Nyaman Wangi Villa Kota Baru Parahyangan,villa,P1_core_rating_price_missing,-6.8695,107.453,"Nyaman Wangi Villa Kota Baru Parahyangan -6.86950,107.45300"
all_237,LODGE-00494,Private Villa with infinity view of Lake Cileunca,villa,P1_core_rating_price_missing,-7.2022,107.5462,"Private Villa with infinity view of Lake Cileunca -7.20220,107.54620"
all_237,LODGE-00316,SKYVAN Villa,villa,P1_core_rating_price_missing,-6.8165,107.545,"SKYVAN Villa -6.81650,107.54500"
all_237,LODGE-00317,Sekar Arum Villa,villa,P1_core_rating_price_missing,-6.8035,107.5502,"Sekar Arum Villa -6.80350,107.55020"
all_237,LODGE-00725,Skyline BlueDome Villa Ciwidey,villa,P1_core_rating_price_missing,-7.1227,107.4143,"Skyline BlueDome Villa Ciwidey -7.12270,107.41430"
all_237,LODGE-00727,Three bedroom villa with garden view,villa,P1_core_rating_price_missing,-7.1956,107.5419,"Three bedroom villa with garden view -7.19560,107.54190"
all_237,LODGE-00728,VILLA CONTAINER ETHNICS,villa,P1_core_rating_price_missing,-7.1114,107.4235,"VILLA CONTAINER ETHNICS -7.11140,107.42350"
all_237,LODGE-00729,VILLA GREEN APPLE BLOK U 76,villa,P1_core_rating_price_missing,-6.8118,107.1454,"VILLA GREEN APPLE BLOK U 76 -6.81180,107.14540"
all_237,LODGE-00325,Villa Adryan Pakuhaji Bandung,villa,P1_core_rating_price_missing,-6.83,107.538,"Villa Adryan Pakuhaji Bandung -6.83000,107.53800"
all_237,LODGE-00327,Villa Bagus Home,villa,P1_core_rating_price_missing,-6.8714,107.5472,"Villa Bagus Home -6.87140,107.54720"
all_237,LODGE-00328,Villa Bagus Lembang,villa,P1_core_rating_price_missing,-6.8165,107.558,"Villa Bagus Lembang -6.81650,107.55800"
all_237,LODGE-00734,Villa Bima Syandana Resort Ciwidey,villa,P1_core_rating_price_missing,-7.1054,107.4853,"Villa Bima Syandana Resort Ciwidey -7.10540,107.48530"
all_237,LODGE-00737,Villa CHW Standar 1,villa,P1_core_rating_price_missing,-7.1215,107.4216,"Villa CHW Standar 1 -7.12150,107.42160"
all_237,LODGE-00738,Villa CHW Standar 2,villa,P1_core_rating_price_missing,-7.1215,107.4216,"Villa CHW Standar 2 -7.12150,107.42160"
all_237,LODGE-00739,Villa Ciwidey - Rumah Kayu,villa,P1_core_rating_price_missing,-7.1085,107.4258,"Villa Ciwidey - Rumah Kayu -7.10850,107.42580"
all_237,LODGE-00329,Villa Domus SanctuaryofSerenity,villa,P1_core_rating_price_missing,-6.8752,107.4707,"Villa Domus SanctuaryofSerenity -6.87520,107.47070"
all_237,LODGE-00744,Villa Imah Koneng at Cipanas Puncak,villa,P1_core_rating_price_missing,-6.8118,107.1454,"Villa Imah Koneng at Cipanas Puncak -6.81180,107.14540"
all_237,LODGE-00332,Villa Sapa Syariah Pakuhaji Highland Eco-Resort,villa,P1_core_rating_price_missing,-6.8274,107.5405,"Villa Sapa Syariah Pakuhaji Highland Eco-Resort -6.82740,107.54050"
all_237,LODGE-00334,Villa Suarga Loka 1,villa,P1_core_rating_price_missing,-6.8304,107.5526,"Villa Suarga Loka 1 -6.83040,107.55260"
all_237,LODGE-00749,Villa Syariah Teras Danoe,villa,P1_core_rating_price_missing,-7.1945,107.5451,"Villa Syariah Teras Danoe -7.19450,107.54510"
all_237,LODGE-00750,Villa Tinamboo brings happiness at Ciwidey,villa,P1_core_rating_price_missing,-7.1161,107.4448,"Villa Tinamboo brings happiness at Ciwidey -7.11610,107.44480"
all_237,LODGE-00751,Villa buah 11 homestay,villa,P1_core_rating_price_missing,-7.1869,107.5554,"Villa buah 11 homestay -7.18690,107.55540"
all_237,LODGE-00752,Villa by Wayang Dairy Farm,villa,P1_core_rating_price_missing,-7.1942,107.5423,"Villa by Wayang Dairy Farm -7.19420,107.54230"
all_237,LODGE-00753,Villa kartoon,villa,P1_core_rating_price_missing,-6.812,107.145,"Villa kartoon -6.81200,107.14500"
all_237,LODGE-00754,Villa kota bunga at puncak bogor with privat pool,villa,P1_core_rating_price_missing,-6.8119,107.1456,"Villa kota bunga at puncak bogor with privat pool -6.81190,107.14560"
all_237,LODGE-00755,Villa puncak bogor at kota bunga ada karoke AC,villa,P1_core_rating_price_missing,-6.8115,107.1452,"Villa puncak bogor at kota bunga ada karoke AC -6.81150,107.14520"
all_237,LODGE-00756,Villa puncak bogor at kota bunga with pool privat,villa,P1_core_rating_price_missing,-6.8118,107.1454,"Villa puncak bogor at kota bunga with pool privat -6.81180,107.14540"
all_237,LODGE-00761,Zann Villa Ciwidey,villa,P1_core_rating_price_missing,-7.1199,107.4319,"Zann Villa Ciwidey -7.11990,107.43190"
all_237,LODGE-00765,villa arjuna 60,villa,P1_core_rating_price_missing,-6.8119,107.1452,"villa arjuna 60 -6.81190,107.14520"
all_237,LODGE-00766,villa kota Bunga little indian,villa,P1_core_rating_price_missing,-6.8139,107.1315,"villa kota Bunga little indian -6.81390,107.13150"
all_237,LODGE-00406,Alayam villa,villa,P1_core_rating_price_missing,-6.8486,107.4718,"Alayam villa -6.84860,107.47180"
all_237,LODGE-00413,Shida Village,villa,P1_core_rating_price_missing,-6.8155,107.5583,"Shida Village -6.81550,107.55830"
