id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,category_official,location_name,address,coordinate,tahun,latitude,longitude
93,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,GUDANG GARMENT JL. JAKARTA,JL. JAKARTA NO.8,"-6.91438572944012, 107.63520305005038",2021,-6.91438572944012,107.63520305005038
94,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,GUDANG GARMENT,JL. A.H. NASUTION NO. 76,"-6.906605074726724, 107.68472102006304",2021,-6.906605074726724,107.68472102006304
95,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,TC7 STORE,JL. TAMAN CEMP. NO.7,"-6.9130207868256335, 107.62744989306988",2021,-6.9130207868256335,107.62744989306988
96,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,HAPPY GO LUCKY,JL. CILIWUNG NO. 14,"-6.90567882375141, 107.62593099015047",2021,-6.90567882375141,107.62593099015047
97,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,GUDANG GARMENT TOHA,JL. MOH. TOHA NO. 106,"-6.971742343837079, 107.61960208551908",2021,-6.971742343837079,107.61960208551908
98,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,KING KONG JEANS,JL. CIHAMPELAS NO. 166A,"-6.894632004165648, 107.60412478177876",2021,-6.894632004165648,107.60412478177876
99,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,RABBANI,JL. DIPATIUKUR NO. 44,"-6.895818214015603, 107.61694394065174",2021,-6.895818214015603,107.61694394065174
100,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,ALISHA FANCY SHOP,JL. SALENDRO UTARA NO. 27,"-6.936511873128551, 107.63428053515011",2021,-6.936511873128551,107.63428053515011
101,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,CROCS,JL. L. LÂ  R. R. MARTADINATA NO. 32,"-6.903002687983072, 107.61621794145405",2021,-6.903002687983072,107.61621794145405
102,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,NS FACTORY OUTLET,JL. DEWI SARTIKA NO. 65,"-6.924286488826419, 107.60615434667045",2021,-6.924286488826419,107.60615434667045
103,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,STOP N SHOP FACTORY OUTLET,JL. INSINYUR H. JUANDA NO. 152,"-6.903005412818931, 107.61029022630491",2021,-6.903005412818931,107.61029022630491
104,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,SHAFIRA BUAH BATU,JL. BUAH BATU NO. 165 B,"-6.939793058374583, 107.62586564773416",2021,-6.939793058374583,107.62586564773416
105,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,MR BEAN FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 57,"-6.905261017213382, 107.6158859264125",2021,-6.905261017213382,107.6158859264125
106,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,CISANGKUY FACTORY OUTLET,JL. CISANGKUY NO. 58,"-6.901020930119488, 107.62185007160437",2021,-6.901020930119488,107.62185007160437
107,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,JETSET FACTORY OUTLET,JL. IR. H. JUANDA NO. 116,"-6.890029154120969, 107.61352418187494",2021,-6.890029154120969,107.61352418187494
108,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,CALAMUS FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 81,"-6.904687710406517, 107.62275614866572",2021,-6.904687710406517,107.62275614866572
109,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,TOKO DAPUR BUNDA - FACTORY OUTLET,JL. LODAYA NO. 55,"-6.928306331488237, 107.6211102060817",2021,-6.928306331488237,107.6211102060817
110,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,SPORT STATION TRUNOJOYO,JL. TRUNOJOYO NO.7,"-6.905101379773093, 107.61331287974103",2021,-6.905101379773093,107.61331287974103
111,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,JOKOWOW FACTORY OUTLET,JL. CIHAMPELAS NO. 174,"-6.8778825618941815, 107.59653232116887",2021,-6.8778825618941815,107.59653232116887
112,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,GRANDE FASHION & GALLERY,JL. CIHAMPELAS NO.186,"-6.892269287722978, 107.60405740746455",2021,-6.892269287722978,107.60405740746455
113,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,CHERRY FACTORY OUTLET,JL. GEGERKALOOHILIR NO. 18,"-6.869472895818815, 107.59261891349128",2021,-6.869472895818815,107.59261891349128
114,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,MIKHAYLA KIDS FACTORY OUTLET BATUSANGKAR,JL. SOEKARNO HATTA NO. 2,"-6.934082496732506, 107.71877241786453",2021,-6.934082496732506,107.71877241786453
115,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,BARUNI BATIK GALLERY,JL. BUAH BATU NO.87,"-6.933772489803377, 107.6206051128925",2021,-6.933772489803377,107.6206051128925
116,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,CUCI GUDANG BARANG BRANDED,JL. TAMAN KOPO INDAH I,"-6.966701958020234, 107.57331939325357",2021,-6.966701958020234,107.57331939325357
117,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,FOJBA FACTOR OUTLET,JL. TERUSAN KOPO,"-7.007884620293743, 107.55094654543055",2021,-7.007884620293743,107.55094654543055
118,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,JULIEN BIG SIZE,JL. VETERAN NO. 17-B,"-6.917855446526907, 107.61489750674073",2021,-6.917855446526907,107.61489750674073
119,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,THE SPORTS WAREHOUSE,JL. BRAGA NO. 91,"-6.916662612507113, 107.6091038656638",2021,-6.916662612507113,107.6091038656638
120,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,BRAND REVOLUTION,JL. IR. H. JUANDA,"-6.891286723690143, 107.61358912879248",2021,-6.891286723690143,107.61358912879248
